ID,Variable 1,Dependency,Variable 2
1,VENTLUNG,->,EXPCO2
2,VENTLUNG,->,MINVOL
3,DISCONNECT,->,PVSAT
4,DISCONNECT,->,VENTTUBE
5,VENTMACH,->,MINVOLSET
6,VENTMACH,->,VENTTUBE
7,PRESS,->,KINKEDTUBE
8,FIO2,->,PVSAT
9,PVSAT,->,VENTMACH
10,PVSAT,->,ARTCO2
11,HRBP,->,ERRLOWOUTPUT
12,HRBP,->,HISTORY
13,HRBP,->,HR
14,MINVOL,->,INTUBATION
15,MINVOL,->,SHUNT
16,STROKEVOLUME,->,HYPOVOLEMIA
17,STROKEVOLUME,->,BP
18,LVFAILURE,->,LVEDVOLUME
19,LVEDVOLUME,->,PCWP
20,LVEDVOLUME,->,CVP
21,HYPOVOLEMIA,->,FIO2
22,HYPOVOLEMIA,->,LVEDVOLUME
23,HRSAT,->,HREKG
24,HRSAT,->,ERRCAUTER
25,HISTORY,->,LVFAILURE
26,ANAPHYLAXIS,->,LVEDVOLUME
27,PAP,->,HRBP
28,VENTTUBE,->,VENTLUNG
29,VENTTUBE,->,PRESS
30,VENTTUBE,->,ANAPHYLAXIS
31,ARTCO2,->,VENTALV
32,ARTCO2,->,CATECHOL
33,HR,->,FIO2
34,HR,->,HRSAT
35,HR,->,CO
36,CO,->,STROKEVOLUME
37,BP,->,TPR
ID,Variable 1,Dependency,Variable 2
1,VENTLUNG,->,DISCONNECT
2,VENTLUNG,->,EXPCO2
3,VENTLUNG,->,MINVOL
4,MINVOLSET,->,VENTMACH
5,VENTMACH,->,VENTTUBE
6,PRESS,->,KINKEDTUBE
7,PRESS,->,CATECHOL
8,FIO2,->,PVSAT
9,HREKG,->,ERRCAUTER
10,HREKG,->,HRSAT
11,HRBP,->,ERRLOWOUTPUT
12,HRBP,->,HR
13,MINVOL,->,INTUBATION
14,MINVOL,->,VENTALV
15,KINKEDTUBE,->,BP
16,STROKEVOLUME,->,HYPOVOLEMIA
17,LVFAILURE,->,HISTORY
18,LVFAILURE,->,PULMEMBOLUS
19,LVEDVOLUME,->,LVFAILURE
20,LVEDVOLUME,->,CVP
21,HYPOVOLEMIA,->,PCWP
