ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,bronc,->,either
3,either,->,lung
4,either,->,xray
5,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,tub,->,smoke
2,lung,->,either
3,bronc,->,dysp
4,xray,->,dysp
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,either,->,dysp
3,xray,->,either
4,dysp,->,smoke
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,tub,->,smoke
3,tub,->,bronc
4,smoke,->,bronc
5,lung,->,either
6,either,->,xray
7,xray,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,tub,->,dysp
3,smoke,->,dysp
4,either,->,xray
5,dysp,->,either
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,lung,->,either
4,bronc,->,tub
5,bronc,->,dysp
6,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,tub
3,lung,->,xray
4,bronc,->,dysp
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,smoke,->,xray
3,either,->,tub
4,either,->,xray
5,dysp,->,smoke
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,smoke
3,lung,->,either
4,bronc,->,dysp
5,either,->,smoke
6,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,smoke
3,lung,->,either
4,lung,->,dysp
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,lung,->,either
3,either,->,bronc
4,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,tub,->,smoke
2,smoke,->,bronc
3,lung,->,either
4,bronc,->,dysp
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,smoke,->,dysp
3,either,->,dysp
4,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,tub,->,smoke
3,tub,->,bronc
4,lung,->,either
5,either,->,xray
6,xray,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,tub,->,dysp
3,smoke,->,dysp
4,either,->,xray
5,dysp,->,either
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,lung,->,either
4,bronc,->,dysp
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,tub
3,lung,->,xray
4,bronc,->,dysp
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,smoke,->,xray
3,either,->,tub
4,either,->,xray
5,dysp,->,smoke
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,bronc,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,either
3,lung,->,dysp
4,either,->,xray
5,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,lung,->,either
3,lung,->,xray
ID,Variable 1,Dependency,Variable 2
1,tub,->,smoke
2,lung,->,either
3,lung,->,xray
4,bronc,->,smoke
5,bronc,->,dysp
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,either,->,dysp
3,xray,->,either
4,dysp,->,smoke
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,tub,->,smoke
3,tub,->,bronc
4,either,->,lung
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,tub,->,dysp
3,smoke,->,dysp
4,either,->,xray
5,dysp,->,either
ID,Variable 1,Dependency,Variable 2
1,bronc,->,smoke
2,bronc,->,dysp
3,either,->,tub
4,either,->,lung
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,lung,->,tub
2,lung,->,xray
3,bronc,->,dysp
4,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,xray
2,either,->,tub
3,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,lung,->,xray
3,bronc,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,either
3,lung,->,xray
4,lung,->,dysp
5,bronc,->,smoke
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,either
3,bronc,->,dysp
4,either,->,xray
5,dysp,->,tub
6,dysp,->,smoke
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,smoke,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,either
3,bronc,->,dysp
4,either,->,smoke
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,bronc,->,dysp
3,either,->,lung
4,either,->,xray
