ID,Parent,Child,TrueOrFalse
0,KINKEDTUBE,VENTLUNG,true
1,VENTLUNG,VENTALV,true
2,PULMEMBOLUS,SHUNT,true
3,LVFAILURE,LVEDVOLUME,true
4,HR,HRBP,true
5,VENTMACH,VENTTUBE,true
6,PULMEMBOLUS,PAP,true
7,PVSAT,SAO2,true
8,INTUBATION,MINVOL,true
9,HRSAT,INTUBATION,false
10,CO,STROKEVOLUME,false
11,EXPCO2,SHUNT,false
12,PVSAT,PAP,false
13,HR,PULMEMBOLUS,false
14,HRSAT,PULMEMBOLUS,false
15,CO,DISCONNECT,false
16,PAP,VENTALV,false
17,KINKEDTUBE,PCWP,false
18,ARTCO2,SHUNT,false
19,TPR,HR,false
20,HREKG,CO,false
21,VENTLUNG,KINKEDTUBE,false
22,ANAPHYLAXIS,VENTALV,false
23,MINVOL,HR,false
24,CO,PCWP,false
25,DISCONNECT,HRSAT,false
26,VENTLUNG,TPR,false
