ID,Variable1,Variable2,TrueOrFalse
0,INSUFFANESTH,CATECHOL,true
1,ERRLOWOUTPUT,HRBP,true
2,DISCONNECT,VENTTUBE,true
3,PULMEMBOLUS,PAP,true
4,LVFAILURE,HISTORY,true
5,VENTTUBE,VENTLUNG,true
6,STROKEVOLUME,CO,true
7,LVEDVOLUME,PCWP,true
8,VENTMACH,VENTTUBE,true
9,MINVOLSET,SHUNT,false
10,ERRLOWOUTPUT,LVEDVOLUME,false
11,VENTMACH,DISCONNECT,false
12,ERRLOWOUTPUT,INTUBATION,false
13,ERRLOWOUTPUT,STROKEVOLUME,false
14,HISTORY,ERRLOWOUTPUT,false
15,LVEDVOLUME,PVSAT,false
16,HISTORY,TPR,false
17,LVFAILURE,ARTCO2,false
