ID,Parent,Child,TrueOrFalse
0,Season,Work_and_school_activity,TRUE
1,Work_and_school_activity,Transportation_activity,TRUE
2,Patients_in_MVBs,Deaths_with_COVID_on_certificate,TRUE
3,Majority_COVID_19_variant,Second_dose_uptake,TRUE
4,Patients_in_hospital,Face_masks,TRUE
5,Majority_COVID_19_variant,Deaths_with_COVID_on_certificate,TRUE
6,Face_masks,Lockdown,FALSE
7,Hospital_admissions,Majority_COVID_19_variant,FALSE
8,Second_dose_uptake,Patients_in_hospital,FALSE
9,Positive_tests,Season,FALSE
10,Second_dose_uptake,Lockdown,FALSE
11,Transportation_activity,Deaths_with_COVID_on_certificate,FALSE
