ID,Variable1,Variable2,TrueOrFalse
0,ECO_WealthQuintile,BF_BottleFeeding,true
1,CUL_LanguageGroup,MTH_Education,true
2,CHI_Age,BF_BreastfedMonths,true
3,MTH_Education,KNW_WatchTV,true
4,CUL_LanguageGroup,HOU_ModernWallMaterial,true
5,MTH_Education,SRV_Near,true
6,WSH_SafeStoolDisposal,DIA_HadDiarrhoea,true
7,GEO_Region,WSH_ImprovedWaterSource,true
8,ECO_WealthQuintile,MTH_Education,true
9,WSH_WashWithAgent,DIA_HadDiarrhoea,true
10,DEL_SmallBaby,CHI_Weight4Height,true
11,CHI_Age,IMM_Measles,true
12,GEO_Region,BF_EarlyBreastfeeding,true
13,CUL_LanguageGroup,HOU_CookingFuel,true
14,IMM_Diptheria,CUL_LanguageGroup,false
15,WSH_SafeStoolDisposal,BF_BottleFeeding,false
16,IMM_VitaminA1,IMM_Diptheria,false
17,IMM_VitaminA1,DEL_SmallBaby,false
18,WSH_WaterTreated,WSH_WashWithAgent,false
19,WSH_ImprovedToilet,HOU_ModernWallMaterial,false
20,IMM_Diptheria,SRV_Near,false
21,BF_EarlyBreastfeeding,IMM_Diptheria,false
22,BF_BreastfedMonths,CHI_Weight4Height,false
23,KNW_WatchTV,CUL_LanguageGroup,false
24,WSH_WaterTreated,ECO_WealthQuintile,false
25,HOU_CookingFuel,SRV_OKAlone,false
26,SRV_OKAlone,CHI_Age,false
27,WSH_ImprovedWaterSource,IMM_Diptheria,false
