ID,Variable1,Variable2,TrueOrFalse
0,CUL_LanguageGroup,FP_BirthsLast5Yrs,true
1,ECO_WealthQuintile,WSH_ImprovedWaterSource,true
2,WSH_ImprovedWaterSource,DIA_HadDiarrhoea,true
3,ECO_WealthQuintile,WSH_WashWithAgent,true
4,CUL_LanguageGroup,BF_EarlyBreastfeeding,true
5,CUL_LanguageGroup,MTH_Education,true
6,CHI_Age,BF_BreastfedMonths,true
7,MTH_MaternalAge,CHI_Age,true
8,IMM_VitaminA1,IMM_Measles,true
9,CUL_LanguageGroup,WSH_ImprovedWaterSource,true
10,HOU_CookingFuel,WSH_WaterTreated,true
11,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
12,ECO_WealthQuintile,WSH_SafeStoolDisposal,true
13,WSH_WaterTreated,DIA_HadDiarrhoea,true
14,DIA_HadDiarrhoea,IMM_Diptheria,false
15,SRV_Near,MTH_MaternalAge,false
16,WSH_ImprovedWaterSource,CUL_LanguageGroup,false
17,DEL_SmallBaby,FP_ModernMethod,false
18,CUL_LanguageGroup,BF_BottleFeeding,false
19,SRV_Near,DIA_HadDiarrhoea,false
20,IMM_Measles,KNW_WatchTV,false
21,SRV_OKAlone,CUL_Religion,false
22,FP_BirthsLast5Yrs,ECO_WealthQuintile,false
23,IMM_Measles,IMM_Diptheria,false
24,ECO_WealthQuintile,IMM_Diptheria,false
25,HOU_CookingFuel,HOU_ModernWallMaterial,false
26,WSH_SafeStoolDisposal,GEO_Region,false
27,FP_ModernMethod,ECO_WealthQuintile,false
