ID,Parent,Child,TrueOrFalse
0,ECO_WealthQuintile,CHI_Weight4Height,true
1,CUL_LanguageGroup,BF_EarlyBreastfeeding,true
2,DEL_SmallBaby,CHI_Weight4Height,true
3,KNW_WatchTV,IMM_Diptheria,true
4,WSH_ImprovedWaterSource,DIA_HadDiarrhoea,true
5,ECO_WealthQuintile,WSH_WashWithAgent,true
6,MTH_Education,WSH_WaterTreated,true
7,MTH_Education,KNW_WatchTV,true
8,MTH_MaternalAge,FP_ModernMethod,true
9,MTH_Education,IMM_Diptheria,true
10,GEO_Region,ECO_WealthQuintile,true
11,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
12,CUL_LanguageGroup,HOU_ModernWallMaterial,true
13,CHI_Age,IMM_Diptheria,true
14,FP_ModernMethod,SRV_OKAlone,false
15,IMM_Measles,MTH_MaternalAge,false
16,MTH_MaternalAge,ECO_WealthQuintile,false
17,IMM_VitaminA1,MTH_Education,false
18,GEO_Region,SRV_OKAlone,false
19,HOU_ModernWallMaterial,GEO_Region,false
20,SRV_Near,DIA_HadDiarrhoea,false
21,ECO_WealthQuintile,MTH_MaternalAge,false
22,WSH_SafeStoolDisposal,BF_EarlyBreastfeeding,false
23,IMM_Diptheria,CUL_Religion,false
24,WSH_WashWithAgent,CHI_Weight4Height,false
25,CHI_Age,WSH_ImprovedWaterSource,false
26,WSH_ImprovedToilet,SRV_Near,false
27,MTH_Education,WSH_ImprovedToilet,false
