ID,Variable1,Variable2,TrueOrFalse
0,CUL_Religion,BF_BreastfedMonths,true
1,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
2,WSH_ImprovedToilet,WSH_SafeStoolDisposal,true
3,KNW_WatchTV,IMM_VitaminA1,true
4,SRV_Near,SRV_OKAlone,true
5,GEO_Region,WSH_ImprovedToilet,true
6,CHI_Age,IMM_Measles,true
7,KNW_WatchTV,IMM_Measles,true
8,ECO_WealthQuintile,SRV_Near,true
9,ECO_WealthQuintile,BF_BreastfedMonths,true
10,IMM_Measles,DIA_HadDiarrhoea,true
11,IMM_Diptheria,IMM_Measles,true
12,WSH_ImprovedWaterSource,DIA_HadDiarrhoea,true
13,ECO_WealthQuintile,WSH_ImprovedWaterSource,true
14,GEO_Region,CUL_LanguageGroup,true
15,MTH_Education,BF_BottleFeeding,true
16,CUL_LanguageGroup,HOU_CookingFuel,true
17,CHI_Age,BF_BottleFeeding,true
18,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
19,HOU_CookingFuel,WSH_WaterTreated,true
20,GEO_Region,BF_EarlyBreastfeeding,true
21,WSH_ImprovedWaterSource,WSH_WaterTreated,true
22,BF_EarlyBreastfeeding,DIA_HadDiarrhoea,true
23,ECO_WealthQuintile,WSH_ImprovedToilet,true
24,CHI_Age,IMM_VitaminA1,true
25,KNW_WatchTV,IMM_Diptheria,true
26,FP_BirthsLast5Yrs,CHI_Age,true
27,MTH_Education,WSH_WaterTreated,true
28,ECO_WealthQuintile,KNW_WatchTV,true
29,ECO_WealthQuintile,CHI_Weight4Height,true
30,MTH_Education,KNW_WatchTV,true
31,CUL_LanguageGroup,FP_BirthsLast5Yrs,true
32,WSH_WaterTreated,DIA_HadDiarrhoea,true
33,ECO_WealthQuintile,DEL_SmallBaby,true
34,GEO_Region,CHI_Age,false
35,DIA_HadDiarrhoea,SRV_OKAlone,false
36,WSH_WashWithAgent,BF_BottleFeeding,false
37,CUL_Religion,IMM_VitaminA1,false
38,CHI_Weight4Height,SRV_Near,false
39,WSH_WaterTreated,ECO_WealthQuintile,false
40,WSH_SafeStoolDisposal,CHI_Weight4Height,false
41,HOU_CookingFuel,GEO_Region,false
42,FP_BirthsLast5Yrs,WSH_WashWithAgent,false
43,FP_BirthsLast5Yrs,SRV_OKAlone,false
44,WSH_WaterTreated,MTH_Education,false
45,WSH_ImprovedToilet,GEO_Region,false
46,WSH_ImprovedToilet,BF_EarlyBreastfeeding,false
47,DEL_SmallBaby,IMM_Measles,false
48,BF_EarlyBreastfeeding,IMM_Measles,false
49,CUL_Religion,WSH_ImprovedToilet,false
50,WSH_ImprovedWaterSource,MTH_Education,false
51,DEL_SmallBaby,FP_ModernMethod,false
52,FP_ModernMethod,CUL_Religion,false
53,HOU_CookingFuel,CHI_Weight4Height,false
54,FP_ModernMethod,DEL_SmallBaby,false
55,DIA_HadDiarrhoea,FP_BirthsLast5Yrs,false
56,ECO_WealthQuintile,WSH_WaterTreated,false
57,SRV_Near,BF_BreastfedMonths,false
58,CHI_Age,CUL_LanguageGroup,false
59,SRV_Near,WSH_ImprovedWaterSource,false
60,SRV_OKAlone,WSH_ImprovedWaterSource,false
61,IMM_Diptheria,WSH_WashWithAgent,false
62,KNW_WatchTV,BF_EarlyBreastfeeding,false
63,FP_BirthsLast5Yrs,FP_ModernMethod,false
64,DEL_SmallBaby,CUL_Religion,false
65,FP_BirthsLast5Yrs,DEL_SmallBaby,false
66,DEL_SmallBaby,WSH_ImprovedWaterSource,false
67,CUL_Religion,WSH_WaterTreated,false
68,FP_BirthsLast5Yrs,IMM_Measles,false
69,HOU_ModernWallMaterial,BF_BreastfedMonths,false
70,SRV_OKAlone,CUL_LanguageGroup,false
71,BF_BottleFeeding,ECO_WealthQuintile,false
72,IMM_Measles,WSH_SafeStoolDisposal,false
73,SRV_Near,MTH_MaternalAge,false
74,HOU_CookingFuel,WSH_ImprovedWaterSource,false
75,CHI_Weight4Height,MTH_Education,false
76,FP_ModernMethod,BF_BreastfedMonths,false
77,CUL_Religion,CHI_Age,false
78,HOU_CookingFuel,MTH_MaternalAge,false
79,DEL_SmallBaby,GEO_Region,false
80,SRV_Near,HOU_CookingFuel,false
81,MTH_MaternalAge,SRV_Near,false
82,IMM_VitaminA1,BF_BreastfedMonths,false
83,BF_BottleFeeding,WSH_SafeStoolDisposal,false
84,SRV_OKAlone,MTH_MaternalAge,false
85,KNW_WatchTV,DEL_SmallBaby,false
86,DIA_HadDiarrhoea,CUL_Religion,false
87,MTH_MaternalAge,IMM_Measles,false
88,BF_BottleFeeding,HOU_CookingFuel,false
89,WSH_ImprovedToilet,SRV_Near,false
90,WSH_WashWithAgent,HOU_CookingFuel,false
91,WSH_ImprovedToilet,BF_BreastfedMonths,false
92,SRV_OKAlone,MTH_Education,false
93,CUL_Religion,MTH_Education,false
94,MTH_MaternalAge,CUL_Religion,false
95,GEO_Region,WSH_WashWithAgent,false
96,SRV_OKAlone,GEO_Region,false
97,WSH_WashWithAgent,MTH_Education,false
98,BF_BreastfedMonths,IMM_VitaminA1,false
99,MTH_Education,DIA_HadDiarrhoea,false
100,WSH_WaterTreated,BF_EarlyBreastfeeding,false
101,GEO_Region,WSH_WaterTreated,false
102,HOU_ModernWallMaterial,KNW_WatchTV,false
103,IMM_VitaminA1,SRV_OKAlone,false
104,MTH_MaternalAge,WSH_SafeStoolDisposal,false
105,CUL_LanguageGroup,IMM_Measles,false
