ID,Variable1,Variable2,TrueOrFalse
0,SocialWithdraw,CriminalNetwork,true
1,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
2,RefuseFailToAttendTherapy,AngerManagementGivenRFAT,true
3,TimeAtRisk,ViolentConvictions,true
4,EcstasyDuringPrisonSentence,EcstasyAfterRelease,true
5,StrangeExperiences,StrangeExperiencesPT,true
6,EcstasyBeforePrisonSentence,EcstasyDuringPrisonSentence,true
7,HazardousDrinkingPT,SubstanceUse,true
8,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
9,DrugTreatment,DrugTreatmentGivenRFAT,true
10,CannabisBeforePrisonSentence,CannabisAfterRelease,true
11,PsychiatricTreatmentGivenRFAT,AnxietyPT,true
12,CocainePT,SubstanceUse,true
13,Anger,AngerPT,true
14,ResponseToTreatGivenDrugDep,CannabisPT,true
15,CannabisAfterRelease,CannabisPT,true
16,CocaineBeforePrisonSentence,CocaineDuringPrisonSentence,true
17,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
18,ViolentThoughts,AggressionDL,true
19,Violence,PriorViolentConvictions,true
20,Intelligence,ResponsivenessToTreatment,true
21,Impulsivity,AggressionDL,true
22,ComplianceWithSupervision,CriminalAttitude,true
23,DepressionPT,FinancialDifficulties,true
24,StrangeExperiencesPT,MentalIllnessSymptomCount,true
25,GangMember,NegativeAttitude,true
26,HazardousDrinkingAfterRelease,HazardousDrinkingPT,true
27,DepressionPT,SocialWithdraw,true
28,SubstanceUse,ParanoidDelusions,false
29,SubstanceUse,Hallucinations,false
30,EcstasyDuringPrisonSentence,AttitudeDL,false
31,TimeAtRisk,DepressionPT,false
32,ParanoidDelusionsPT,ViolentConvictions,false
33,ComplianceWithSupervision,StrangeExperiences,false
34,PCLRfactor1,AttitudeDL,false
35,ParanoidDelusions,SubstanceUse,false
36,FinancialDifficulties,SocialProtectiveObs,false
37,EcstasyDependence,HazardousDrinkingAfterRelease,false
38,TimeAtRisk,CannabisPT,false
39,SocialProtectiveObs,AngerPT,false
40,RefuseFailToAttendTherapy,Age,false
41,CocaineDuringPrisonSentence,DrugTreatment,false
42,Impulsivity,Violence,false
43,ASPD,Education,false
44,ThoughtInsertion,EmploymentOrTraining,false
45,CannabisDuringPrisonSentence,PCLRfacet3,false
46,CocaineDuringPrisonSentence,Hallucinations,false
47,DrugTreatmentGivenRFAT,ThoughtInsertion,false
48,SubstanceUse,Age,false
49,RefuseFailToAttendTherapy,SubstanceMisuseDL,false
50,CriminalFamilyBackground,ResponsivenessToTreatment,false
51,ViolentConvictionsRate,Hallucinations,false
52,ResponseToTreatGivenAlcDep,Intelligence,false
53,EcstasyAfterRelease,CocaineDuringPrisonSentence,false
54,AttitudeDL,AnyDrugDependence,false
55,CannabisDuringPrisonSentence,TimeAtRisk,false
