ID,Variable1,Variable2,TrueOrFalse
0,NegativeAttitude,AttitudeDL,true
1,EcstasyDuringPrisonSentence,EcstasyAfterRelease,true
2,AlcoholTreatment,AlcoholTreatmentGivenRFAT,true
3,StrangeExperiences,StrangeExperiencesPT,true
4,ResponsivenessToTreatment,HallucinationsPT,true
5,Violence,Gender,true
6,CocaineDuringPrisonSentence,CocaineDependence,true
7,EcstasyDuringPrisonSentence,EcstasyDependence,true
8,AbilityToCope,Stress,true
9,CocaineBeforePrisonSentence,CocaineAfterRelease,true
10,EcstasyPT,SubstanceUse,true
11,CannabisDuringPrisonSentence,CannabisDependence,true
12,PsychiatricTreatmentGivenRFAT,AnxietyPT,true
13,GangMember,Victimisation,true
14,HazardousDrinkingPT,SubstanceUse,true
15,ViolentThoughts,AggressionDL,true
16,Education,Intelligence,true
17,DrugTreatmentGivenRFAT,EcstasyPT,true
18,CocaineBeforePrisonSentence,CocaineDuringPrisonSentence,true
19,Intelligence,AbilityToCope,true
20,Anxiety,AnxietyPT,true
21,ResponsivenessToTreatment,PCLRfactor1,true
22,SymptomsOfMentalIllness,Hallucinations,true
23,CannabisDependence,AnyDrugDependence,true
24,Anger,AngerPT,true
25,Violence,prioracq,true
26,RefuseFailToAttendTherapy,AngerManagementGivenRFAT,true
27,ResponsivenessToTreatment,ResponseToTreatGivenAlcDep,true
28,SocialProtectiveObs,AnyDrugDependence,false
29,CriminalNetwork,CannabisAfterRelease,false
30,ThoughtInsertionPT,SocialWithdraw,false
31,ResponseToTreatGivenDrugDep,EcstasyDependence,false
32,MentalIllnessDL,ResponsivenessToTreatment,false
33,ParanoidDelusionsPT,AngerPT,false
34,HallucinationsPT,Age,false
35,PsychiatricTreatmentGivenRFAT,Stress,false
36,CriminalFamilyBackground,FinancialDifficulties,false
37,CocaineDependence,NegativeAttitude,false
38,ParanoidDelusions,PsychiatricTreatmentGivenRFAT,false
39,ViolentConvRateGivenProt,CriminalFamilyBackground,false
40,Gender,AbuseNeglectAsChild,false
41,LivingCircumstances,Impulsivity,false
42,ASPD,FinancialDifficulties,false
43,pclrscore,DrugTreatmentGivenRFAT,false
44,RefuseFailToAttendTherapy,AbuseNeglectAsChild,false
45,Victimisation,ViolentConvRateGivenProt,false
46,AnxietyPT,BPD,false
47,SymptomsOfMentalIllness,LivingCircumstances,false
48,GangMember,CocaineBeforePrisonSentence,false
49,HazardousDrinkingPT,CriminalAttitude,false
50,RefuseFailToAttendTherapy,EcstasyBeforePrisonSentence,false
51,DepressionPT,CocaineDuringPrisonSentence,false
52,LivingCircumstances,CannabisBeforePrisonSentence,false
53,CriminalAttitude,MentalIllnessSymptomCount,false
54,BPD,HallucinationsPT,false
55,RefuseFailToAttendTherapy,ResponsivenessToTreatment,false
