ID,Parent,Child,TrueOrFalse
0,ViolentThoughts,AggressionDL,true
1,CriminalFamilyBackground,CriminalNetwork,true
2,AlcoholTreatmentGivenRFAT,HazardousDrinkingPT,true
3,Education,EmploymentOrTraining,true
4,Violence,Gender,true
5,PsychiatricTreatmentGivenRFAT,ParanoidDelusionsPT,true
6,DepressionPT,SocialWithdraw,true
7,MentalIllnessDL,ViolentConvictionsRate,true
8,DepressionPT,MentalIllnessSymptomCount,true
9,SubstanceUse,SubstanceMisuseDL,true
10,ResponsivenessToTreatment,ParanoidDelusionsPT,true
11,AngerManagement,AngerManagementGivenRFAT,true
12,AlcoholDependence,ResponseToTreatGivenAlcDep,true
13,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
14,ThoughtInsertionPT,MentalIllnessSymptomCount,true
15,DrugTreatmentGivenRFAT,EcstasyPT,true
16,EcstasyPT,SubstanceUse,true
17,Violence,prioracq,true
18,DrugTreatment,DrugTreatmentGivenRFAT,true
19,Victimisation,ProblematicLifeEvents,true
20,AnxietyPT,MentalIllnessSymptomCount,true
21,SymptomsOfMentalIllness,StrangeExperiences,true
22,SocialWithdraw,CriminalNetwork,true
23,ComplianceWithSupervision,NegativeAttitude,true
24,ResponsivenessToTreatment,StrangeExperiencesPT,true
25,FinancialDifficulties,Stress,true
26,ParanoidDelusionsPT,MentalIllnessSymptomCount,true
27,ResponseToTreatGivenDrugDep,CannabisPT,true
28,Age,ParanoidDelusions,false
29,EcstasyAfterRelease,Anxiety,false
30,ParanoidDelusions,AggressionDL,false
31,StrangeExperiences,CannabisAfterRelease,false
32,EcstasyAfterRelease,Education,false
33,ResponseToTreatGivenDrugDep,PCLRfactor1,false
34,Violence,BPD,false
35,HallucinationsPT,ComplianceWithSupervision,false
36,Hallucinations,ComplianceWithSupervision,false
37,Hallucinations,DrugTreatment,false
38,ResponseToTreatGivenDrugDep,TimeAtRisk,false
39,SubstanceMisuseDL,ParanoidDelusionsPT,false
40,Education,Anger,false
41,SocialProtectiveObs,AbuseNeglectAsChild,false
42,FinancialDifficulties,CocaineBeforePrisonSentence,false
43,CannabisBeforePrisonSentence,ViolentConvictions,false
44,AngerManagement,CannabisDuringPrisonSentence,false
45,AlcoholDependence,StrangeExperiencesPT,false
46,CannabisPT,ParanoidDelusions,false
47,ThoughtInsertionPT,SocialWithdraw,false
48,ViolentConvictions,CocaineDependence,false
49,CocaineDependence,DepressionPT,false
50,CriminalFamilyBackground,RefuseFailToAttendTherapy,false
51,AlcoholTreatmentGivenRFAT,CriminalFamilyBackground,false
52,SocialWithdraw,ViolentConvRateGivenProt,false
53,EcstasyAfterRelease,MentalIllnessSymptomCount,false
54,ViolentThoughts,CannabisDependence,false
55,BPD,CannabisAfterRelease,false
