ID,Variable1,Variable2,TrueOrFalse
0,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
1,AngerPT,ViolentThoughts,true
2,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
3,Hallucinations,HallucinationsPT,true
4,DrugTreatment,DrugTreatmentGivenRFAT,true
5,ResponseToTreatGivenAlcDep,HazardousDrinkingPT,true
6,Victimisation,ProblematicLifeEvents,true
7,DepressionPT,SocialWithdraw,true
8,LivingCircumstances,DomesticStability,true
9,ResponseToTreatGivenDrugDep,EcstasyPT,true
10,CriminalNetwork,NegativeAttitude,true
11,EcstasyAfterRelease,EcstasyPT,true
12,Anger,AngerPT,true
13,Impulsivity,AggressionDL,true
14,FinancialDifficulties,ResponsivenessToTreatment,false
15,ResponseToTreatGivenDrugDep,EcstasyDependence,false
16,EcstasyAfterRelease,AnyDrugDependence,false
17,AlcoholDependence,ResponsivenessToTreatment,false
18,Intelligence,AngerPT,false
19,ComplianceWithSupervision,PCLRfactor2,false
20,GangMember,AttitudeDL,false
21,EmploymentOrTraining,CannabisBeforePrisonSentence,false
22,AnxietyPT,EcstasyAfterRelease,false
23,DrugTreatmentGivenRFAT,AlcoholDependence,false
24,ComplianceWithSupervision,ResponsivenessToTreatment,false
25,AttitudeDL,EmploymentOrTraining,false
26,ResponsivenessToTreatment,HazardousDrinkingPT,false
27,HazardousDrinkingPT,TimeAtRisk,false
