ID,Parent,Child,TrueOrFalse
0,X268,X411,true
1,X74,X158,true
2,X132,X286,true
3,X459,X469,true
4,X271,X275,true
5,X304,X498,true
6,X124,X344,true
7,X365,X454,true
8,X85,X492,true
9,X36,X179,true
10,X350,X420,true
11,X101,X278,true
12,X319,X492,true
13,X199,X495,true
14,X143,X385,true
15,X350,X396,true
16,X115,X317,true
17,X215,X440,true
18,X142,X228,true
19,X184,X193,true
20,X200,X406,true
21,X221,X272,true
22,X70,X333,true
23,X420,X498,true
24,X212,X412,true
25,X8,X236,true
26,X138,X160,true
27,X79,X385,true
28,X143,X465,true
29,X112,X454,true
30,X125,X160,true
31,X77,X291,true
32,X73,X120,true
33,X151,X329,true
34,X2,X182,true
35,X82,X246,true
36,X98,X139,true
37,X67,X439,true
38,X55,X58,true
39,X224,X335,true
40,X98,X403,true
41,X46,X51,true
42,X226,X353,true
43,X359,X486,true
44,X132,X215,true
45,X97,X398,true
46,X56,X445,true
47,X19,X242,true
48,X140,X209,true
49,X157,X456,true
50,X366,X412,true
51,X258,X486,true
52,X128,X455,true
53,X151,X153,true
54,X15,X109,true
55,X248,X264,true
56,X83,X450,true
57,X281,X421,true
58,X184,X383,true
59,X225,X481,true
60,X184,X487,true
61,X63,X81,true
62,X1,X457,true
63,X10,X84,true
64,X95,X389,true
65,X338,X491,true
66,X47,X254,true
67,X93,X459,true
68,X259,X292,true
69,X37,X474,true
70,X256,X424,true
71,X229,X369,true
72,X386,X439,true
73,X171,X421,true
74,X45,X353,true
75,X181,X452,true
76,X152,X313,true
77,X162,X440,true
78,X109,X476,true
79,X65,X185,true
80,X468,X483,true
81,X160,X472,true
82,X6,X105,true
83,X39,X131,true
84,X151,X241,true
85,X336,X464,true
86,X0,X218,true
87,X183,X388,true
88,X0,X125,true
89,X70,X142,true
90,X306,X364,true
91,X325,X366,true
92,X403,X446,true
93,X411,X472,true
94,X247,X485,true
95,X10,X224,true
96,X197,X359,true
97,X229,X273,true
98,X235,X249,true
99,X137,X233,true
100,X238,X384,true
101,X183,X279,true
102,X19,X95,true
103,X102,X413,true
104,X221,X363,true
105,X121,X196,true
106,X442,X464,true
107,X98,X318,true
108,X45,X384,true
109,X39,X165,true
110,X225,X373,true
111,X189,X475,true
112,X238,X272,true
113,X372,X383,true
114,X8,X457,true
115,X127,X148,true
116,X194,X257,true
117,X136,X285,true
118,X383,X428,true
119,X386,X417,true
120,X215,X342,true
121,X162,X426,true
122,X222,X441,true
123,X397,X453,true
124,X65,X398,true
125,X298,X334,true
126,X222,X378,true
127,X5,X378,true
128,X44,X346,true
129,X176,X489,true
130,X338,X368,true
131,X142,X373,true
132,X71,X280,true
133,X326,X418,true
134,X85,X230,true
135,X6,X61,true
136,X348,X395,true
137,X200,X320,true
138,X231,X469,true
139,X104,X128,true
140,X110,X466,true
141,X94,X131,true
142,X168,X359,true
143,X207,X244,true
144,X196,X305,true
145,X73,X386,true
146,X103,X191,true
147,X158,X280,true
148,X52,X236,true
149,X26,X330,true
150,X179,X209,true
151,X12,X204,true
152,X236,X282,true
153,X280,X356,true
154,X96,X325,true
155,X255,X468,true
156,X159,X364,true
157,X299,X316,true
158,X188,X277,true
159,X65,X273,true
160,X144,X226,true
161,X139,X201,true
162,X179,X315,true
163,X184,X232,true
164,X38,X405,true
165,X6,X176,true
166,X171,X411,true
167,X292,X483,true
168,X363,X462,true
169,X271,X272,true
170,X95,X284,true
171,X52,X414,true
172,X478,X483,true
173,X33,X447,true
174,X130,X497,true
175,X141,X494,true
176,X137,X384,true
177,X20,X212,true
178,X368,X381,true
179,X36,X88,true
180,X429,X446,true
181,X40,X287,true
182,X299,X466,true
183,X18,X460,true
184,X264,X300,true
185,X217,X481,true
186,X61,X113,true
187,X208,X444,true
188,X91,X146,true
189,X47,X184,true
190,X13,X56,true
191,X208,X279,true
192,X256,X441,true
193,X76,X233,true
194,X38,X103,true
195,X142,X253,true
196,X61,X257,true
197,X253,X390,true
198,X74,X208,true
199,X218,X288,true
200,X282,X427,true
201,X252,X378,true
202,X206,X318,true
203,X21,X48,true
204,X136,X388,true
205,X170,X212,true
206,X0,X233,true
207,X263,X357,true
208,X309,X350,true
209,X300,X316,true
210,X104,X242,true
211,X0,X329,true
212,X173,X441,true
213,X83,X276,true
214,X99,X305,true
215,X57,X136,true
216,X247,X347,true
217,X157,X465,true
218,X94,X235,true
219,X256,X307,true
220,X331,X469,true
221,X125,X354,true
222,X118,X208,true
223,X222,X405,true
224,X141,X398,true
225,X26,X251,true
226,X240,X310,true
227,X14,X320,true
228,X270,X358,true
229,X204,X381,true
230,X79,X321,true
231,X248,X307,true
232,X263,X455,true
233,X2,X158,true
234,X195,X277,true
235,X141,X483,true
236,X71,X412,true
237,X256,X309,true
238,X234,X265,true
239,X208,X480,true
240,X143,X174,true
241,X477,X496,true
242,X229,X284,true
243,X71,X203,true
244,X232,X280,true
245,X114,X339,true
246,X96,X146,true
247,X157,X331,true
248,X270,X498,true
249,X66,X291,true
250,X263,X285,true
251,X204,X270,true
252,X23,X479,true
253,X17,X305,true
254,X13,X202,true
255,X106,X258,true
256,X63,X498,true
257,X15,X236,true
258,X58,X391,true
259,X280,X495,true
260,X132,X278,true
261,X157,X361,true
262,X14,X175,true
263,X23,X216,true
264,X243,X292,true
265,X4,X28,true
266,X95,X105,true
267,X43,X123,true
268,X38,X437,true
269,X113,X274,true
270,X435,X484,true
271,X240,X274,true
272,X307,X423,true
273,X211,X227,true
274,X215,X283,true
275,X305,X484,true
276,X23,X446,true
277,X291,X432,true
278,X31,X494,true
279,X102,X311,true
280,X225,X323,true
281,X264,X322,true
282,X192,X488,true
283,X107,X275,true
284,X233,X453,true
285,X263,X462,true
286,X22,X249,true
287,X22,X264,true
288,X398,X420,true
289,X355,X408,true
290,X225,X438,true
291,X63,X339,true
292,X239,X328,true
293,X427,X471,true
294,X302,X304,true
295,X137,X399,true
296,X42,X346,true
297,X10,X115,true
298,X88,X265,true
299,X3,X47,true
300,X140,X147,true
301,X24,X485,true
302,X133,X158,true
303,X249,X456,true
304,X374,X481,true
305,X160,X322,true
306,X4,X496,true
307,X409,X424,true
308,X352,X403,true
309,X356,X465,true
310,X224,X271,true
311,X54,X307,true
312,X68,X165,true
313,X101,X302,true
314,X406,X488,true
315,X115,X270,true
316,X30,X245,true
317,X176,X367,true
318,X30,X146,true
319,X64,X275,true
320,X106,X257,true
321,X155,X484,true
322,X102,X345,true
323,X1,X42,true
324,X43,X295,true
325,X64,X90,true
326,X92,X433,true
327,X176,X398,true
328,X417,X482,true
329,X113,X256,true
330,X159,X420,true
331,X236,X420,true
332,X79,X84,true
333,X32,X325,true
334,X115,X211,true
335,X3,X196,true
336,X258,X419,true
337,X143,X222,true
338,X181,X450,true
339,X287,X394,true
340,X80,X425,true
341,X227,X277,true
342,X22,X354,true
343,X281,X347,true
344,X89,X180,true
345,X250,X415,true
346,X36,X172,true
347,X112,X431,true
348,X143,X335,true
