ID,Parent,Child,TrueOrFalse
0,X10,X99,true
1,X85,X93,true
2,X12,X86,true
3,X0,X65,true
4,X6,X59,true
5,X18,X74,true
6,X18,X33,true
7,X11,X47,true
8,X7,X78,true
9,X18,X19,true
10,X10,X11,true
11,X27,X46,true
12,X4,X24,true
13,X18,X55,true
14,X2,X5,true
15,X7,X34,true
16,X45,X92,true
17,X1,X35,true
18,X28,X66,true
19,X6,X13,true
20,X22,X88,true
21,X27,X73,true
22,X2,X10,true
23,X8,X11,true
24,X1,X38,true
25,X1,X19,true
26,X9,X15,true
27,X17,X18,true
28,X24,X37,true
29,X36,X72,true
30,X9,X71,true
31,X14,X21,true
32,X8,X14,true
33,X27,X95,true
34,X3,X31,true
35,X23,X53,true
36,X56,X85,true
37,X14,X53,true
38,X21,X85,true
39,X58,X0,false
40,X11,X33,false
41,X79,X71,false
42,X2,X42,false
43,X16,X61,false
44,X97,X83,false
45,X0,X26,false
46,X52,X82,false
47,X59,X11,false
48,X48,X22,false
49,X29,X64,false
50,X11,X48,false
51,X35,X33,false
52,X80,X55,false
53,X41,X68,false
54,X46,X35,false
55,X26,X5,false
56,X63,X52,false
57,X44,X11,false
58,X16,X31,false
59,X14,X62,false
60,X93,X73,false
61,X76,X4,false
62,X96,X80,false
63,X19,X39,false
64,X85,X42,false
65,X88,X20,false
66,X84,X12,false
67,X22,X0,false
68,X79,X59,false
69,X59,X4,false
70,X63,X43,false
71,X37,X39,false
72,X79,X70,false
73,X54,X22,false
74,X75,X93,false
75,X25,X40,false
76,X16,X38,false
77,X82,X69,false
