Positive_tests,Excess_mortality,Tests_across_all_4_Pillars,Season,Leisure_activity,Work_and_school_activity,Deaths_with_COVID_on_certificate,Reinfections,Patients_in_MVBs,Majority_COVID_19_variant,Lockdown,Hospital_admissions,Face_masks,Second_dose_uptake,Transportation_activity,Patients_in_hospital,New_infections
0,1,0,1,2,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,1,2,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,1,2,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,1,2,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,1,2,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,1,2,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,1,2,3,0,0,0,0,0,1,0,3,3,1,0
0,0,0,1,2,3,0,0,0,0,0,0,0,3,3,0,0
0,0,0,1,2,3,0,0,0,0,0,0,0,3,3,0,0
0,0,0,1,2,3,0,0,0,0,0,0,0,3,3,0,0
0,0,0,1,2,3,0,0,0,0,0,0,0,3,3,0,0
0,0,0,1,3,2,0,0,0,0,0,0,0,3,3,0,0
0,0,0,1,2,3,0,0,0,0,0,0,0,3,3,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0
0,0,0,0,1,2,0,0,0,0,0,0,0,3,3,0,0
0,1,0,0,2,3,0,0,0,0,0,0,0,3,3,0,0
0,1,0,0,1,3,0,0,0,0,0,0,0,3,3,0,0
0,1,0,0,2,3,0,0,0,0,0,0,0,3,3,1,0
0,1,0,0,2,3,0,0,0,0,0,0,0,3,3,1,0
0,1,0,0,1,3,0,0,0,0,0,0,0,3,3,1,0
0,1,0,0,1,3,0,0,0,0,0,0,0,3,3,1,0
0,1,0,0,2,3,0,0,0,0,0,0,0,3,3,1,0
0,1,0,0,3,3,0,0,0,0,0,0,0,3,3,1,0
0,1,0,0,2,3,0,0,0,0,0,0,0,3,3,1,0
0,1,0,0,0,3,0,0,0,0,0,0,0,3,3,1,0
0,1,0,0,2,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,0,2,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,0,3,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,0,2,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,0,0,3,0,0,0,0,0,1,0,3,3,1,0
0,1,0,0,2,3,0,0,0,0,0,0,0,3,3,1,0
0,1,0,0,2,3,0,0,0,0,0,1,0,3,3,1,0
