propertyManagement,propertyExpenses,rentalGrossProfit,actualRentalIncome,otherPropertyExpenses,rentalNetProfitBeforeInterest,rentalGrossYield,rentalIncomeT+1,rentalIncomeLoss%,rentalIncome,propertyPurchaseValue,LTV,propertyValueT+1,stampDutyTaxBand,stampDutyTax,capitalGains,otherPropertyExpensesT+1,propertyExpensesGrowth,rentalGrowth,capitalGrowth,incomeTax,interestTaxRelief,netProfit,interest,interestRate,borrowing,otherInterestFees
3,2,2,0,0,2,1,0,3,0,5,3,5,1,1,3,1,0,0,2,1,0,2,0,3,0,0
0,2,3,2,0,3,1,1,0,1,3,3,3,1,1,1,0,0,0,4,2,0,1,0,1,0,0
3,2,0,3,0,2,1,3,0,3,0,2,0,0,1,2,0,0,1,4,0,3,2,2,4,1,1
2,1,3,2,1,0,3,2,4,1,0,1,0,1,1,3,1,3,1,2,2,2,3,3,1,2,0
0,2,3,4,1,1,2,4,2,4,2,1,2,0,0,3,1,2,1,0,2,0,5,0,1,2,1
3,0,2,3,2,2,0,3,1,0,1,2,1,2,1,0,2,1,2,1,1,2,2,3,1,2,0
3,3,1,2,0,5,2,1,3,2,2,2,2,0,0,3,0,0,1,2,0,0,3,0,2,0,0
0,1,1,1,2,4,2,0,4,2,2,0,2,0,0,3,0,1,1,3,1,1,4,1,0,1,1
1,0,2,3,2,2,0,3,2,3,4,3,4,2,1,3,2,4,1,2,1,0,0,0,1,1,0
3,1,0,3,2,2,1,3,4,3,0,2,0,0,1,3,2,4,1,2,1,1,0,1,0,3,1
