ID,Variable 1,Dependency,Variable 2
1,ANAPHYLAXIS,->,TPR
2,ARTCO2,->,CATECHOL
3,ARTCO2,->,EXPCO2
4,CATECHOL,->,HR
5,CO,->,BP
6,DISCONNECT,->,VENTTUBE
7,ERRCAUTER,->,HREKG
8,ERRCAUTER,->,HRSAT
9,ERRLOWOUTPUT,->,HRBP
10,FIO2,->,PVSAT
11,HR,->,CO
12,HR,->,HRBP
13,HR,->,HREKG
14,HR,->,HRSAT
15,HYPOVOLEMIA,->,LVEDVOLUME
16,HYPOVOLEMIA,->,STROKEVOLUME
17,INSUFFANESTH,->,CATECHOL
18,INTUBATION,->,MINVOL
19,INTUBATION,->,PRESS
20,INTUBATION,->,SHUNT
21,INTUBATION,->,VENTALV
22,INTUBATION,->,VENTLUNG
23,KINKEDTUBE,->,PRESS
24,KINKEDTUBE,->,VENTLUNG
25,LVEDVOLUME,->,CVP
26,LVEDVOLUME,->,PCWP
27,LVFAILURE,->,HISTORY
28,LVFAILURE,->,LVEDVOLUME
29,LVFAILURE,->,STROKEVOLUME
30,MINVOLSET,->,VENTMACH
31,PULMEMBOLUS,->,PAP
32,PULMEMBOLUS,->,SHUNT
33,PVSAT,->,SAO2
34,SAO2,->,CATECHOL
35,SHUNT,->,SAO2
36,STROKEVOLUME,->,CO
37,TPR,->,BP
38,TPR,->,CATECHOL
39,VENTALV,->,ARTCO2
40,VENTALV,->,PVSAT
41,VENTLUNG,->,EXPCO2
42,VENTLUNG,->,MINVOL
43,VENTLUNG,->,VENTALV
44,VENTMACH,->,VENTTUBE
45,VENTTUBE,->,PRESS
46,VENTTUBE,->,VENTLUNG
