ID,Variable 1,Dependency,Variable 2
1,VENTLUNG,->,EXPCO2
2,VENTLUNG,->,MINVOL
3,MINVOLSET,->,VENTMACH
4,VENTMACH,->,VENTTUBE
5,PRESS,->,KINKEDTUBE
6,HREKG,->,ERRCAUTER
7,HREKG,->,HRSAT
8,HRBP,->,ERRLOWOUTPUT
9,HRBP,->,HR
10,MINVOL,->,INTUBATION
11,MINVOL,->,VENTALV
12,STROKEVOLUME,->,BP
13,LVFAILURE,->,LVEDVOLUME
14,LVFAILURE,->,HISTORY
15,LVEDVOLUME,->,PCWP
16,LVEDVOLUME,->,CVP
17,INTUBATION,->,SHUNT
18,VENTTUBE,->,VENTLUNG
19,VENTTUBE,->,DISCONNECT
20,VENTALV,->,ARTCO2
21,HR,->,HREKG
22,HR,->,CATECHOL
23,HR,->,CO
24,CO,->,STROKEVOLUME
25,BP,->,TPR
26,PCWP,->,HYPOVOLEMIA
ID,Variable 1,Dependency,Variable 2
1,VENTLUNG,->,EXPCO2
2,VENTLUNG,->,MINVOL
3,MINVOLSET,->,VENTMACH
4,VENTMACH,->,VENTTUBE
5,PRESS,->,KINKEDTUBE
6,HREKG,->,ERRCAUTER
7,HREKG,->,HRSAT
8,HRBP,->,ERRLOWOUTPUT
9,HRBP,->,HR
10,MINVOL,->,INTUBATION
11,MINVOL,->,VENTALV
12,STROKEVOLUME,->,BP
13,LVFAILURE,->,LVEDVOLUME
14,LVFAILURE,->,HISTORY
15,LVEDVOLUME,->,PCWP
16,LVEDVOLUME,->,CVP
17,INTUBATION,->,SHUNT
18,VENTTUBE,->,VENTLUNG
19,VENTTUBE,->,DISCONNECT
20,VENTALV,->,ARTCO2
21,HR,->,HREKG
22,HR,->,CATECHOL
23,HR,->,CO
24,CO,->,STROKEVOLUME
25,BP,->,TPR
26,PCWP,->,HYPOVOLEMIA
ID,Variable 1,Dependency,Variable 2
1,MINVOLSET,->,VENTMACH
2,VENTMACH,->,VENTTUBE
3,PVSAT,->,SAO2
4,EXPCO2,->,VENTLUNG
5,HREKG,->,ERRCAUTER
6,HREKG,->,HRSAT
7,HREKG,->,HR
8,HRBP,->,ERRLOWOUTPUT
