ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,MINVOLSET,->,VENTMACH
3,DISCONNECT,->,HISTORY
4,VENTMACH,->,VENTTUBE
5,HREKG,->,HRSAT
6,HRBP,->,ERRLOWOUTPUT
7,HRBP,->,HR
8,MINVOL,->,VENTALV
9,STROKEVOLUME,->,CO
10,LVEDVOLUME,->,PCWP
11,LVEDVOLUME,->,CVP
12,HYPOVOLEMIA,->,STROKEVOLUME
13,HRSAT,->,ERRCAUTER
14,INTUBATION,->,SHUNT
15,VENTTUBE,->,DISCONNECT
16,VENTTUBE,->,PRESS
17,VENTTUBE,->,MINVOL
18,VENTALV,->,VENTLUNG
19,VENTALV,->,INTUBATION
20,VENTALV,->,ARTCO2
21,HR,->,HREKG
22,HR,->,CATECHOL
23,HR,->,CO
24,CO,->,BP
25,BP,->,TPR
26,PCWP,->,HYPOVOLEMIA
