ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,MINVOL
2,VENTMACH,->,VENTTUBE
3,PVSAT,->,SAO2
4,HREKG,->,ERRCAUTER
5,ERRLOWOUTPUT,->,HRBP
6,ERRLOWOUTPUT,->,HYPOVOLEMIA
7,MINVOL,->,VENTALV
8,STROKEVOLUME,->,CO
9,LVFAILURE,->,HISTORY
10,LVEDVOLUME,->,STROKEVOLUME
11,LVEDVOLUME,->,LVFAILURE
12,LVEDVOLUME,->,PCWP
13,LVEDVOLUME,->,CVP
14,HYPOVOLEMIA,->,LVEDVOLUME
15,HRSAT,->,HREKG
16,PAP,->,ANAPHYLAXIS
17,INTUBATION,->,SHUNT
18,VENTTUBE,->,DISCONNECT
19,VENTALV,->,ARTCO2
20,CATECHOL,->,HR
21,CATECHOL,->,TPR
22,ARTCO2,->,EXPCO2
23,HR,->,HRBP
24,HR,->,HRSAT
25,HR,->,CO
26,CO,->,BP
27,TPR,->,BP
28,PULMEMBOLUS,->,HR
