ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,MINVOLSET,->,VENTMACH
3,VENTMACH,->,VENTTUBE
4,PRESS,->,KINKEDTUBE
5,FIO2,->,ANAPHYLAXIS
6,PVSAT,->,SAO2
7,HREKG,->,ERRCAUTER
8,HREKG,->,HRSAT
9,HRBP,->,ERRLOWOUTPUT
10,ERRLOWOUTPUT,->,SHUNT
11,KINKEDTUBE,->,INSUFFANESTH
12,LVFAILURE,->,HISTORY
13,LVEDVOLUME,->,HYPOVOLEMIA
14,LVEDVOLUME,->,PCWP
15,LVEDVOLUME,->,CVP
16,HRSAT,->,HR
17,VENTTUBE,->,DISCONNECT
18,VENTTUBE,->,PRESS
19,VENTALV,->,MINVOL
20,VENTALV,->,ARTCO2
21,CATECHOL,->,TPR
22,HR,->,HRBP
23,HR,->,CATECHOL
24,HR,->,CO
25,CO,->,STROKEVOLUME
26,TPR,->,BP
27,PULMEMBOLUS,->,PAP
28,PULMEMBOLUS,->,SHUNT
