ID,Variable1,Dependency,Variable2
1,VENTLUNG,->,EXPCO2
2,VENTLUNG,->,MINVOL
3,VENTLUNG,->,VENTALV
4,VENTLUNG,->,HR
5,VENTMACH,->,MINVOLSET
6,VENTMACH,->,VENTTUBE
7,FIO2,->,PVSAT
8,FIO2,->,INSUFFANESTH
9,PVSAT,->,LVFAILURE
10,PVSAT,->,PULMEMBOLUS
11,PVSAT,->,SAO2
12,HREKG,->,STROKEVOLUME
13,ERRCAUTER,->,ANAPHYLAXIS
14,ERRCAUTER,->,PAP
15,HRBP,->,PVSAT
16,ERRLOWOUTPUT,->,HR
17,ERRLOWOUTPUT,->,INSUFFANESTH
18,MINVOL,->,INSUFFANESTH
19,MINVOL,->,PULMEMBOLUS
20,KINKEDTUBE,->,PRESS
21,KINKEDTUBE,->,INSUFFANESTH
22,STROKEVOLUME,->,VENTMACH
23,STROKEVOLUME,->,HYPOVOLEMIA
24,STROKEVOLUME,->,HR
25,LVFAILURE,->,HISTORY
26,LVEDVOLUME,->,FIO2
27,LVEDVOLUME,->,VENTTUBE
28,LVEDVOLUME,->,PCWP
29,LVEDVOLUME,->,CVP
30,HYPOVOLEMIA,->,LVEDVOLUME
31,HRSAT,->,VENTMACH
32,HRSAT,->,ERRCAUTER
33,INTUBATION,->,PAP
34,INTUBATION,->,SHUNT
35,VENTTUBE,->,VENTLUNG
36,VENTTUBE,->,DISCONNECT
37,VENTTUBE,->,PRESS
38,VENTALV,->,PVSAT
39,VENTALV,->,ARTCO2
40,CATECHOL,->,HR
41,HR,->,HREKG
42,HR,->,HRBP
43,HR,->,HRSAT
44,HR,->,CO
45,BP,->,VENTTUBE
46,BP,->,TPR
47,BP,->,SHUNT
48,TPR,->,ANAPHYLAXIS
49,TPR,->,CATECHOL
50,TPR,->,PULMEMBOLUS
51,PCWP,->,INSUFFANESTH
52,PULMEMBOLUS,->,PAP
53,PULMEMBOLUS,->,SHUNT
54,CVP,->,PULMEMBOLUS
