ID,Variable 1,Dependency,Variable 2
1,tub,->,dysp
2,lung,->,xray
3,bronc,->,smoke
4,bronc,->,dysp
5,either,->,lung
ID,Variable 1,Dependency,Variable 2
1,tub,->,dysp
2,smoke,->,bronc
3,bronc,->,dysp
4,either,->,lung
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,bronc,->,smoke
2,bronc,->,dysp
3,either,->,asia
4,either,->,lung
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,tub
3,lung,->,smoke
4,lung,->,either
5,bronc,->,tub
6,bronc,->,dysp
7,xray,->,lung
8,dysp,->,smoke
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,tub
3,lung,->,either
4,bronc,->,tub
5,bronc,->,dysp
6,either,->,smoke
7,xray,->,lung
8,dysp,->,smoke
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,lung,->,xray
3,bronc,->,smoke
4,bronc,->,dysp
5,either,->,smoke
6,dysp,->,asia
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,bronc,->,smoke
3,bronc,->,dysp
4,either,->,lung
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,lung,->,either
4,bronc,->,dysp
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,asia
2,smoke,->,bronc
3,lung,->,smoke
4,lung,->,either
5,bronc,->,dysp
6,either,->,tub
7,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,lung,->,tub
2,lung,->,either
3,bronc,->,smoke
4,bronc,->,dysp
5,either,->,tub
6,either,->,xray
7,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,tub
3,lung,->,either
4,bronc,->,dysp
5,either,->,tub
6,xray,->,lung
7,xray,->,either
8,xray,->,dysp
ID,Variable 1,Dependency,Variable 2
1,smoke,->,asia
2,smoke,->,xray
3,lung,->,tub
4,bronc,->,smoke
5,bronc,->,dysp
6,either,->,tub
7,either,->,lung
8,either,->,dysp
9,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,asia,->,xray
2,tub,->,either
3,lung,->,either
4,bronc,->,smoke
5,bronc,->,dysp
6,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,asia,->,xray
2,tub,->,either
3,smoke,->,bronc
4,lung,->,either
5,bronc,->,dysp
6,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,lung
3,lung,->,either
4,lung,->,xray
5,bronc,->,tub
6,bronc,->,smoke
7,either,->,xray
8,dysp,->,tub
9,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,either
3,bronc,->,smoke
4,bronc,->,dysp
5,either,->,xray
6,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,bronc,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,lung
3,smoke,->,bronc
4,lung,->,bronc
5,lung,->,either
6,bronc,->,dysp
7,either,->,xray
8,xray,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,either
3,bronc,->,smoke
4,bronc,->,dysp
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,lung,->,either
4,bronc,->,dysp
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,lung,->,either
4,lung,->,dysp
5,bronc,->,asia
6,bronc,->,tub
7,bronc,->,dysp
8,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,smoke,->,bronc
3,lung,->,either
4,lung,->,xray
5,either,->,dysp
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,smoke,->,bronc
3,lung,->,either
4,either,->,xray
5,either,->,dysp
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,either
3,either,->,xray
4,either,->,dysp
5,xray,->,smoke
