ID,Variable 1,Dependency,Variable 2
1,lung,->,xray
2,either,->,lung
3,either,->,dysp
4,dysp,->,smoke
5,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,either,->,lung
2,either,->,xray
3,either,->,dysp
4,dysp,->,smoke
5,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,smoke,->,asia
2,either,->,lung
3,either,->,xray
4,either,->,dysp
5,dysp,->,smoke
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,tub,->,dysp
3,smoke,->,bronc
4,lung,->,either
5,lung,->,xray
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,tub,->,dysp
2,smoke,->,lung
3,smoke,->,bronc
4,smoke,->,dysp
5,lung,->,either
6,bronc,->,dysp
7,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,either
3,either,->,smoke
4,either,->,xray
5,dysp,->,asia
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,lung,->,xray
3,lung,->,dysp
4,bronc,->,smoke
5,bronc,->,dysp
6,either,->,tub
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,either
3,bronc,->,dysp
4,either,->,xray
5,either,->,dysp
ID,Variable 1,Dependency,Variable 2
ID,Variable 1,Dependency,Variable 2
1,bronc,->,smoke
2,bronc,->,dysp
3,either,->,tub
4,either,->,lung
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,either
3,bronc,->,dysp
4,either,->,tub
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,bronc,->,smoke
2,bronc,->,dysp
3,either,->,tub
4,either,->,lung
5,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,bronc,->,smoke
3,bronc,->,dysp
4,either,->,xray
5,xray,->,lung
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,bronc,->,dysp
4,either,->,smoke
5,either,->,xray
6,xray,->,lung
7,xray,->,bronc
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,either
3,lung,->,xray
4,bronc,->,dysp
5,either,->,tub
6,either,->,smoke
7,dysp,->,asia
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,xray
3,lung,->,dysp
4,bronc,->,smoke
5,either,->,lung
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,bronc,->,dysp
4,either,->,lung
5,either,->,xray
6,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,asia,->,bronc
2,bronc,->,smoke
3,bronc,->,dysp
4,either,->,lung
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,lung,->,smoke
2,either,->,tub
3,either,->,lung
4,either,->,bronc
5,xray,->,either
6,xray,->,dysp
7,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,bronc,->,dysp
3,either,->,tub
4,either,->,xray
5,xray,->,dysp
ID,Variable 1,Dependency,Variable 2
1,lung,->,smoke
2,lung,->,either
3,bronc,->,dysp
4,either,->,tub
5,either,->,bronc
6,either,->,xray
7,xray,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,asia
2,tub,->,either
3,lung,->,either
4,bronc,->,smoke
5,bronc,->,dysp
6,either,->,xray
7,xray,->,smoke
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,tub,->,either
3,smoke,->,lung
4,smoke,->,bronc
5,lung,->,either
6,bronc,->,dysp
7,either,->,xray
8,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,asia
2,tub,->,either
3,smoke,->,lung
4,lung,->,either
5,bronc,->,smoke
6,either,->,xray
7,dysp,->,tub
8,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,lung,->,xray
3,bronc,->,smoke
4,bronc,->,dysp
ID,Variable 1,Dependency,Variable 2
1,smoke,->,lung
2,smoke,->,bronc
3,lung,->,either
4,bronc,->,dysp
5,either,->,xray
6,dysp,->,xray
ID,Variable 1,Dependency,Variable 2
1,asia,->,smoke
2,smoke,->,bronc
3,bronc,->,dysp
4,either,->,smoke
5,either,->,lung
6,either,->,dysp
7,xray,->,asia
8,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,lung,->,smoke
2,lung,->,either
3,either,->,xray
4,either,->,dysp
5,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,either
3,bronc,->,dysp
4,either,->,xray
5,dysp,->,lung
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,asia
3,smoke,->,lung
4,smoke,->,bronc
5,lung,->,either
6,bronc,->,dysp
7,either,->,xray
8,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,tub
3,bronc,->,dysp
4,either,->,lung
5,either,->,xray
6,xray,->,smoke
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,bronc,->,dysp
3,either,->,lung
4,either,->,xray
5,xray,->,smoke
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,smoke,->,asia
3,smoke,->,xray
4,bronc,->,tub
5,bronc,->,smoke
6,bronc,->,dysp
7,either,->,lung
8,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,smoke,->,lung
2,smoke,->,bronc
3,lung,->,either
4,lung,->,xray
5,bronc,->,tub
6,bronc,->,dysp
7,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,lung,->,either
3,bronc,->,tub
4,bronc,->,dysp
5,xray,->,lung
ID,Variable 1,Dependency,Variable 2
1,bronc,->,asia
2,bronc,->,smoke
3,bronc,->,xray
4,bronc,->,dysp
5,either,->,lung
6,either,->,dysp
7,xray,->,either
ID,Variable 1,Dependency,Variable 2
