ID,Variable 1,Dependency,Variable 2
1,asia,->,either
2,either,->,lung
3,either,->,dysp
4,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,asia,->,either
2,bronc,->,dysp
3,either,->,lung
4,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,asia,->,smoke
2,bronc,->,asia
3,bronc,->,xray
4,xray,->,smoke
5,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,bronc,->,dysp
2,either,->,tub
3,either,->,lung
4,either,->,xray
5,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,bronc,->,dysp
3,either,->,tub
4,either,->,xray
5,xray,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,lung
3,lung,->,either
4,bronc,->,dysp
5,either,->,xray
6,xray,->,dysp
ID,Variable 1,Dependency,Variable 2
1,either,->,tub
2,either,->,lung
3,either,->,xray
4,xray,->,smoke
5,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,xray
3,lung,->,either
4,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,smoke,->,xray
2,lung,->,either
3,either,->,tub
4,xray,->,lung
5,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,either
3,lung,->,smoke
4,lung,->,either
5,bronc,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,either
3,lung,->,smoke
4,lung,->,either
5,bronc,->,dysp
ID,Variable 1,Dependency,Variable 2
ID,Variable 1,Dependency,Variable 2
1,smoke,->,asia
2,bronc,->,dysp
3,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,smoke,->,asia
2,smoke,->,bronc
3,bronc,->,dysp
4,either,->,dysp
5,xray,->,bronc
ID,Variable 1,Dependency,Variable 2
ID,Variable 1,Dependency,Variable 2
1,lung,->,smoke
2,bronc,->,dysp
3,either,->,lung
4,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,smoke,->,dysp
2,lung,->,either
3,bronc,->,dysp
ID,Variable 1,Dependency,Variable 2
1,smoke,->,dysp
2,bronc,->,dysp
3,either,->,smoke
4,either,->,lung
5,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,smoke,->,asia
2,lung,->,either
3,lung,->,xray
4,bronc,->,dysp
5,xray,->,smoke
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,smoke,->,asia
2,lung,->,either
3,bronc,->,dysp
4,either,->,xray
5,dysp,->,lung
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,either,->,lung
2,either,->,xray
3,either,->,dysp
4,xray,->,smoke
5,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,lung,->,smoke
2,lung,->,either
3,lung,->,xray
4,either,->,dysp
5,dysp,->,tub
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,smoke,->,lung
2,smoke,->,bronc
3,lung,->,xray
4,either,->,dysp
5,xray,->,either
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,lung,->,xray
3,bronc,->,smoke
4,bronc,->,dysp
ID,Variable 1,Dependency,Variable 2
1,smoke,->,lung
2,smoke,->,bronc
3,lung,->,either
4,bronc,->,dysp
5,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,smoke,->,asia
2,smoke,->,bronc
3,either,->,smoke
4,either,->,lung
5,either,->,xray
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,lung,->,xray
3,either,->,dysp
4,xray,->,smoke
5,xray,->,bronc
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,bronc,->,dysp
3,either,->,xray
4,xray,->,smoke
5,xray,->,dysp
ID,Variable 1,Dependency,Variable 2
1,asia,->,bronc
2,smoke,->,bronc
3,smoke,->,xray
4,bronc,->,dysp
5,either,->,lung
6,xray,->,bronc
7,xray,->,dysp
8,dysp,->,either
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,lung,->,smoke
4,bronc,->,dysp
5,either,->,lung
6,either,->,xray
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,lung
3,smoke,->,bronc
4,lung,->,either
5,bronc,->,dysp
6,either,->,xray
7,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,lung,->,smoke
4,lung,->,either
5,bronc,->,asia
6,bronc,->,tub
7,bronc,->,dysp
8,either,->,xray
9,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,smoke,->,xray
2,bronc,->,smoke
3,bronc,->,dysp
4,either,->,tub
5,either,->,lung
6,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,lung,->,either
4,bronc,->,dysp
5,either,->,xray
6,xray,->,smoke
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,smoke,->,bronc
3,bronc,->,tub
4,bronc,->,dysp
5,either,->,tub
6,either,->,lung
7,xray,->,smoke
8,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,bronc,->,smoke
2,bronc,->,dysp
3,either,->,tub
4,either,->,lung
5,either,->,xray
6,dysp,->,asia
7,dysp,->,either
ID,Variable 1,Dependency,Variable 2
1,smoke,->,bronc
2,bronc,->,dysp
3,either,->,tub
4,either,->,xray
5,xray,->,lung
6,dysp,->,asia
7,dysp,->,either
ID,Variable 1,Dependency,Variable 2
1,bronc,->,smoke
2,either,->,xray
3,either,->,dysp
4,xray,->,lung
5,dysp,->,asia
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,lung,->,either
3,lung,->,xray
4,bronc,->,smoke
5,bronc,->,dysp
ID,Variable 1,Dependency,Variable 2
1,asia,->,tub
2,smoke,->,bronc
3,lung,->,either
4,lung,->,xray
5,bronc,->,dysp
6,either,->,dysp
ID,Variable 1,Dependency,Variable 2
1,lung,->,bronc
2,lung,->,xray
3,bronc,->,smoke
4,bronc,->,xray
5,either,->,lung
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,bronc
3,bronc,->,smoke
4,bronc,->,dysp
5,either,->,xray
6,dysp,->,either
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,bronc
3,lung,->,bronc
4,bronc,->,dysp
5,either,->,xray
6,dysp,->,either
ID,Variable 1,Dependency,Variable 2
ID,Variable 1,Dependency,Variable 2
1,bronc,->,either
2,bronc,->,dysp
3,either,->,tub
4,either,->,lung
5,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,lung,->,either
2,bronc,->,dysp
3,either,->,xray
4,xray,->,tub
ID,Variable 1,Dependency,Variable 2
1,asia,->,smoke
2,tub,->,bronc
3,bronc,->,either
4,bronc,->,dysp
5,either,->,lung
6,xray,->,asia
7,xray,->,tub
8,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,either
3,lung,->,xray
4,xray,->,asia
5,xray,->,smoke
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,smoke,->,xray
3,lung,->,either
4,xray,->,asia
5,xray,->,lung
6,dysp,->,bronc
ID,Variable 1,Dependency,Variable 2
1,bronc,->,dysp
2,either,->,lung
3,xray,->,smoke
4,xray,->,bronc
5,xray,->,either
ID,Variable 1,Dependency,Variable 2
1,bronc,->,dysp
2,either,->,tub
3,either,->,lung
4,either,->,xray
5,dysp,->,smoke
ID,Variable 1,Dependency,Variable 2
1,tub,->,either
2,lung,->,either
3,bronc,->,dysp
4,either,->,xray
5,dysp,->,smoke
ID,Variable 1,Dependency,Variable 2
1,tub,->,asia
2,tub,->,either
3,bronc,->,dysp
4,either,->,lung
5,either,->,xray
