ID,Variable 1,Dependency,Variable 2
1,Season,->,Work_and_school_activity
2,Season,->,Transportation_activity
3,Season,->,Leisure_activity
4,Work_and_school_activity,->,Transportation_activity
5,Leisure_activity,->,Transportation_activity
6,Lockdown,->,Face_masks
7,Lockdown,->,Leisure_activity
8,Lockdown,->,Work_and_school_activity
9,Lockdown,->,Transportation_activity
10,Hospital_admissions,->,Patients_in_hospital
11,Patients_in_hospital,->,Patients_in_MVBs
12,Deaths_with_COVID_on_certificate,->,Excess_mortality
13,Tests_across_all_4_Pillars,->,Positive_tests
14,Patients_in_MVBs,->,Deaths_with_COVID_on_certificate
15,Patients_in_hospital,->,Deaths_with_COVID_on_certificate
16,Majority_COVID_19_variant,->,New_infections
17,Majority_COVID_19_variant,->,Reinfections
18,Majority_COVID_19_variant,->,Hospital_admissions
19,Majority_COVID_19_variant,->,Patients_in_MVBs
20,Majority_COVID_19_variant,->,Deaths_with_COVID_on_certificate
21,New_infections,->,Positive_tests
22,Reinfections,->,Positive_tests
23,Season,->,New_infections
24,Season,->,Reinfections
25,Season,->,Lockdown
26,Positive_tests,->,Hospital_admissions
27,Deaths_with_COVID_on_certificate,->,Second_dose_uptake
28,Majority_COVID_19_variant,->,Second_dose_uptake
29,Majority_COVID_19_variant,->,Lockdown
30,Patients_in_hospital,->,Lockdown
31,Patients_in_MVBs,->,Lockdown
32,Deaths_with_COVID_on_certificate,->,Lockdown
33,Patients_in_hospital,->,Face_masks
34,Patients_in_MVBs,->,Face_masks
35,Deaths_with_COVID_on_certificate,->,Face_masks
36,Positive_tests,->,Second_dose_uptake
37,Lockdown,->,Excess_mortality
