ID,Variable1,Dependency,Variable2
1,Positive_tests,->,Season
2,Positive_tests,->,New_infections
3,Excess_mortality,->,Majority_COVID_19_variant
4,Excess_mortality,->,Hospital_admissions
5,Excess_mortality,->,Second_dose_uptake
6,Work_and_school_activity,->,Transportation_activity
7,Patients_in_MVBs,->,Deaths_with_COVID_on_certificate
8,Majority_COVID_19_variant,->,Positive_tests
9,Majority_COVID_19_variant,->,Tests_across_all_4_Pillars
10,Majority_COVID_19_variant,->,Leisure_activity
11,Majority_COVID_19_variant,->,Deaths_with_COVID_on_certificate
12,Majority_COVID_19_variant,->,Reinfections
13,Majority_COVID_19_variant,->,Face_masks
14,Majority_COVID_19_variant,->,Second_dose_uptake
15,Hospital_admissions,->,Positive_tests
16,Hospital_admissions,->,Majority_COVID_19_variant
17,Hospital_admissions,->,Patients_in_hospital
18,Face_masks,->,Season
19,Face_masks,->,Patients_in_MVBs
20,Face_masks,->,Lockdown
21,Face_masks,->,Transportation_activity
22,Second_dose_uptake,->,Work_and_school_activity
23,Second_dose_uptake,->,Lockdown
24,Second_dose_uptake,->,Patients_in_hospital
25,Patients_in_hospital,->,Patients_in_MVBs
