ID,Variable1,Dependency,Variable2
1,Positive_tests,->,Season
2,Positive_tests,->,Majority_COVID_19_variant
3,Positive_tests,->,Hospital_admissions
4,Positive_tests,->,New_infections
5,Season,->,Work_and_school_activity
6,Work_and_school_activity,->,Transportation_activity
7,Deaths_with_COVID_on_certificate,->,Patients_in_MVBs
8,Majority_COVID_19_variant,->,Tests_across_all_4_Pillars
9,Majority_COVID_19_variant,->,Leisure_activity
10,Majority_COVID_19_variant,->,Reinfections
11,Majority_COVID_19_variant,->,Face_masks
12,Majority_COVID_19_variant,->,Second_dose_uptake
13,Lockdown,->,Face_masks
14,Hospital_admissions,->,Excess_mortality
15,Hospital_admissions,->,Majority_COVID_19_variant
16,Hospital_admissions,->,Patients_in_hospital
17,Face_masks,->,Excess_mortality
18,Face_masks,->,Season
19,Face_masks,->,Patients_in_MVBs
20,Second_dose_uptake,->,Lockdown
21,Second_dose_uptake,->,Patients_in_hospital
22,Patients_in_hospital,->,Deaths_with_COVID_on_certificate
