ID,Variable1,Dependency,Variable2
1,Positive_tests,->,Season
2,Positive_tests,->,Reinfections
3,Positive_tests,->,Majority_COVID_19_variant
4,Excess_mortality,->,Reinfections
5,Excess_mortality,->,Patients_in_MVBs
6,Season,->,Second_dose_uptake
7,Patients_in_MVBs,->,Deaths_with_COVID_on_certificate
8,Majority_COVID_19_variant,->,Excess_mortality
9,Majority_COVID_19_variant,->,Tests_across_all_4_Pillars
10,Majority_COVID_19_variant,->,Leisure_activity
11,Majority_COVID_19_variant,->,Deaths_with_COVID_on_certificate
12,Majority_COVID_19_variant,->,Patients_in_MVBs
13,Majority_COVID_19_variant,->,Hospital_admissions
14,Majority_COVID_19_variant,->,Face_masks
15,Majority_COVID_19_variant,->,Second_dose_uptake
16,Lockdown,->,Transportation_activity
17,Face_masks,->,Season
18,Face_masks,->,Lockdown
19,Face_masks,->,Patients_in_hospital
20,Second_dose_uptake,->,Lockdown
21,Second_dose_uptake,->,Patients_in_hospital
22,Transportation_activity,->,Work_and_school_activity
23,Transportation_activity,->,Deaths_with_COVID_on_certificate
24,Patients_in_hospital,->,Excess_mortality
25,Patients_in_hospital,->,Deaths_with_COVID_on_certificate
26,Patients_in_hospital,->,Hospital_admissions
27,New_infections,->,Positive_tests
