ID,Variable1,Dependency,Variable2
1,BF_BottleFeeding,->,DIA_HadDiarrhoea
2,BF_BottleFeeding,->,ECO_WealthQuintile
3,BF_BottleFeeding,->,WSH_ImprovedWaterSource
4,BF_BottleFeeding,->,WSH_WashWithAgent
5,BF_BreastfedMonths,->,FP_BirthsLast5Yrs
6,BF_BreastfedMonths,->,IMM_Diptheria
7,BF_EarlyBreastfeeding,->,CUL_LanguageGroup
8,BF_EarlyBreastfeeding,->,FP_ModernMethod
9,BF_EarlyBreastfeeding,->,WSH_SafeStoolDisposal
10,CHI_Age,->,IMM_Measles
11,CHI_Age,->,IMM_VitaminA1
12,CHI_Age,->,MTH_MaternalAge
13,CHI_Age,->,WSH_ImprovedToilet
14,CUL_LanguageGroup,->,ECO_WealthQuintile
15,CUL_LanguageGroup,->,GEO_Region
16,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
17,CUL_Religion,->,BF_BreastfedMonths
18,DEL_SmallBaby,->,CUL_LanguageGroup
19,DIA_HadDiarrhoea,->,BF_EarlyBreastfeeding
20,DIA_HadDiarrhoea,->,WSH_ImprovedToilet
21,ECO_WealthQuintile,->,BF_BottleFeeding
22,ECO_WealthQuintile,->,BF_BreastfedMonths
23,ECO_WealthQuintile,->,CHI_Weight4Height
24,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
25,ECO_WealthQuintile,->,HOU_ModernWallMaterial
26,ECO_WealthQuintile,->,KNW_WatchTV
27,ECO_WealthQuintile,->,SRV_Near
28,ECO_WealthQuintile,->,WSH_ImprovedToilet
29,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
30,ECO_WealthQuintile,->,WSH_SafeStoolDisposal
31,ECO_WealthQuintile,->,WSH_WashWithAgent
32,FP_BirthsLast5Yrs,->,CUL_LanguageGroup
33,FP_BirthsLast5Yrs,->,GEO_Region
34,FP_ModernMethod,->,BF_BottleFeeding
35,FP_ModernMethod,->,DIA_HadDiarrhoea
36,GEO_Region,->,CHI_Weight4Height
37,GEO_Region,->,CUL_LanguageGroup
38,GEO_Region,->,ECO_WealthQuintile
39,GEO_Region,->,WSH_ImprovedToilet
40,GEO_Region,->,WSH_ImprovedWaterSource
41,HOU_CookingFuel,->,CUL_LanguageGroup
42,HOU_CookingFuel,->,HOU_ModernWallMaterial
43,HOU_CookingFuel,->,WSH_WaterTreated
44,HOU_ModernWallMaterial,->,SRV_OKAlone
45,HOU_ModernWallMaterial,->,WSH_SafeStoolDisposal
46,IMM_Diptheria,->,IMM_Measles
47,IMM_Measles,->,DIA_HadDiarrhoea
48,IMM_Measles,->,MTH_Education
49,IMM_VitaminA1,->,CHI_Weight4Height
50,IMM_VitaminA1,->,DIA_HadDiarrhoea
51,IMM_VitaminA1,->,IMM_Measles
52,KNW_WatchTV,->,HOU_CookingFuel
53,KNW_WatchTV,->,IMM_VitaminA1
54,MTH_Education,->,BF_BottleFeeding
55,MTH_Education,->,KNW_WatchTV
56,MTH_Education,->,SRV_Near
57,MTH_Education,->,WSH_WaterTreated
58,SRV_OKAlone,->,MTH_MaternalAge
59,SRV_OKAlone,->,WSH_ImprovedWaterSource
60,SRV_OKAlone,->,WSH_SafeStoolDisposal
61,WSH_ImprovedToilet,->,HOU_CookingFuel
62,WSH_ImprovedToilet,->,IMM_VitaminA1
63,WSH_ImprovedToilet,->,WSH_WashWithAgent
64,WSH_ImprovedWaterSource,->,DIA_HadDiarrhoea
65,WSH_ImprovedWaterSource,->,WSH_WaterTreated
66,WSH_SafeStoolDisposal,->,WSH_WaterTreated
67,WSH_WashWithAgent,->,WSH_WaterTreated
68,WSH_WaterTreated,->,DIA_HadDiarrhoea
69,WSH_WaterTreated,->,WSH_ImprovedToilet
