ID,Variable1,Dependency,Variable2
1,CHI_Age,->,IMM_Diptheria
2,CHI_Weight4Height,->,SRV_Near
3,CUL_LanguageGroup,->,GEO_Region
4,ECO_WealthQuintile,->,KNW_WatchTV
5,GEO_Region,->,CUL_Religion
6,GEO_Region,->,WSH_ImprovedWaterSource
7,HOU_CookingFuel,->,BF_BreastfedMonths
8,HOU_CookingFuel,->,SRV_OKAlone
9,HOU_CookingFuel,->,WSH_WaterTreated
10,HOU_ModernWallMaterial,->,WSH_WashWithAgent
11,IMM_Diptheria,->,FP_BirthsLast5Yrs
12,IMM_Diptheria,->,IMM_Measles
13,IMM_VitaminA1,->,BF_EarlyBreastfeeding
14,IMM_VitaminA1,->,IMM_Measles
15,KNW_WatchTV,->,MTH_Education
16,WSH_ImprovedToilet,->,ECO_WealthQuintile
17,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
18,WSH_WaterTreated,->,HOU_CookingFuel
