ID,Variable1,Dependency,Variable2
1,BF_BottleFeeding,->,MTH_MaternalAge
2,BF_BreastfedMonths,->,DIA_HadDiarrhoea
3,BF_BreastfedMonths,->,WSH_SafeStoolDisposal
4,BF_BreastfedMonths,->,WSH_WaterTreated
5,BF_EarlyBreastfeeding,->,CUL_Religion
6,BF_EarlyBreastfeeding,->,DIA_HadDiarrhoea
7,CHI_Age,->,BF_BottleFeeding
8,CHI_Age,->,BF_BreastfedMonths
9,CHI_Age,->,CUL_Religion
10,CHI_Age,->,IMM_Measles
11,CHI_Age,->,WSH_WashWithAgent
12,CHI_Weight4Height,->,FP_BirthsLast5Yrs
13,CHI_Weight4Height,->,WSH_SafeStoolDisposal
14,CUL_LanguageGroup,->,HOU_ModernWallMaterial
15,CUL_LanguageGroup,->,MTH_Education
16,CUL_LanguageGroup,->,WSH_ImprovedToilet
17,DEL_SmallBaby,->,DIA_HadDiarrhoea
18,DEL_SmallBaby,->,MTH_Education
19,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
20,ECO_WealthQuintile,->,MTH_Education
21,ECO_WealthQuintile,->,SRV_Near
22,ECO_WealthQuintile,->,WSH_SafeStoolDisposal
23,FP_BirthsLast5Yrs,->,CHI_Age
24,FP_BirthsLast5Yrs,->,DEL_SmallBaby
25,FP_ModernMethod,->,CHI_Weight4Height
26,FP_ModernMethod,->,FP_BirthsLast5Yrs
27,GEO_Region,->,BF_BottleFeeding
28,GEO_Region,->,CUL_LanguageGroup
29,GEO_Region,->,CUL_Religion
30,GEO_Region,->,WSH_SafeStoolDisposal
31,IMM_Measles,->,IMM_Diptheria
32,IMM_Measles,->,IMM_VitaminA1
33,MTH_Education,->,BF_BottleFeeding
34,MTH_Education,->,KNW_WatchTV
35,MTH_Education,->,WSH_WaterTreated
36,MTH_MaternalAge,->,FP_ModernMethod
37,MTH_MaternalAge,->,WSH_SafeStoolDisposal
38,SRV_Near,->,GEO_Region
39,SRV_Near,->,SRV_OKAlone
40,WSH_ImprovedToilet,->,FP_ModernMethod
41,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
42,WSH_ImprovedWaterSource,->,DEL_SmallBaby
43,WSH_ImprovedWaterSource,->,HOU_CookingFuel
44,WSH_WashWithAgent,->,BF_EarlyBreastfeeding
45,WSH_WashWithAgent,->,ECO_WealthQuintile
