ID,Variable1,Dependency,Variable2
1,AbilityToCope,->,Stress
2,AbilityToCope,->,Impulsivity
3,AbilityToCope,->,CannabisDuringPrisonSentence
4,AbilityToCope,->,ResponsivenessToTreatment
5,Stress,->,CocaineAfterRelease
6,Stress,->,ViolentConvictions
7,ProblematicLifeEvents,->,Stress
8,ProblematicLifeEvents,->,CriminalNetwork
9,ProblematicLifeEvents,->,PriorViolentConvictions
10,ProblematicLifeEvents,->,EcstasyDependence
11,ProblematicLifeEvents,->,ThoughtInsertionPT
12,ViolentThoughts,->,PCLRfacet3
13,ViolentThoughts,->,PriorViolentConvictions
14,ViolentThoughts,->,NegativeAttitude
15,ViolentThoughts,->,AggressionDL
16,Impulsivity,->,PCLRfacet3
17,Impulsivity,->,GangMember
18,Impulsivity,->,ViolentConvictions
19,BPD,->,PriorViolentConvictions
20,BPD,->,CriminalFamilyBackground
21,BPD,->,AlcoholDependence
22,AbuseNeglectAsChild,->,PCLRfacet3
23,AbuseNeglectAsChild,->,BPD
24,PCLRfactor2,->,BPD
25,PCLRfactor2,->,ASPD
26,PCLRfactor2,->,EcstasyBeforePrisonSentence
27,PCLRfactor2,->,ViolentConvictions
28,ASPD,->,Impulsivity
29,CriminalNetwork,->,NegativeAttitude
30,prioracq,->,Victimisation
31,Age,->,EcstasyDuringPrisonSentence
32,Age,->,CocaineAfterRelease
33,PriorViolentConvictions,->,ViolentConvictions
34,pclrscore,->,AlcoholTreatment
35,pclrscore,->,ViolentConvictions
36,pclrscore,->,AnxietyPT
37,TimeAtRisk,->,PCLRfacet3
38,TimeAtRisk,->,BPD
39,TimeAtRisk,->,Education
40,TimeAtRisk,->,EmploymentOrTraining
41,TimeAtRisk,->,SymptomsOfMentalIllness
42,TimeAtRisk,->,ViolentConvictions
43,CriminalFamilyBackground,->,CriminalNetwork
44,CriminalFamilyBackground,->,CocaineAfterRelease
45,Education,->,Impulsivity
46,Education,->,Gender
47,Education,->,AnxietyPT
48,Intelligence,->,AbilityToCope
49,Intelligence,->,PCLRfactor2
50,Intelligence,->,Age
51,Intelligence,->,DomesticStability
52,Intelligence,->,RefuseFailToAttendTherapy
53,Intelligence,->,EcstasyAfterRelease
54,EmploymentOrTraining,->,AbuseNeglectAsChild
55,EmploymentOrTraining,->,DomesticStability
56,EmploymentOrTraining,->,AlcoholDependence
57,FinancialDifficulties,->,Stress
58,FinancialDifficulties,->,EmploymentOrTraining
59,FinancialDifficulties,->,HazardousDrinkingPT
60,GangMember,->,AlcoholDependence
61,ComplianceWithSupervision,->,NegativeAttitude
62,ComplianceWithSupervision,->,CriminalAttitude
63,ComplianceWithSupervision,->,PCLRfactor1
64,NegativeAttitude,->,SymptomsOfMentalIllness
65,NegativeAttitude,->,EcstasyAfterRelease
66,NegativeAttitude,->,ViolentConvictions
67,CriminalAttitude,->,BPD
68,CriminalAttitude,->,ViolentConvictions
69,CriminalAttitude,->,AttitudeDL
70,SymptomsOfMentalIllness,->,PCLRfactor2
71,SymptomsOfMentalIllness,->,GangMember
72,SymptomsOfMentalIllness,->,ResponsivenessToTreatment
73,SymptomsOfMentalIllness,->,AnxietyPT
74,SymptomsOfMentalIllness,->,HallucinationsPT
75,SymptomsOfMentalIllness,->,StrangeExperiencesPT
76,PCLRfactor1,->,BPD
77,PCLRfactor1,->,EmploymentOrTraining
78,RefuseFailToAttendTherapy,->,DrugTreatmentGivenRFAT
79,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
80,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
81,CannabisBeforePrisonSentence,->,LivingCircumstances
82,EcstasyBeforePrisonSentence,->,EcstasyDuringPrisonSentence
83,EcstasyBeforePrisonSentence,->,CocaineAfterRelease
84,EcstasyBeforePrisonSentence,->,HazardousDrinkingPT
85,EcstasyBeforePrisonSentence,->,ThoughtInsertionPT
86,EcstasyDuringPrisonSentence,->,Depression
87,CannabisDuringPrisonSentence,->,BPD
88,CannabisDuringPrisonSentence,->,CannabisBeforePrisonSentence
89,CannabisDuringPrisonSentence,->,ViolentConvictionsRate
90,CocaineDuringPrisonSentence,->,PriorViolentConvictions
91,CocaineDuringPrisonSentence,->,ComplianceWithSupervision
92,CocaineDuringPrisonSentence,->,RefuseFailToAttendTherapy
93,CocaineDuringPrisonSentence,->,CocaineDependence
94,CocaineDuringPrisonSentence,->,DrugTreatment
95,CocaineDuringPrisonSentence,->,Anxiety
96,CannabisAfterRelease,->,AlcoholTreatment
97,CannabisAfterRelease,->,ViolentConvictions
98,CocaineAfterRelease,->,CocainePT
99,EcstasyAfterRelease,->,EcstasyPT
100,EcstasyDependence,->,Impulsivity
101,EcstasyDependence,->,CriminalFamilyBackground
102,EcstasyDependence,->,ComplianceWithSupervision
103,EcstasyDependence,->,AnyDrugDependence
104,EcstasyDependence,->,AngerPT
105,AnyDrugDependence,->,CannabisDependence
106,CannabisDependence,->,GangMember
107,CannabisDependence,->,DrugTreatment
108,CannabisDependence,->,PsychiatricTreatment
109,CocaineDependence,->,AnyDrugDependence
110,DrugTreatment,->,PCLRfacet3
111,DrugTreatment,->,DrugTreatmentGivenRFAT
112,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
113,AlcoholTreatmentGivenRFAT,->,DomesticStability
114,AlcoholTreatmentGivenRFAT,->,AlcoholDependence
115,DrugTreatmentGivenRFAT,->,ViolentConvictions
116,EcstasyPT,->,CriminalNetwork
117,EcstasyPT,->,Gender
118,EcstasyPT,->,EcstasyDuringPrisonSentence
119,EcstasyPT,->,DrugTreatment
120,EcstasyPT,->,SubstanceUse
121,CannabisPT,->,CannabisBeforePrisonSentence
122,CannabisPT,->,CannabisAfterRelease
123,CannabisPT,->,Anxiety
124,CocainePT,->,CocaineBeforePrisonSentence
125,CocainePT,->,SubstanceUse
126,SubstanceUse,->,HazardousDrinkingPT
127,SubstanceMisuseDL,->,BPD
128,SubstanceMisuseDL,->,Gender
129,SubstanceMisuseDL,->,CocaineAfterRelease
130,SubstanceMisuseDL,->,HazardousDrinkingPT
131,SubstanceMisuseDL,->,ViolentConvictionsRate
132,Violence,->,prioracq
133,Violence,->,Gender
134,ViolentConvictions,->,Violence
135,ViolentConvictions,->,LivingCircumstances
136,ViolentConvictions,->,PsychiatricTreatment
137,ResponsivenessToTreatment,->,PCLRfactor1
138,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
139,ResponsivenessToTreatment,->,ResponseToTreatGivenDrugDep
140,ResponsivenessToTreatment,->,AngerPT
141,ResponsivenessToTreatment,->,ThoughtInsertionPT
142,ResponseToTreatGivenDrugDep,->,Age
143,AngerPT,->,AlcoholTreatment
144,AngerPT,->,Anger
145,AngerPT,->,ViolentConvictionsRate
146,AngerManagementGivenRFAT,->,CocaineAfterRelease
147,AngerManagementGivenRFAT,->,AngerPT
148,HazardousDrinkingPT,->,HazardousDrinkingAfterRelease
149,AngerManagement,->,pclrscore
150,AngerManagement,->,AngerManagementGivenRFAT
151,AttitudeDL,->,CriminalNetwork
152,AttitudeDL,->,EcstasyDuringPrisonSentence
153,AttitudeDL,->,SocialWithdraw
154,AggressionDL,->,ViolentConvictionsRate
155,SocialProtectiveObs,->,PCLRfacet3
156,SocialProtectiveObs,->,Age
157,SocialProtectiveObs,->,PriorViolentConvictions
158,SocialProtectiveObs,->,EmploymentOrTraining
159,SocialProtectiveObs,->,RefuseFailToAttendTherapy
160,SocialProtectiveObs,->,HazardousDrinkingPT
161,SocialProtectiveObs,->,LivingCircumstances
162,SocialWithdraw,->,CriminalNetwork
163,SocialWithdraw,->,SocialProtectiveObs
164,SocialWithdraw,->,DepressionPT
165,ViolentConvRateGivenProt,->,DomesticStability
166,ViolentConvRateGivenProt,->,EcstasyAfterRelease
167,ViolentConvRateGivenProt,->,AlcoholDependence
168,ViolentConvRateGivenProt,->,ViolentConvictions
169,ViolentConvRateGivenProt,->,ViolentConvictionsRate
170,Depression,->,NegativeAttitude
171,Anxiety,->,Age
172,Anxiety,->,AnxietyPT
173,ThoughtInsertionPT,->,LivingCircumstances
174,ThoughtInsertionPT,->,ThoughtInsertion
175,Hallucinations,->,AlcoholDependence
176,HallucinationsPT,->,Age
177,HallucinationsPT,->,Hallucinations
178,HallucinationsPT,->,MentalIllnessSymptomCount
179,StrangeExperiencesPT,->,StrangeExperiences
180,ParanoidDelusionsPT,->,Intelligence
181,ParanoidDelusionsPT,->,AlcoholTreatment
182,ParanoidDelusionsPT,->,AngerManagement
183,ParanoidDelusionsPT,->,ParanoidDelusions
184,ParanoidDelusionsPT,->,MentalIllnessDL
185,PsychiatricTreatment,->,AngerPT
186,PsychiatricTreatment,->,PsychiatricTreatmentGivenRFAT
187,PsychiatricTreatmentGivenRFAT,->,DomesticStability
188,MentalIllnessSymptomCount,->,FinancialDifficulties
189,MentalIllnessSymptomCount,->,AnxietyPT
190,MentalIllnessSymptomCount,->,ThoughtInsertionPT
191,MentalIllnessSymptomCount,->,ParanoidDelusionsPT
192,MentalIllnessDL,->,EcstasyBeforePrisonSentence
193,MentalIllnessDL,->,ViolentConvictionsRate
