ID,Variable1,Dependency,Variable2
1,Stress,->,ProblematicLifeEvents
2,Stress,->,DomesticStability
3,ProblematicLifeEvents,->,BPD
4,ProblematicLifeEvents,->,CocaineAfterRelease
5,Victimisation,->,PriorViolentConvictions
6,ViolentThoughts,->,CriminalNetwork
7,ViolentThoughts,->,Anger
8,Impulsivity,->,PCLRfacet3
9,Impulsivity,->,AggressionDL
10,PCLRfactor2,->,ASPD
11,ASPD,->,Impulsivity
12,Gender,->,ProblematicLifeEvents
13,CriminalFamilyBackground,->,pclrscore
14,CriminalFamilyBackground,->,EmploymentOrTraining
15,EmploymentOrTraining,->,Victimisation
16,FinancialDifficulties,->,Stress
17,DomesticStability,->,RefuseFailToAttendTherapy
18,DomesticStability,->,CocaineBeforePrisonSentence
19,DomesticStability,->,DrugTreatment
20,NegativeAttitude,->,AttitudeDL
21,RefuseFailToAttendTherapy,->,AlcoholTreatmentGivenRFAT
22,RefuseFailToAttendTherapy,->,DrugTreatmentGivenRFAT
23,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
24,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
25,HazardousDrinkingAfterRelease,->,AlcoholDependence
26,CannabisBeforePrisonSentence,->,AbuseNeglectAsChild
27,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
28,EcstasyBeforePrisonSentence,->,BPD
29,EcstasyBeforePrisonSentence,->,CriminalNetwork
30,EcstasyBeforePrisonSentence,->,CriminalFamilyBackground
31,CocaineDuringPrisonSentence,->,AbilityToCope
32,CannabisAfterRelease,->,CannabisPT
33,CocaineAfterRelease,->,CocainePT
34,EcstasyAfterRelease,->,EcstasyBeforePrisonSentence
35,EcstasyDependence,->,AnyDrugDependence
36,AnyDrugDependence,->,CannabisDependence
37,AnyDrugDependence,->,CocaineDependence
38,AnyDrugDependence,->,ThoughtInsertion
39,CannabisDependence,->,CocaineDependence
40,DrugTreatment,->,DrugTreatmentGivenRFAT
41,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
42,AlcoholTreatmentGivenRFAT,->,PCLRfactor2
43,AlcoholTreatmentGivenRFAT,->,HazardousDrinkingAfterRelease
44,EcstasyPT,->,EcstasyAfterRelease
45,EcstasyPT,->,SubstanceUse
46,CannabisPT,->,CannabisBeforePrisonSentence
47,CocainePT,->,CocaineBeforePrisonSentence
48,CocainePT,->,CocaineDuringPrisonSentence
49,CocainePT,->,SubstanceUse
50,SubstanceUse,->,CannabisAfterRelease
51,SubstanceUse,->,SubstanceMisuseDL
52,SubstanceUse,->,HazardousDrinkingPT
53,Violence,->,ViolentConvictions
54,Violence,->,LivingCircumstances
55,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
56,ResponseToTreatGivenAlcDep,->,ResponseToTreatGivenDrugDep
57,ResponseToTreatGivenDrugDep,->,DomesticStability
58,ResponseToTreatGivenDrugDep,->,PCLRfactor1
59,Anger,->,AngerPT
60,HazardousDrinkingPT,->,HazardousDrinkingAfterRelease
61,AngerManagement,->,AngerManagementGivenRFAT
62,AttitudeDL,->,ComplianceWithSupervision
63,AttitudeDL,->,CriminalAttitude
64,AggressionDL,->,ViolentThoughts
65,LivingCircumstances,->,SocialProtectiveObs
66,SocialProtectiveObs,->,SocialWithdraw
67,ViolentConvictionsRate,->,ViolentConvRateGivenProt
68,ViolentConvRateGivenProt,->,Violence
69,Depression,->,DepressionPT
70,DepressionPT,->,MentalIllnessSymptomCount
71,Anxiety,->,AnxietyPT
72,ThoughtInsertion,->,ThoughtInsertionPT
73,Hallucinations,->,AbuseNeglectAsChild
74,HallucinationsPT,->,SymptomsOfMentalIllness
75,HallucinationsPT,->,Hallucinations
76,HallucinationsPT,->,PsychiatricTreatment
77,StrangeExperiences,->,StrangeExperiencesPT
78,ParanoidDelusionsPT,->,AbilityToCope
79,ParanoidDelusionsPT,->,AngerManagement
80,ParanoidDelusionsPT,->,ParanoidDelusions
81,PsychiatricTreatment,->,EcstasyPT
82,PsychiatricTreatment,->,PsychiatricTreatmentGivenRFAT
83,PsychiatricTreatmentGivenRFAT,->,AnxietyPT
84,PsychiatricTreatmentGivenRFAT,->,ThoughtInsertionPT
85,MentalIllnessSymptomCount,->,Anxiety
86,MentalIllnessSymptomCount,->,ThoughtInsertion
87,MentalIllnessSymptomCount,->,ParanoidDelusionsPT
88,MentalIllnessSymptomCount,->,MentalIllnessDL
