ID,Variable1,Dependency,Variable2
1,PCLRfacet3,->,Impulsivity
2,AbilityToCope,->,EmploymentOrTraining
3,Impulsivity,->,AggressionDL
4,PCLRfactor2,->,ASPD
5,NegativeAttitude,->,ComplianceWithSupervision
6,RefuseFailToAttendTherapy,->,DrugTreatmentGivenRFAT
7,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
8,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
9,HazardousDrinkingAfterRelease,->,HazardousDrinkingPT
10,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
11,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
12,EcstasyBeforePrisonSentence,->,EcstasyAfterRelease
13,CannabisDuringPrisonSentence,->,Stress
14,CannabisDuringPrisonSentence,->,CannabisDependence
15,CannabisAfterRelease,->,CannabisBeforePrisonSentence
16,CannabisAfterRelease,->,CannabisPT
17,CannabisAfterRelease,->,Depression
18,CocaineAfterRelease,->,ProblematicLifeEvents
19,CocaineAfterRelease,->,CocainePT
20,EcstasyAfterRelease,->,EcstasyPT
21,EcstasyDependence,->,AnyDrugDependence
22,AnyDrugDependence,->,CriminalFamilyBackground
23,AnyDrugDependence,->,CocaineDuringPrisonSentence
24,CannabisDependence,->,AnyDrugDependence
25,CocaineDependence,->,AnyDrugDependence
26,AlcoholDependence,->,DomesticStability
27,DrugTreatment,->,ViolentThoughts
28,DrugTreatment,->,Gender
29,DrugTreatment,->,DrugTreatmentGivenRFAT
30,AlcoholTreatment,->,DrugTreatment
31,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
32,CocainePT,->,CocaineBeforePrisonSentence
33,CocainePT,->,EcstasyDuringPrisonSentence
34,CocainePT,->,SubstanceUse
35,SubstanceUse,->,SubstanceMisuseDL
36,Violence,->,AbuseNeglectAsChild
37,Violence,->,prioracq
38,Violence,->,PriorViolentConvictions
39,ViolentConvictions,->,Violence
40,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
41,ResponsivenessToTreatment,->,ResponseToTreatGivenDrugDep
42,ResponseToTreatGivenAlcDep,->,PCLRfactor1
43,Anger,->,AbilityToCope
44,AngerPT,->,Anger
45,AngerManagementGivenRFAT,->,CriminalNetwork
46,HazardousDrinkingPT,->,AlcoholDependence
47,HazardousDrinkingPT,->,SubstanceUse
48,AngerManagement,->,AngerManagementGivenRFAT
49,AttitudeDL,->,NegativeAttitude
50,AttitudeDL,->,CriminalAttitude
51,SocialProtectiveObs,->,LivingCircumstances
52,SocialProtectiveObs,->,SocialWithdraw
53,ViolentConvictionsRate,->,ViolentConvRateGivenProt
54,Depression,->,DepressionPT
55,Anxiety,->,SymptomsOfMentalIllness
56,AnxietyPT,->,Anxiety
57,AnxietyPT,->,MentalIllnessSymptomCount
58,ThoughtInsertion,->,ThoughtInsertionPT
59,Hallucinations,->,HallucinationsPT
60,StrangeExperiences,->,StrangeExperiencesPT
61,ParanoidDelusionsPT,->,ParanoidDelusions
62,PsychiatricTreatment,->,PsychiatricTreatmentGivenRFAT
63,PsychiatricTreatmentGivenRFAT,->,Victimisation
64,PsychiatricTreatmentGivenRFAT,->,FinancialDifficulties
65,PsychiatricTreatmentGivenRFAT,->,DepressionPT
66,MentalIllnessSymptomCount,->,ParanoidDelusionsPT
67,MentalIllnessSymptomCount,->,MentalIllnessDL
