ID,Variable1,Dependency,Variable2
1,PCLRfacet3,->,CannabisDependence
2,PCLRfacet3,->,ViolentConvictions
3,AbilityToCope,->,Intelligence
4,AbilityToCope,->,ThoughtInsertion
5,Stress,->,EcstasyDependence
6,Stress,->,ViolentConvictions
7,ProblematicLifeEvents,->,SocialProtectiveObs
8,Victimisation,->,ProblematicLifeEvents
9,ViolentThoughts,->,SocialProtectiveObs
10,Impulsivity,->,PCLRfacet3
11,Impulsivity,->,BPD
12,Impulsivity,->,ASPD
13,Impulsivity,->,ComplianceWithSupervision
14,Impulsivity,->,HazardousDrinkingAfterRelease
15,Impulsivity,->,AggressionDL
16,BPD,->,Victimisation
17,BPD,->,CriminalNetwork
18,AbuseNeglectAsChild,->,AlcoholTreatment
19,AbuseNeglectAsChild,->,SocialProtectiveObs
20,ASPD,->,PCLRfactor2
21,ASPD,->,SocialProtectiveObs
22,CriminalNetwork,->,CriminalFamilyBackground
23,CriminalNetwork,->,SocialProtectiveObs
24,prioracq,->,Education
25,prioracq,->,EcstasyDependence
26,prioracq,->,ViolentConvictions
27,Age,->,AbuseNeglectAsChild
28,Age,->,Education
29,Age,->,RefuseFailToAttendTherapy
30,Age,->,ViolentConvictions
31,Gender,->,Impulsivity
32,Gender,->,HallucinationsPT
33,PriorViolentConvictions,->,FinancialDifficulties
34,PriorViolentConvictions,->,SocialProtectiveObs
35,pclrscore,->,ViolentConvictions
36,TimeAtRisk,->,CriminalNetwork
37,TimeAtRisk,->,FinancialDifficulties
38,TimeAtRisk,->,AlcoholTreatment
39,TimeAtRisk,->,ViolentConvictions
40,TimeAtRisk,->,Depression
41,CriminalFamilyBackground,->,LivingCircumstances
42,Intelligence,->,Education
43,Intelligence,->,EcstasyDuringPrisonSentence
44,Intelligence,->,ViolentConvictions
45,EmploymentOrTraining,->,DomesticStability
46,FinancialDifficulties,->,BPD
47,FinancialDifficulties,->,EcstasyDuringPrisonSentence
48,FinancialDifficulties,->,LivingCircumstances
49,DomesticStability,->,CocaineDependence
50,DomesticStability,->,LivingCircumstances
51,GangMember,->,Education
52,GangMember,->,CriminalAttitude
53,GangMember,->,EcstasyDependence
54,ComplianceWithSupervision,->,NegativeAttitude
55,ComplianceWithSupervision,->,CriminalAttitude
56,NegativeAttitude,->,CriminalNetwork
57,NegativeAttitude,->,AlcoholTreatment
58,NegativeAttitude,->,ViolentConvictions
59,NegativeAttitude,->,AttitudeDL
60,NegativeAttitude,->,AnxietyPT
61,CriminalAttitude,->,CriminalNetwork
62,CriminalAttitude,->,AttitudeDL
63,SymptomsOfMentalIllness,->,prioracq
64,SymptomsOfMentalIllness,->,Depression
65,SymptomsOfMentalIllness,->,AnxietyPT
66,PCLRfactor1,->,ComplianceWithSupervision
67,RefuseFailToAttendTherapy,->,DrugTreatmentGivenRFAT
68,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
69,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
70,HazardousDrinkingAfterRelease,->,EcstasyDuringPrisonSentence
71,HazardousDrinkingAfterRelease,->,AlcoholDependence
72,HazardousDrinkingAfterRelease,->,HazardousDrinkingPT
73,CannabisBeforePrisonSentence,->,SocialProtectiveObs
74,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
75,EcstasyBeforePrisonSentence,->,ViolentConvictions
76,EcstasyDuringPrisonSentence,->,SocialProtectiveObs
77,EcstasyDuringPrisonSentence,->,HallucinationsPT
78,CannabisDuringPrisonSentence,->,CannabisBeforePrisonSentence
79,CannabisDuringPrisonSentence,->,DrugTreatment
80,CocaineDuringPrisonSentence,->,CriminalNetwork
81,CannabisAfterRelease,->,CannabisBeforePrisonSentence
82,CannabisAfterRelease,->,CannabisDuringPrisonSentence
83,CocaineAfterRelease,->,DomesticStability
84,EcstasyDependence,->,EcstasyDuringPrisonSentence
85,EcstasyDependence,->,AnyDrugDependence
86,EcstasyDependence,->,LivingCircumstances
87,CannabisDependence,->,Stress
88,CannabisDependence,->,AnyDrugDependence
89,CocaineDependence,->,BPD
90,CocaineDependence,->,Education
91,CocaineDependence,->,AnyDrugDependence
92,DrugTreatment,->,AbuseNeglectAsChild
93,DrugTreatment,->,DrugTreatmentGivenRFAT
94,AlcoholTreatment,->,Victimisation
95,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
96,EcstasyPT,->,EcstasyBeforePrisonSentence
97,EcstasyPT,->,EcstasyDuringPrisonSentence
98,EcstasyPT,->,EcstasyAfterRelease
99,EcstasyPT,->,Hallucinations
