ID,Variable 1,Dependency,Variable 2
1,X0,->,X49
2,X0,->,X77
3,X1,->,X55
4,X1,->,X57
5,X1,->,X77
6,X2,->,X63
7,X2,->,X75
8,X2,->,X83
9,X3,->,X21
10,X3,->,X68
11,X3,->,X90
12,X4,->,X16
13,X5,->,X9
14,X5,->,X38
15,X5,->,X44
16,X5,->,X53
17,X6,->,X34
18,X6,->,X39
19,X6,->,X66
20,X7,->,X50
21,X7,->,X88
22,X7,->,X94
23,X8,->,X14
24,X8,->,X22
25,X8,->,X45
26,X9,->,X11
27,X9,->,X22
28,X9,->,X43
29,X9,->,X48
30,X9,->,X59
31,X9,->,X63
32,X9,->,X97
33,X10,->,X35
34,X10,->,X46
35,X10,->,X56
36,X12,->,X97
37,X13,->,X50
38,X14,->,X60
39,X14,->,X64
40,X14,->,X69
41,X14,->,X76
42,X14,->,X96
43,X15,->,X22
44,X15,->,X61
45,X16,->,X22
46,X16,->,X35
47,X16,->,X68
48,X16,->,X85
49,X17,->,X23
50,X17,->,X42
51,X18,->,X32
52,X19,->,X83
53,X19,->,X88
54,X19,->,X89
55,X19,->,X92
56,X21,->,X66
57,X21,->,X68
58,X21,->,X87
59,X22,->,X61
60,X22,->,X66
61,X23,->,X76
62,X24,->,X65
63,X24,->,X98
64,X25,->,X50
65,X25,->,X57
66,X25,->,X61
67,X25,->,X71
68,X25,->,X84
69,X25,->,X91
70,X26,->,X68
71,X26,->,X79
72,X26,->,X84
73,X27,->,X58
74,X27,->,X59
75,X27,->,X79
76,X27,->,X97
77,X28,->,X85
78,X28,->,X88
79,X28,->,X98
80,X29,->,X63
81,X29,->,X70
82,X29,->,X99
83,X30,->,X48
84,X30,->,X57
85,X30,->,X94
86,X31,->,X38
87,X31,->,X40
88,X31,->,X86
89,X32,->,X51
90,X32,->,X59
91,X32,->,X78
92,X34,->,X48
93,X35,->,X53
94,X36,->,X60
95,X37,->,X39
96,X37,->,X67
97,X38,->,X40
98,X39,->,X74
99,X40,->,X60
100,X41,->,X49
101,X41,->,X78
102,X41,->,X94
103,X43,->,X69
104,X44,->,X60
105,X44,->,X66
106,X45,->,X49
107,X46,->,X79
108,X47,->,X66
109,X47,->,X67
110,X47,->,X81
111,X48,->,X59
112,X48,->,X95
113,X50,->,X67
114,X50,->,X78
115,X50,->,X86
116,X52,->,X73
117,X55,->,X77
118,X55,->,X79
119,X56,->,X59
120,X56,->,X76
121,X57,->,X75
122,X57,->,X76
123,X58,->,X77
124,X61,->,X87
125,X63,->,X99
126,X66,->,X78
127,X68,->,X99
128,X69,->,X72
129,X70,->,X71
130,X73,->,X86
131,X75,->,X85
132,X76,->,X87
133,X77,->,X93
134,X80,->,X84
135,X82,->,X95
136,X83,->,X98
137,X85,->,X95
138,X86,->,X88
139,X92,->,X97
140,X93,->,X95
