ID,Variable 1,Dependency,Variable 2
1,X0,->,X1
2,X0,->,X2
3,X0,->,X3
4,X0,->,X4
5,X0,->,X8
6,X0,->,X10
7,X0,->,X20
8,X0,->,X22
9,X0,->,X32
10,X0,->,X34
11,X0,->,X42
12,X0,->,X67
13,X0,->,X71
14,X0,->,X72
15,X0,->,X74
16,X0,->,X76
17,X0,->,X84
18,X0,->,X105
19,X0,->,X107
20,X0,->,X135
21,X0,->,X142
22,X0,->,X155
23,X0,->,X159
24,X0,->,X161
25,X0,->,X183
26,X0,->,X185
27,X0,->,X232
28,X0,->,X244
29,X0,->,X287
30,X0,->,X329
31,X0,->,X332
32,X0,->,X335
33,X0,->,X337
34,X0,->,X403
35,X0,->,X435
36,X1,->,X5
37,X1,->,X6
38,X1,->,X7
39,X1,->,X8
40,X1,->,X11
41,X1,->,X14
42,X1,->,X16
43,X1,->,X19
44,X1,->,X23
45,X1,->,X24
46,X1,->,X33
47,X1,->,X46
48,X1,->,X51
49,X1,->,X81
50,X1,->,X114
51,X1,->,X115
52,X1,->,X121
53,X1,->,X136
54,X1,->,X150
55,X1,->,X154
56,X1,->,X198
57,X1,->,X223
58,X1,->,X229
59,X1,->,X246
60,X1,->,X274
61,X1,->,X278
62,X1,->,X287
63,X1,->,X293
64,X1,->,X334
65,X1,->,X341
66,X1,->,X347
67,X1,->,X349
68,X1,->,X373
69,X1,->,X382
70,X1,->,X443
71,X1,->,X465
72,X1,->,X475
73,X1,->,X480
74,X1,->,X482
75,X1,->,X484
76,X1,->,X487
77,X1,->,X495
78,X1,->,X496
79,X2,->,X3
80,X2,->,X4
81,X2,->,X11
82,X2,->,X17
83,X2,->,X19
84,X2,->,X21
85,X2,->,X28
86,X2,->,X61
87,X2,->,X74
88,X2,->,X83
89,X2,->,X113
90,X2,->,X116
91,X2,->,X127
92,X2,->,X132
93,X2,->,X222
94,X2,->,X234
95,X2,->,X240
96,X2,->,X354
97,X2,->,X427
98,X2,->,X430
99,X2,->,X451
100,X3,->,X5
101,X3,->,X6
102,X3,->,X7
103,X3,->,X9
104,X3,->,X13
105,X3,->,X27
106,X3,->,X30
107,X3,->,X53
108,X3,->,X76
109,X3,->,X98
110,X3,->,X111
111,X3,->,X117
112,X3,->,X146
113,X3,->,X168
114,X3,->,X170
115,X3,->,X193
116,X3,->,X227
117,X3,->,X295
118,X3,->,X297
119,X3,->,X323
120,X3,->,X352
121,X3,->,X359
122,X4,->,X10
123,X4,->,X24
124,X4,->,X51
125,X4,->,X80
126,X4,->,X113
127,X4,->,X171
128,X4,->,X210
129,X4,->,X225
130,X4,->,X275
131,X4,->,X337
132,X4,->,X357
133,X4,->,X441
134,X5,->,X12
135,X5,->,X15
136,X5,->,X17
137,X5,->,X42
138,X5,->,X47
139,X5,->,X95
140,X5,->,X112
141,X5,->,X169
142,X5,->,X363
143,X5,->,X488
144,X6,->,X18
145,X6,->,X22
146,X6,->,X23
147,X6,->,X33
148,X6,->,X34
149,X6,->,X38
150,X6,->,X45
151,X6,->,X62
152,X6,->,X63
153,X6,->,X66
154,X6,->,X69
155,X6,->,X91
156,X6,->,X110
157,X6,->,X118
158,X6,->,X139
159,X6,->,X178
160,X6,->,X226
161,X6,->,X279
162,X6,->,X282
163,X6,->,X360
164,X6,->,X372
165,X6,->,X374
166,X6,->,X398
167,X6,->,X448
168,X6,->,X471
169,X7,->,X9
170,X7,->,X13
171,X7,->,X15
172,X7,->,X18
173,X7,->,X20
174,X7,->,X30
175,X7,->,X40
176,X7,->,X48
177,X7,->,X60
178,X7,->,X89
179,X7,->,X94
180,X7,->,X101
181,X7,->,X103
182,X7,->,X121
183,X7,->,X122
184,X7,->,X130
185,X7,->,X140
186,X7,->,X153
187,X7,->,X208
188,X7,->,X212
189,X7,->,X230
190,X7,->,X405
191,X7,->,X411
192,X7,->,X457
193,X8,->,X14
194,X8,->,X97
195,X8,->,X217
196,X8,->,X386
197,X8,->,X436
198,X8,->,X456
199,X9,->,X12
200,X9,->,X35
201,X9,->,X164
202,X9,->,X186
203,X9,->,X229
204,X9,->,X362
205,X9,->,X383
206,X9,->,X396
207,X9,->,X481
208,X10,->,X21
209,X10,->,X35
210,X10,->,X46
211,X10,->,X65
212,X10,->,X75
213,X10,->,X156
214,X10,->,X157
215,X10,->,X360
216,X11,->,X58
217,X11,->,X78
218,X11,->,X102
219,X11,->,X116
220,X11,->,X134
221,X11,->,X179
222,X11,->,X180
223,X11,->,X238
224,X11,->,X276
225,X11,->,X338
226,X11,->,X347
227,X11,->,X388
228,X11,->,X399
229,X11,->,X409
230,X12,->,X28
231,X12,->,X37
232,X12,->,X66
233,X12,->,X86
234,X12,->,X99
235,X12,->,X238
236,X12,->,X361
237,X12,->,X394
238,X13,->,X16
239,X13,->,X92
240,X13,->,X108
241,X13,->,X141
242,X13,->,X216
243,X13,->,X306
244,X13,->,X311
245,X13,->,X379
246,X13,->,X470
247,X14,->,X29
248,X14,->,X79
249,X14,->,X84
250,X14,->,X92
251,X14,->,X96
252,X14,->,X151
253,X14,->,X247
254,X14,->,X330
255,X14,->,X334
256,X14,->,X391
257,X15,->,X26
258,X15,->,X31
259,X15,->,X37
260,X15,->,X64
261,X15,->,X70
262,X15,->,X90
263,X15,->,X128
264,X15,->,X152
265,X15,->,X189
266,X15,->,X192
267,X15,->,X213
268,X15,->,X272
269,X15,->,X309
270,X15,->,X407
271,X15,->,X420
272,X16,->,X25
273,X16,->,X52
274,X16,->,X65
275,X16,->,X105
276,X16,->,X167
277,X16,->,X177
278,X16,->,X190
279,X16,->,X214
280,X16,->,X267
281,X16,->,X377
282,X16,->,X401
283,X16,->,X465
284,X17,->,X25
285,X17,->,X49
286,X17,->,X95
287,X17,->,X120
288,X17,->,X297
289,X17,->,X304
290,X17,->,X308
291,X17,->,X328
292,X17,->,X434
293,X18,->,X29
294,X18,->,X102
295,X18,->,X114
296,X18,->,X228
297,X18,->,X322
298,X18,->,X450
299,X19,->,X110
300,X19,->,X205
301,X19,->,X211
302,X19,->,X367
303,X19,->,X380
304,X20,->,X55
305,X20,->,X82
306,X20,->,X192
307,X20,->,X248
308,X20,->,X269
309,X20,->,X285
310,X21,->,X27
311,X21,->,X41
312,X21,->,X44
313,X21,->,X60
314,X21,->,X62
315,X21,->,X73
316,X21,->,X77
317,X21,->,X82
318,X21,->,X88
319,X21,->,X93
320,X21,->,X104
321,X21,->,X124
322,X21,->,X143
323,X21,->,X168
324,X21,->,X197
325,X21,->,X202
326,X21,->,X209
327,X21,->,X220
328,X21,->,X263
329,X21,->,X267
330,X21,->,X305
331,X21,->,X320
332,X21,->,X325
333,X21,->,X341
334,X21,->,X353
335,X21,->,X359
336,X21,->,X370
337,X21,->,X392
338,X21,->,X428
339,X21,->,X430
340,X21,->,X442
341,X21,->,X464
342,X21,->,X492
343,X22,->,X43
344,X22,->,X72
345,X22,->,X80
346,X22,->,X115
347,X22,->,X147
348,X22,->,X197
349,X22,->,X200
350,X23,->,X31
351,X23,->,X79
352,X23,->,X151
353,X23,->,X265
354,X24,->,X239
355,X24,->,X363
356,X25,->,X26
357,X25,->,X36
358,X25,->,X40
359,X25,->,X48
360,X25,->,X49
361,X25,->,X56
