ID,Variable 1,Dependency,Variable 2
1,propertyExpenses,->,propertyManagement
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,actualRentalIncome,->,rentalGrossProfit
4,actualRentalIncome,->,rentalIncome
5,otherPropertyExpenses,->,propertyExpenses
6,otherPropertyExpenses,->,otherPropertyExpensesT+1
7,rentalIncomeT+1,->,actualRentalIncome
8,propertyPurchaseValue,->,stampDutyTax
9,LTV,->,borrowing
10,stampDutyTaxBand,->,rentalGrossYield
11,stampDutyTaxBand,->,propertyPurchaseValue
12,stampDutyTaxBand,->,LTV
13,stampDutyTaxBand,->,propertyValueT+1
14,capitalGrowth,->,capitalGains
15,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,rentalGrossProfit,->,rentalNetProfitBeforeInterest
2,actualRentalIncome,->,rentalGrossProfit
3,actualRentalIncome,->,rentalIncome
4,otherPropertyExpenses,->,propertyExpenses
5,otherPropertyExpenses,->,otherPropertyExpensesT+1
6,rentalIncomeT+1,->,actualRentalIncome
7,propertyPurchaseValue,->,propertyValueT+1
8,propertyPurchaseValue,->,stampDutyTaxBand
9,LTV,->,borrowing
10,propertyValueT+1,->,stampDutyTax
11,stampDutyTaxBand,->,rentalGrossYield
12,stampDutyTax,->,LTV
13,capitalGains,->,capitalGrowth
14,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,propertyExpenses,->,propertyManagement
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,actualRentalIncome,->,rentalGrossProfit
4,actualRentalIncome,->,rentalIncomeT+1
5,actualRentalIncome,->,rentalIncome
6,otherPropertyExpenses,->,propertyExpenses
7,otherPropertyExpenses,->,otherPropertyExpensesT+1
8,propertyPurchaseValue,->,stampDutyTaxBand
9,propertyPurchaseValue,->,stampDutyTax
10,LTV,->,borrowing
11,propertyValueT+1,->,propertyPurchaseValue
12,stampDutyTax,->,rentalGrossYield
13,stampDutyTax,->,LTV
14,capitalGains,->,capitalGrowth
15,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,propertyExpenses,->,propertyManagement
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,actualRentalIncome,->,rentalGrossProfit
4,actualRentalIncome,->,rentalIncomeT+1
5,otherPropertyExpenses,->,propertyExpenses
6,otherPropertyExpenses,->,otherPropertyExpensesT+1
7,rentalIncome,->,actualRentalIncome
8,propertyPurchaseValue,->,stampDutyTaxBand
9,propertyPurchaseValue,->,stampDutyTax
10,propertyValueT+1,->,propertyPurchaseValue
11,stampDutyTaxBand,->,rentalGrossYield
12,stampDutyTaxBand,->,capitalGains
13,stampDutyTax,->,LTV
14,capitalGains,->,capitalGrowth
15,interestTaxRelief,->,interest
ID,Variable 1,Dependency,Variable 2
1,rentalGrossProfit,->,rentalNetProfitBeforeInterest
2,actualRentalIncome,->,rentalGrossProfit
3,actualRentalIncome,->,rentalIncomeT+1
4,otherPropertyExpenses,->,propertyExpenses
5,otherPropertyExpenses,->,otherPropertyExpensesT+1
6,rentalIncome,->,actualRentalIncome
7,propertyPurchaseValue,->,stampDutyTaxBand
8,propertyValueT+1,->,propertyPurchaseValue
9,stampDutyTaxBand,->,rentalGrossYield
10,stampDutyTaxBand,->,stampDutyTax
11,stampDutyTax,->,LTV
12,stampDutyTax,->,capitalGains
13,capitalGains,->,capitalGrowth
14,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,propertyExpenses,->,propertyManagement
2,rentalGrossProfit,->,rentalIncome
3,actualRentalIncome,->,rentalIncomeT+1
4,rentalNetProfitBeforeInterest,->,rentalGrossProfit
5,rentalIncome,->,actualRentalIncome
6,propertyPurchaseValue,->,stampDutyTaxBand
7,LTV,->,borrowing
8,propertyValueT+1,->,propertyPurchaseValue
9,stampDutyTaxBand,->,stampDutyTax
10,stampDutyTax,->,rentalGrossYield
11,stampDutyTax,->,LTV
12,capitalGains,->,capitalGrowth
13,otherPropertyExpensesT+1,->,propertyExpenses
14,otherPropertyExpensesT+1,->,otherPropertyExpenses
15,interestTaxRelief,->,interest
ID,Variable 1,Dependency,Variable 2
1,rentalGrossProfit,->,rentalNetProfitBeforeInterest
2,actualRentalIncome,->,rentalGrossProfit
3,actualRentalIncome,->,rentalIncome
4,otherPropertyExpenses,->,propertyExpenses
5,otherPropertyExpenses,->,otherPropertyExpensesT+1
6,rentalIncomeT+1,->,actualRentalIncome
7,propertyPurchaseValue,->,stampDutyTaxBand
8,propertyValueT+1,->,propertyPurchaseValue
9,stampDutyTaxBand,->,rentalGrossYield
10,stampDutyTaxBand,->,LTV
11,stampDutyTaxBand,->,stampDutyTax
12,capitalGains,->,capitalGrowth
13,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,rentalGrossProfit,->,rentalNetProfitBeforeInterest
2,actualRentalIncome,->,rentalGrossProfit
3,actualRentalIncome,->,rentalIncome
4,otherPropertyExpenses,->,propertyExpenses
5,otherPropertyExpenses,->,otherPropertyExpensesT+1
6,rentalIncomeT+1,->,actualRentalIncome
7,propertyPurchaseValue,->,stampDutyTaxBand
8,propertyPurchaseValue,->,stampDutyTax
9,LTV,->,borrowing
10,propertyValueT+1,->,propertyPurchaseValue
11,stampDutyTaxBand,->,rentalGrossYield
12,stampDutyTax,->,LTV
13,stampDutyTax,->,capitalGains
14,capitalGains,->,capitalGrowth
15,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,propertyExpenses,->,propertyManagement
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,actualRentalIncome,->,rentalGrossProfit
4,actualRentalIncome,->,rentalIncomeT+1
5,otherPropertyExpenses,->,propertyExpenses
6,otherPropertyExpenses,->,otherPropertyExpensesT+1
7,rentalIncome,->,actualRentalIncome
8,propertyPurchaseValue,->,propertyValueT+1
9,LTV,->,borrowing
10,stampDutyTaxBand,->,rentalGrossYield
11,stampDutyTaxBand,->,propertyPurchaseValue
12,stampDutyTaxBand,->,LTV
13,stampDutyTaxBand,->,stampDutyTax
14,capitalGrowth,->,capitalGains
15,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,propertyExpenses
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,actualRentalIncome,->,rentalGrossProfit
4,actualRentalIncome,->,rentalIncomeT+1
5,actualRentalIncome,->,rentalIncome
6,propertyPurchaseValue,->,rentalGrossYield
7,propertyPurchaseValue,->,stampDutyTaxBand
8,LTV,->,borrowing
9,propertyValueT+1,->,propertyPurchaseValue
10,stampDutyTaxBand,->,stampDutyTax
11,stampDutyTaxBand,->,capitalGains
12,stampDutyTax,->,LTV
13,capitalGains,->,capitalGrowth
14,otherPropertyExpensesT+1,->,otherPropertyExpenses
15,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,otherPropertyExpenses,->,propertyExpenses
2,otherPropertyExpenses,->,otherPropertyExpensesT+1
3,capitalGrowth,->,capitalGains
ID,Variable 1,Dependency,Variable 2
1,actualRentalIncome,->,rentalGrossProfit
2,propertyPurchaseValue,->,stampDutyTaxBand
3,interest,->,interestTaxRelief
4,interestRate,->,interest
5,borrowing,->,LTV
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,propertyExpenses
2,propertyPurchaseValue,->,stampDutyTax
3,interest,->,interestTaxRelief
4,interestRate,->,interest
ID,Variable 1,Dependency,Variable 2
1,propertyPurchaseValue,->,stampDutyTax
2,interestTaxRelief,->,interest
ID,Variable 1,Dependency,Variable 2
1,actualRentalIncome,->,rentalIncomeT+1
2,stampDutyTaxBand,->,stampDutyTax
3,stampDutyTax,->,incomeTax
4,otherPropertyExpensesT+1,->,otherPropertyExpenses
5,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,propertyExpenses
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,rentalGrossProfit,->,rentalIncome
4,actualRentalIncome,->,rentalIncomeT+1
5,rentalIncome,->,actualRentalIncome
6,propertyPurchaseValue,->,propertyValueT+1
7,propertyPurchaseValue,->,stampDutyTaxBand
8,stampDutyTaxBand,->,rentalGrossYield
9,stampDutyTaxBand,->,stampDutyTax
10,otherPropertyExpensesT+1,->,otherPropertyExpenses
11,capitalGrowth,->,capitalGains
12,interestTaxRelief,->,interest
ID,Variable 1,Dependency,Variable 2
1,actualRentalIncome,->,rentalGrossProfit
2,otherPropertyExpenses,->,propertyExpenses
3,propertyPurchaseValue,->,propertyValueT+1
4,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,propertyPurchaseValue,->,propertyValueT+1
2,propertyPurchaseValue,->,stampDutyTax
3,interest,->,interestTaxRelief
ID,Variable 1,Dependency,Variable 2
1,otherPropertyExpenses,->,propertyExpenses
2,stampDutyTaxBand,->,stampDutyTax
3,otherPropertyExpensesT+1,->,otherPropertyExpenses
ID,Variable 1,Dependency,Variable 2
1,propertyPurchaseValue,->,rentalGrossYield
2,propertyPurchaseValue,->,stampDutyTaxBand
3,stampDutyTaxBand,->,stampDutyTax
4,otherPropertyExpensesT+1,->,otherPropertyExpenses
5,interestTaxRelief,->,interest
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,LTV
3,propertyManagement,->,propertyExpensesGrowth
4,rentalGrossProfit,->,rentalNetProfitBeforeInterest
5,rentalGrossProfit,->,rentalIncomeLoss%
6,actualRentalIncome,->,rentalGrossProfit
7,actualRentalIncome,->,rentalGrossYield
8,actualRentalIncome,->,rentalIncomeT+1
9,otherPropertyExpenses,->,propertyExpenses
10,otherPropertyExpenses,->,LTV
11,rentalNetProfitBeforeInterest,->,otherPropertyExpensesT+1
12,rentalNetProfitBeforeInterest,->,incomeTax
13,rentalNetProfitBeforeInterest,->,netProfit
14,rentalIncomeT+1,->,propertyExpenses
15,rentalIncomeT+1,->,rentalGrowth
16,rentalIncomeLoss%,->,LTV
17,rentalIncome,->,actualRentalIncome
18,rentalIncome,->,propertyPurchaseValue
19,propertyPurchaseValue,->,LTV
20,propertyPurchaseValue,->,propertyValueT+1
21,propertyPurchaseValue,->,stampDutyTaxBand
22,propertyPurchaseValue,->,stampDutyTax
23,stampDutyTaxBand,->,rentalGrossYield
24,capitalGains,->,propertyExpensesGrowth
25,otherPropertyExpensesT+1,->,otherPropertyExpenses
26,propertyExpensesGrowth,->,interest
27,capitalGrowth,->,propertyExpenses
28,capitalGrowth,->,capitalGains
29,interest,->,LTV
30,interest,->,interestTaxRelief
31,interest,->,netProfit
32,interestRate,->,interest
33,borrowing,->,LTV
34,otherInterestFees,->,rentalGrossYield
35,otherInterestFees,->,interest
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,rentalGrossProfit
2,propertyExpenses,->,propertyManagement
3,propertyExpenses,->,otherPropertyExpenses
4,propertyExpenses,->,netProfit
5,actualRentalIncome,->,rentalGrossProfit
6,actualRentalIncome,->,rentalIncomeT+1
7,otherPropertyExpenses,->,otherPropertyExpensesT+1
8,rentalNetProfitBeforeInterest,->,rentalGrossProfit
9,rentalNetProfitBeforeInterest,->,netProfit
10,rentalGrossYield,->,rentalGrossProfit
11,rentalGrossYield,->,propertyPurchaseValue
12,rentalGrossYield,->,stampDutyTaxBand
13,rentalIncomeLoss%,->,rentalNetProfitBeforeInterest
14,rentalIncome,->,actualRentalIncome
15,rentalIncome,->,stampDutyTaxBand
16,propertyPurchaseValue,->,LTV
17,propertyPurchaseValue,->,propertyValueT+1
18,propertyPurchaseValue,->,stampDutyTaxBand
19,propertyPurchaseValue,->,stampDutyTax
20,propertyPurchaseValue,->,capitalGains
21,stampDutyTax,->,rentalNetProfitBeforeInterest
22,stampDutyTax,->,stampDutyTaxBand
23,capitalGains,->,netProfit
24,otherPropertyExpensesT+1,->,LTV
25,propertyExpensesGrowth,->,rentalGrossProfit
26,rentalGrowth,->,capitalGains
27,rentalGrowth,->,otherInterestFees
28,capitalGrowth,->,rentalGrossProfit
29,capitalGrowth,->,capitalGains
30,incomeTax,->,LTV
31,interest,->,interestTaxRelief
32,interest,->,netProfit
33,interest,->,interestRate
34,interest,->,borrowing
35,borrowing,->,LTV
36,otherInterestFees,->,rentalGrossProfit
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,propertyExpenses
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,actualRentalIncome,->,propertyExpenses
4,actualRentalIncome,->,rentalGrossProfit
5,actualRentalIncome,->,rentalIncomeT+1
6,actualRentalIncome,->,rentalIncome
7,otherPropertyExpenses,->,otherPropertyExpensesT+1
8,otherPropertyExpenses,->,rentalGrowth
9,otherPropertyExpenses,->,netProfit
10,rentalNetProfitBeforeInterest,->,netProfit
11,rentalGrossYield,->,propertyManagement
12,rentalIncomeLoss%,->,actualRentalIncome
13,propertyPurchaseValue,->,LTV
14,propertyPurchaseValue,->,stampDutyTaxBand
15,propertyPurchaseValue,->,stampDutyTax
16,propertyValueT+1,->,propertyPurchaseValue
17,stampDutyTax,->,rentalGrossYield
18,capitalGains,->,netProfit
19,otherPropertyExpensesT+1,->,propertyExpenses
20,propertyExpensesGrowth,->,rentalGrossProfit
21,rentalGrowth,->,rentalNetProfitBeforeInterest
22,capitalGrowth,->,LTV
23,capitalGrowth,->,capitalGains
24,incomeTax,->,rentalNetProfitBeforeInterest
25,incomeTax,->,LTV
26,interest,->,interestTaxRelief
27,interest,->,netProfit
28,interestRate,->,interest
29,borrowing,->,LTV
30,borrowing,->,interestRate
31,otherInterestFees,->,rentalGrossProfit
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,netProfit
2,propertyExpenses,->,propertyManagement
3,rentalGrossProfit,->,rentalNetProfitBeforeInterest
4,actualRentalIncome,->,rentalGrossProfit
5,actualRentalIncome,->,rentalIncome
6,otherPropertyExpenses,->,propertyExpenses
7,otherPropertyExpenses,->,propertyValueT+1
8,rentalNetProfitBeforeInterest,->,capitalGains
9,rentalNetProfitBeforeInterest,->,incomeTax
10,rentalNetProfitBeforeInterest,->,netProfit
11,rentalIncomeT+1,->,actualRentalIncome
12,rentalIncomeLoss%,->,netProfit
13,propertyPurchaseValue,->,stampDutyTax
14,propertyPurchaseValue,->,capitalGains
15,LTV,->,propertyExpensesGrowth
16,stampDutyTaxBand,->,rentalGrossYield
17,stampDutyTaxBand,->,propertyPurchaseValue
18,capitalGains,->,propertyValueT+1
19,otherPropertyExpensesT+1,->,otherPropertyExpenses
20,otherPropertyExpensesT+1,->,netProfit
21,propertyExpensesGrowth,->,otherPropertyExpensesT+1
22,rentalGrowth,->,netProfit
23,capitalGrowth,->,rentalIncomeLoss%
24,capitalGrowth,->,capitalGains
25,interestTaxRelief,->,interest
26,interest,->,netProfit
27,interest,->,interestRate
28,interest,->,borrowing
29,interestRate,->,propertyValueT+1
30,borrowing,->,LTV
31,otherInterestFees,->,borrowing
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,LTV
3,rentalGrossProfit,->,actualRentalIncome
4,rentalGrossProfit,->,capitalGains
5,actualRentalIncome,->,rentalIncomeT+1
6,actualRentalIncome,->,rentalIncome
7,otherPropertyExpenses,->,propertyExpenses
8,otherPropertyExpenses,->,LTV
9,otherPropertyExpenses,->,otherPropertyExpensesT+1
10,rentalNetProfitBeforeInterest,->,rentalGrossProfit
11,rentalNetProfitBeforeInterest,->,netProfit
12,rentalGrossYield,->,rentalNetProfitBeforeInterest
13,rentalIncomeLoss%,->,otherInterestFees
14,rentalIncome,->,propertyExpenses
15,propertyPurchaseValue,->,rentalGrossYield
16,propertyPurchaseValue,->,propertyValueT+1
17,propertyPurchaseValue,->,capitalGains
18,LTV,->,netProfit
19,stampDutyTaxBand,->,propertyPurchaseValue
20,stampDutyTaxBand,->,interest
21,stampDutyTax,->,LTV
22,stampDutyTax,->,stampDutyTaxBand
23,stampDutyTax,->,incomeTax
24,rentalGrowth,->,netProfit
25,capitalGrowth,->,rentalNetProfitBeforeInterest
26,capitalGrowth,->,capitalGains
27,incomeTax,->,rentalNetProfitBeforeInterest
28,interest,->,interestTaxRelief
29,interest,->,netProfit
30,interest,->,interestRate
31,interest,->,borrowing
32,interestRate,->,propertyExpensesGrowth
33,borrowing,->,LTV
34,otherInterestFees,->,LTV
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,interest
3,propertyExpenses,->,rentalGrossProfit
4,propertyExpenses,->,capitalGrowth
5,rentalGrossProfit,->,actualRentalIncome
6,rentalGrossProfit,->,rentalNetProfitBeforeInterest
7,actualRentalIncome,->,rentalIncomeT+1
8,actualRentalIncome,->,rentalIncome
9,actualRentalIncome,->,interestRate
10,rentalGrossYield,->,rentalNetProfitBeforeInterest
11,rentalIncomeLoss%,->,propertyValueT+1
12,rentalIncomeLoss%,->,netProfit
13,propertyPurchaseValue,->,rentalGrossYield
14,propertyPurchaseValue,->,propertyValueT+1
15,propertyPurchaseValue,->,interest
16,propertyPurchaseValue,->,otherInterestFees
17,LTV,->,rentalGrowth
18,propertyValueT+1,->,otherPropertyExpensesT+1
19,stampDutyTaxBand,->,propertyPurchaseValue
20,stampDutyTaxBand,->,stampDutyTax
21,stampDutyTaxBand,->,netProfit
22,capitalGains,->,propertyValueT+1
23,capitalGains,->,capitalGrowth
24,otherPropertyExpensesT+1,->,otherPropertyExpenses
25,propertyExpensesGrowth,->,rentalNetProfitBeforeInterest
26,rentalGrowth,->,rentalNetProfitBeforeInterest
27,capitalGrowth,->,netProfit
28,incomeTax,->,rentalNetProfitBeforeInterest
29,incomeTax,->,interest
30,netProfit,->,rentalNetProfitBeforeInterest
31,interest,->,interestTaxRelief
32,interest,->,netProfit
33,interest,->,interestRate
34,interestRate,->,borrowing
35,borrowing,->,LTV
36,otherInterestFees,->,capitalGrowth
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,rentalIncomeT+1
2,propertyManagement,->,borrowing
3,propertyExpenses,->,propertyManagement
4,propertyExpenses,->,otherPropertyExpenses
5,propertyExpenses,->,rentalIncomeLoss%
6,rentalGrossProfit,->,rentalNetProfitBeforeInterest
7,actualRentalIncome,->,rentalGrossProfit
8,actualRentalIncome,->,rentalIncomeT+1
9,actualRentalIncome,->,rentalIncome
10,otherPropertyExpenses,->,rentalNetProfitBeforeInterest
11,otherPropertyExpenses,->,otherPropertyExpensesT+1
12,rentalNetProfitBeforeInterest,->,netProfit
13,rentalIncomeLoss%,->,actualRentalIncome
14,rentalIncome,->,rentalNetProfitBeforeInterest
15,rentalIncome,->,rentalGrossYield
16,propertyPurchaseValue,->,stampDutyTaxBand
17,LTV,->,propertyExpensesGrowth
18,propertyValueT+1,->,propertyPurchaseValue
19,propertyValueT+1,->,capitalGains
20,stampDutyTaxBand,->,rentalGrossYield
21,stampDutyTaxBand,->,LTV
22,stampDutyTaxBand,->,stampDutyTax
23,otherPropertyExpensesT+1,->,capitalGains
24,propertyExpensesGrowth,->,rentalGrowth
25,rentalGrowth,->,rentalNetProfitBeforeInterest
26,capitalGrowth,->,capitalGains
27,capitalGrowth,->,interest
28,incomeTax,->,rentalNetProfitBeforeInterest
29,interestTaxRelief,->,rentalIncomeT+1
30,interest,->,interestTaxRelief
31,interestRate,->,interest
32,borrowing,->,rentalGrossYield
33,borrowing,->,interest
34,otherInterestFees,->,interest
ID,Variable 1,Dependency,Variable 2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,rentalNetProfitBeforeInterest
3,rentalGrossProfit,->,rentalNetProfitBeforeInterest
4,actualRentalIncome,->,propertyExpenses
5,actualRentalIncome,->,rentalGrossProfit
