ID,Variable1,Dependency,Variable2
1,propertyExpenses,->,interest
2,actualRentalIncome,->,rentalGrossYield
3,otherPropertyExpenses,->,propertyPurchaseValue
4,rentalNetProfitBeforeInterest,->,otherPropertyExpensesT+1
5,rentalIncomeT+1,->,interest
6,rentalIncomeLoss%,->,rentalGrossProfit
7,rentalIncomeLoss%,->,actualRentalIncome
8,propertyPurchaseValue,->,propertyValueT+1
9,propertyPurchaseValue,->,capitalGains
10,propertyExpensesGrowth,->,rentalGrossProfit
11,propertyExpensesGrowth,->,actualRentalIncome
12,interestTaxRelief,->,rentalNetProfitBeforeInterest
13,netProfit,->,actualRentalIncome
14,interest,->,stampDutyTaxBand
15,interest,->,interestTaxRelief
16,interestRate,->,interest
17,borrowing,->,interestTaxRelief
18,otherInterestFees,->,actualRentalIncome
19,otherInterestFees,->,interest
