ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,netProfit
3,propertyExpenses,->,interest
4,rentalGrossProfit,->,rentalNetProfitBeforeInterest
5,actualRentalIncome,->,propertyExpenses
6,actualRentalIncome,->,rentalGrossProfit
7,actualRentalIncome,->,rentalIncomeT+1
8,otherPropertyExpenses,->,propertyExpenses
9,otherPropertyExpenses,->,otherPropertyExpensesT+1
10,rentalNetProfitBeforeInterest,->,propertyValueT+1
11,rentalNetProfitBeforeInterest,->,netProfit
12,rentalIncomeLoss%,->,stampDutyTaxBand
13,rentalIncome,->,actualRentalIncome
14,propertyPurchaseValue,->,rentalGrossYield
15,propertyPurchaseValue,->,propertyValueT+1
16,propertyPurchaseValue,->,stampDutyTaxBand
17,propertyPurchaseValue,->,capitalGains
18,propertyValueT+1,->,stampDutyTaxBand
19,stampDutyTaxBand,->,LTV
20,stampDutyTaxBand,->,stampDutyTax
21,stampDutyTax,->,otherPropertyExpenses
22,capitalGains,->,propertyValueT+1
23,otherPropertyExpensesT+1,->,rentalIncomeT+1
24,propertyExpensesGrowth,->,LTV
25,rentalGrowth,->,LTV
26,capitalGrowth,->,rentalIncomeT+1
27,capitalGrowth,->,capitalGains
28,capitalGrowth,->,interest
29,incomeTax,->,rentalIncomeT+1
30,interestTaxRelief,->,netProfit
31,netProfit,->,rentalIncomeLoss%
32,interest,->,propertyPurchaseValue
33,interest,->,interestTaxRelief
34,interestRate,->,interest
35,borrowing,->,rentalIncome
36,borrowing,->,LTV
37,borrowing,->,interest
38,otherInterestFees,->,propertyValueT+1
39,otherInterestFees,->,capitalGains
