ID,Variable 1,Dependency,Variable 2
1,HDA,->,HTgoals
2,HDA,->,ATgoals
ID,Variable 1,Dependency,Variable 2
1,HDA,->,HTgoals
2,HDA,->,ATgoals
ID,Variable 1,Dependency,Variable 2
1,HDA,->,HTgoals
2,HDA,->,ATgoals
ID,Variable 1,Dependency,Variable 2
1,HDA,->,HTgoals
2,HDA,->,ATgoals
ID,Variable 1,Dependency,Variable 2
1,HDA,->,HTgoals
2,HDA,->,ATgoals
ID,Variable 1,Dependency,Variable 2
1,HDA,->,HTgoals
2,HDA,->,ATgoals
ID,Variable 1,Dependency,Variable 2
1,HTgoals,->,HDA
ID,Variable 1,Dependency,Variable 2
1,HTgoals,->,HDA
ID,Variable 1,Dependency,Variable 2
1,HDA,->,HTgoals
2,HDA,->,ATgoals
ID,Variable 1,Dependency,Variable 2
1,HDA,->,HTgoals
2,HDA,->,ATgoals
ID,Variable 1,Dependency,Variable 2
1,HTgoals,->,HDA
ID,Variable 1,Dependency,Variable 2
1,HTgoals,->,HDA
ID,Variable 1,Dependency,Variable 2
1,ATshots,->,ATshotsOnTarget
2,HTgoals,->,HDA
ID,Variable 1,Dependency,Variable 2
1,RDlevel,->,HTshotOnTarget
2,ATshots,->,ATshotsOnTarget
3,HTshotOnTarget,->,ATshots
4,HTshotOnTarget,->,HTgoals
5,ATshotsOnTarget,->,RDlevel
6,HTgoals,->,HDA
7,HDA,->,HTshots
ID,Variable 1,Dependency,Variable 2
1,HTgoals,->,HDA
2,HDA,->,ATshotsOnTarget
ID,Variable 1,Dependency,Variable 2
1,RDlevel,->,ATshotsOnTarget
2,RDlevel,->,ATgoals
3,HTshotOnTarget,->,RDlevel
4,HTshotOnTarget,->,ATshots
5,HTshotOnTarget,->,ATshotsOnTarget
6,possession,->,ATshots
7,ATgoals,->,HDA
ID,Variable 1,Dependency,Variable 2
1,ATshots,->,ATshotsOnTarget
2,HTshotOnTarget,->,HTshots
3,HTgoals,->,HDA
ID,Variable 1,Dependency,Variable 2
1,HTgoals,->,HDA
ID,Variable 1,Dependency,Variable 2
