,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1score,avgnmi,parametername,parametervalue,Con_F1,score
0,ALARM,UpCM0,,,,,41,10,14,1272,36,0.4166666666666667,0.21739130434782608,0.2857142857142857,4,2,7,5,0.6666666666666666,0.4444444444444444,,0.423308807300264,NumofEvaluation,500,0.5333333333333333,-2339.2936258775385
1,ALARM,UpCM1,,,,,36,14,12,1274,32,0.5384615384615384,0.30434782608695654,0.3888888888888889,8,1,8,1,0.8888888888888888,0.8888888888888888,,0.31711495999904316,NumofEvaluation,500,0.8888888888888888,-2318.543247863015
2,ALARM,UpCM2,,,,,36,14,11,1275,32,0.56,0.30434782608695654,0.3943661971830986,8,1,8,1,0.8888888888888888,0.8888888888888888,,0.35972559793243447,NumofEvaluation,500,0.8888888888888888,-2318.9916355731793
3,ALARM,UpCM3,,,,,42,12,16,1270,34,0.42857142857142855,0.2608695652173913,0.3243243243243243,6,5,4,3,0.5454545454545454,0.6666666666666666,,0.30718995906073404,NumofEvaluation,500,0.6,-2309.7415540562633
4,ALARM,UpCM4,,,,,40,13,15,1271,33,0.4642857142857143,0.2826086956521739,0.35135135135135126,7,4,5,2,0.6363636363636364,0.7777777777777778,,0.3038210656150345,NumofEvaluation,500,0.7000000000000001,-2309.114784133894
5,ALARM,UpCM5,,,,,42,12,16,1270,34,0.42857142857142855,0.2608695652173913,0.3243243243243243,6,5,4,3,0.5454545454545454,0.6666666666666666,,0.3061907228898156,NumofEvaluation,500,0.6,-2309.1742548708116
6,ALARM,UpCM6,,,,,39,14,15,1271,32,0.4827586206896552,0.30434782608695654,0.3733333333333333,8,4,5,1,0.6666666666666666,0.8888888888888888,,0.28753052457478334,NumofEvaluation,500,0.761904761904762,-2305.1360222181743
7,ALARM,UpCM7,,,,,41,13,16,1270,33,0.4482758620689655,0.2826086956521739,0.3466666666666666,7,5,4,2,0.5833333333333334,0.7777777777777778,,0.28538753213984397,NumofEvaluation,500,0.6666666666666666,-2303.9152435254377
8,ALARM,UpCM8,,,,,41,12,16,1270,34,0.42857142857142855,0.2608695652173913,0.3243243243243243,6,4,5,3,0.6,0.6666666666666666,,0.29991344129893643,NumofEvaluation,500,0.631578947368421,-2305.584409928338
9,ALARM,UpCM9,,,,,40,14,16,1270,32,0.4666666666666667,0.30434782608695654,0.3684210526315789,8,5,4,1,0.6153846153846154,0.8888888888888888,,0.2660481386201995,NumofEvaluation,500,0.7272727272727274,-2302.23930855751
