,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1score,avgnmi,parametername,parametervalue,Con_F1,score
0,FORMED,UpCM0,,,,,115,32,25,7493,106,0.5614035087719298,0.2318840579710145,0.32820512820512815,15,8,20,13,0.6521739130434783,0.5357142857142857,,0.1504703718323818,NumofEvaluation,500,0.5882352941176471,-6308.205435448969
1,FORMED,UpCM1,,,,,118,33,29,7489,105,0.532258064516129,0.2391304347826087,0.33,14,12,16,14,0.5384615384615384,0.5,,0.12882818264994797,NumofEvaluation,500,0.5185185185185186,-6261.664474215441
2,FORMED,UpCM2,,,,,110,42,26,7492,96,0.6176470588235294,0.30434782608695654,0.4077669902912621,21,13,15,7,0.6176470588235294,0.75,,0.11208363199814068,NumofEvaluation,500,0.6774193548387097,-6260.556811893689
3,FORMED,UpCM3,,,,,127,30,38,7480,108,0.4411764705882353,0.21739130434782608,0.29126213592233013,14,18,10,14,0.4375,0.5,,0.10977351922878774,NumofEvaluation,500,0.4666666666666667,-6260.295631863223
4,FORMED,UpCM4,,,,,128,30,39,7479,108,0.43478260869565216,0.21739130434782608,0.2898550724637681,14,19,9,14,0.42424242424242425,0.5,,0.10651557270582798,NumofEvaluation,500,0.4590163934426229,-6260.186731795293
5,FORMED,UpCM5,,,,,126,31,38,7480,107,0.4492753623188406,0.2246376811594203,0.2995169082125604,14,18,10,14,0.4375,0.5,,0.1034697263101568,NumofEvaluation,500,0.4666666666666667,-6256.228297192239
6,FORMED,UpCM6,,,,,116,35,30,7488,103,0.5384615384615384,0.2536231884057971,0.3448275862068966,18,12,16,10,0.6,0.6428571428571429,,0.10524440386360938,NumofEvaluation,500,0.6206896551724138,-6257.432321228583
7,FORMED,UpCM7,,,,,120,31,33,7485,107,0.484375,0.2246376811594203,0.3069306930693069,13,12,16,15,0.52,0.4642857142857143,,0.07380989742855065,NumofEvaluation,500,0.49056603773584906,-6247.569493165944
8,FORMED,UpCM8,,,,,122,31,34,7484,107,0.47692307692307695,0.2246376811594203,0.30541871921182273,13,14,14,15,0.48148148148148145,0.4642857142857143,,0.10025573792930258,NumofEvaluation,500,0.4727272727272727,-6251.464986739189
9,FORMED,UpCM9,,,,,120,32,33,7485,106,0.49230769230769234,0.2318840579710145,0.31527093596059114,13,13,15,15,0.5,0.4642857142857143,,0.07041789984648535,NumofEvaluation,500,0.4814814814814815,-6246.414545218529
10,FORMED,UpCM10,,,,,117,34,32,7486,104,0.5151515151515151,0.2463768115942029,0.33333333333333337,16,12,16,12,0.5714285714285714,0.5714285714285714,,0.09585601495537074,NumofEvaluation,500,0.5714285714285714,-6249.829895623896
11,FORMED,UpCM11,,,,,120,36,37,7481,102,0.4931506849315068,0.2608695652173913,0.34123222748815163,16,17,11,12,0.48484848484848486,0.5714285714285714,,0.035061960786824574,NumofEvaluation,500,0.5245901639344263,-6241.597417786317
12,FORMED,UpCM12,,,,,119,35,34,7484,103,0.5072463768115942,0.2536231884057971,0.33816425120772947,15,15,13,13,0.5,0.5357142857142857,,0.06399530926621533,NumofEvaluation,500,0.5172413793103449,-6243.168058738335
13,FORMED,UpCM13,,,,,118,38,36,7482,100,0.5135135135135135,0.2753623188405797,0.3584905660377359,18,17,11,10,0.5142857142857142,0.6428571428571429,,0.050706340140752294,NumofEvaluation,500,0.5714285714285714,-6242.397517191434
14,FORMED,UpCM14,,,,,120,33,34,7484,105,0.4925373134328358,0.2391304347826087,0.3219512195121951,14,14,14,14,0.5,0.5,,0.06585829388062729,NumofEvaluation,500,0.5,-6243.444972495422
15,FORMED,UpCM15,,,,,118,34,32,7486,104,0.5151515151515151,0.2463768115942029,0.33333333333333337,14,13,15,14,0.5185185185185185,0.5,,0.06865463162705739,NumofEvaluation,500,0.509090909090909,-6244.213801507055
