,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1score,avgnmi,parametername,parametervalue,Con_F1,score
0,FORMED,UpCM0,,,,,120,30,31,7487,108,0.4918032786885246,0.21739130434782608,0.30150753768844224,14,11,17,14,0.56,0.5,,0.13207772702824674,NumofEvaluation,1000,0.5283018867924528,-6268.77392385437
1,FORMED,UpCM1,,,,,117,38,33,7485,100,0.5352112676056338,0.2753623188405797,0.3636363636363636,19,16,12,9,0.5428571428571428,0.6785714285714286,,0.09084787725999253,NumofEvaluation,1000,0.603174603174603,-6262.193964595043
2,FORMED,UpCM2,,,,,120,34,34,7484,104,0.5,0.2463768115942029,0.3300970873786408,16,15,13,12,0.5161290322580645,0.5714285714285714,,0.08920578183473908,NumofEvaluation,1000,0.5423728813559322,-6257.265097922737
3,FORMED,UpCM3,,,,,115,35,31,7487,103,0.5303030303030303,0.2536231884057971,0.3431372549019608,17,11,17,11,0.6071428571428571,0.6071428571428571,,0.08839951781817958,NumofEvaluation,1000,0.6071428571428571,-6249.912502176089
4,FORMED,UpCM4,,,,,120,36,35,7483,102,0.5070422535211268,0.2608695652173913,0.3444976076555023,17,17,11,11,0.5,0.6071428571428571,,0.0855018697369577,NumofEvaluation,1000,0.5483870967741935,-6249.3313963584715
5,FORMED,UpCM5,,,,,123,35,37,7481,103,0.4861111111111111,0.2536231884057971,0.3333333333333333,16,19,9,12,0.45714285714285713,0.5714285714285714,,0.083909837477701,NumofEvaluation,1000,0.5079365079365079,-6247.6253137353515
6,FORMED,UpCM6,,,,,118,38,34,7484,100,0.5277777777777778,0.2753623188405797,0.3619047619047619,18,17,11,10,0.5142857142857142,0.6428571428571429,,0.08344076735178017,NumofEvaluation,1000,0.5714285714285714,-6246.397354258623
7,FORMED,UpCM7,,,,,118,39,34,7484,99,0.5342465753424658,0.2826086956521739,0.3696682464454976,18,18,10,10,0.5,0.6428571428571429,,0.08166064518403375,NumofEvaluation,1000,0.5625000000000001,-6245.764335838395
8,FORMED,UpCM8,,,,,120,34,37,7481,104,0.4788732394366197,0.2463768115942029,0.3253588516746411,16,15,13,12,0.5161290322580645,0.5714285714285714,,0.03623025062592228,NumofEvaluation,1000,0.5423728813559322,-6238.927680492792
9,FORMED,UpCM9,,,,,116,38,33,7485,100,0.5352112676056338,0.2753623188405797,0.3636363636363636,18,15,13,10,0.5454545454545454,0.6428571428571429,,0.07637071619290133,NumofEvaluation,1000,0.5901639344262296,-6240.609012415881
10,FORMED,UpCM10,,,,,115,38,32,7486,100,0.5428571428571428,0.2753623188405797,0.36538461538461536,18,14,14,10,0.5625,0.6428571428571429,,0.07824189961396179,NumofEvaluation,1000,0.6000000000000001,-6240.678914957857
11,FORMED,UpCM11,,,,,118,38,35,7483,100,0.5205479452054794,0.2753623188405797,0.36018957345971564,18,17,11,10,0.5142857142857142,0.6428571428571429,,0.07208303392675214,NumofEvaluation,1000,0.5714285714285714,-6240.1049362017575
12,FORMED,UpCM12,,,,,119,35,37,7481,103,0.4861111111111111,0.2536231884057971,0.3333333333333333,17,15,13,11,0.53125,0.6071428571428571,,0.035203733495138806,NumofEvaluation,1000,0.5666666666666667,-6238.871403505172
13,FORMED,UpCM13,,,,,119,38,36,7482,100,0.5135135135135135,0.2753623188405797,0.3584905660377359,18,18,10,10,0.5,0.6428571428571429,,0.07040508791022376,NumofEvaluation,1000,0.5625000000000001,-6239.515088979152
14,FORMED,UpCM14,,,,,121,35,37,7481,103,0.4861111111111111,0.2536231884057971,0.3333333333333333,16,17,11,12,0.48484848484848486,0.5714285714285714,,0.05600191899182205,NumofEvaluation,1000,0.5245901639344263,-6238.988998844068
15,FORMED,UpCM15,,,,,122,34,37,7481,104,0.4788732394366197,0.2463768115942029,0.3253588516746411,15,17,11,13,0.46875,0.5357142857142857,,0.05761913192559828,NumofEvaluation,1000,0.5,-6239.423574261656
