,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1score,avgnmi,parametername,parametervalue,Con_F1,score
0,DIARRHOEA,UpCM0,,,,,61,12,6,682,56,0.6666666666666666,0.17647058823529413,0.27906976744186046,9,3,11,5,0.75,0.6428571428571429,,0.13677747195469664,NumofEvaluation,1000,0.6923076923076924,-2303.3356646952257
1,DIARRHOEA,UpCM1,,,,,62,11,6,682,57,0.6470588235294118,0.16176470588235295,0.25882352941176473,8,3,11,6,0.7272727272727273,0.5714285714285714,,0.14904593726664941,NumofEvaluation,1000,0.64,-2304.483843868634
2,DIARRHOEA,UpCM2,,,,,62,11,7,681,57,0.6111111111111112,0.16176470588235295,0.2558139534883721,8,3,11,6,0.7272727272727273,0.5714285714285714,,0.13419685569556836,NumofEvaluation,1000,0.64,-2301.3982253158247
3,DIARRHOEA,UpCM3,,,,,64,11,9,679,57,0.55,0.16176470588235295,0.25000000000000006,8,5,9,6,0.6153846153846154,0.5714285714285714,,0.12410315250427037,NumofEvaluation,1000,0.5925925925925927,-2300.8058800741
4,DIARRHOEA,UpCM4,,,,,64,9,8,680,59,0.5294117647058824,0.1323529411764706,0.21176470588235297,6,3,11,8,0.6666666666666666,0.42857142857142855,,0.13524395353588453,NumofEvaluation,1000,0.5217391304347826,-2302.0447484117094
5,DIARRHOEA,UpCM5,,,,,63,12,9,679,56,0.5714285714285714,0.17647058823529413,0.2696629213483146,9,5,9,5,0.6428571428571429,0.6428571428571429,,0.1170011904484526,NumofEvaluation,1000,0.6428571428571429,-2299.351811561859
6,DIARRHOEA,UpCM6,,,,,64,11,10,678,57,0.5238095238095238,0.16176470588235295,0.24719101123595508,9,5,9,5,0.6428571428571429,0.6428571428571429,,0.11365668489847293,NumofEvaluation,1000,0.6428571428571429,-2299.0665318179595
7,DIARRHOEA,UpCM7,,,,,62,14,10,678,54,0.5833333333333334,0.20588235294117646,0.3043478260869565,11,6,8,3,0.6470588235294118,0.7857142857142857,,0.10035464548593928,NumofEvaluation,1000,0.7096774193548386,-2296.9669092608933
8,DIARRHOEA,UpCM8,,,,,62,13,9,679,55,0.5909090909090909,0.19117647058823528,0.28888888888888886,10,5,9,4,0.6666666666666666,0.7142857142857143,,0.11273248291258241,NumofEvaluation,1000,0.689655172413793,-2298.4592774936
9,DIARRHOEA,UpCM9,,,,,61,14,9,679,54,0.6086956521739131,0.20588235294117646,0.3076923076923077,11,5,9,3,0.6875,0.7857142857142857,,0.10650190977449477,NumofEvaluation,1000,0.7333333333333334,-2297.083914661788
10,DIARRHOEA,UpCM10,,,,,61,14,8,680,54,0.6363636363636364,0.20588235294117646,0.3111111111111111,11,5,9,3,0.6875,0.7857142857142857,,0.1123517333731194,NumofEvaluation,1000,0.7333333333333334,-2298.002146411761
11,DIARRHOEA,UpCM11,,,,,62,14,10,678,54,0.5833333333333334,0.20588235294117646,0.3043478260869565,11,6,8,3,0.6470588235294118,0.7857142857142857,,0.09162904189565943,NumofEvaluation,1000,0.7096774193548386,-2295.931778538835
12,DIARRHOEA,UpCM12,,,,,62,13,10,678,55,0.5652173913043478,0.19117647058823528,0.2857142857142857,10,5,9,4,0.6666666666666666,0.7142857142857143,,0.09657873427395791,NumofEvaluation,1000,0.689655172413793,-2296.4371400400755
