,Network,CorRate,Method,Metric,Value
0,ASIA,0.1,UpCM,SHD,6.5
1,ASIA,0.1,UpCM,F1,0.2801731601731602
2,ASIA,0.1,UpCM,F1$^c$,0.8333333333333333
3,ASIA,0.1,PCstable$^{\triangledown}$,SHD,7.3
4,ASIA,0.1,PCstable$^{\triangledown}$,F1,0.1396969696969697
5,ASIA,0.1,PCstable$^{\triangledown}$,F1$^c$,0.4
6,ASIA,0.1,GES$^{\triangledown}$,SHD,4.4
7,ASIA,0.1,GES$^{\triangledown}$,F1,0.6397802197802198
8,ASIA,0.1,GES$^{\triangledown}$,F1$^c$,0.6333333333333333
9,ASIA,0.1,MAHC$^{\triangledown}$,SHD,7.2
10,ASIA,0.1,MAHC$^{\triangledown}$,F1,0.3108424908424908
11,ASIA,0.1,MAHC$^{\triangledown}$,F1$^c$,0.4666666666666666
12,ASIA,0.2,UpCM,SHD,6.6
13,ASIA,0.2,UpCM,F1,0.3245421245421246
14,ASIA,0.2,UpCM,F1$^c$,0.6366666666666667
15,ASIA,0.2,PCstable$^{\triangledown}$,SHD,7.1
16,ASIA,0.2,PCstable$^{\triangledown}$,F1,0.1712121212121212
17,ASIA,0.2,PCstable$^{\triangledown}$,F1$^c$,0.3
18,ASIA,0.2,GES$^{\triangledown}$,SHD,4.2
19,ASIA,0.2,GES$^{\triangledown}$,F1,0.6135073260073259
20,ASIA,0.2,GES$^{\triangledown}$,F1$^c$,0.65
21,ASIA,0.2,MAHC$^{\triangledown}$,SHD,6.2
22,ASIA,0.2,MAHC$^{\triangledown}$,F1,0.4056410256410256
23,ASIA,0.2,MAHC$^{\triangledown}$,F1$^c$,0.46333333333333326
24,ASIA,0.5,UpCM,SHD,4.3
25,ASIA,0.5,UpCM,F1,0.6187587412587413
26,ASIA,0.5,UpCM,F1$^c$,0.8001587301587303
27,ASIA,0.5,PCstable$^{\triangledown}$,SHD,6.5
28,ASIA,0.5,PCstable$^{\triangledown}$,F1,0.29258741258741255
29,ASIA,0.5,PCstable$^{\triangledown}$,F1$^c$,0.44666666666666666
30,ASIA,0.5,GES$^{\triangledown}$,SHD,5.222222222222222
31,ASIA,0.5,GES$^{\triangledown}$,F1,0.5385429385429386
32,ASIA,0.5,GES$^{\triangledown}$,F1$^c$,0.6455026455026456
33,ASIA,0.5,MAHC$^{\triangledown}$,SHD,5.777777777777778
34,ASIA,0.5,MAHC$^{\triangledown}$,F1,0.4865689865689865
35,ASIA,0.5,MAHC$^{\triangledown}$,F1$^c$,0.6480599647266314
36,SPORTS,0.1,UpCM,SHD,11.4
37,SPORTS,0.1,UpCM,F1,0.3691197691197692
38,SPORTS,0.1,UpCM,F1$^c$,0.74
39,SPORTS,0.1,PCstable$^{\triangledown}$,SHD,12.4
40,SPORTS,0.1,PCstable$^{\triangledown}$,F1,0.2652567693744164
41,SPORTS,0.1,PCstable$^{\triangledown}$,F1$^c$,0.5666666666666667
42,SPORTS,0.1,GES$^{\triangledown}$,SHD,13.4
43,SPORTS,0.1,GES$^{\triangledown}$,F1,0.2106965944272446
44,SPORTS,0.1,GES$^{\triangledown}$,F1$^c$,0.68
45,SPORTS,0.1,MAHC$^{\triangledown}$,SHD,13.8
46,SPORTS,0.1,MAHC$^{\triangledown}$,F1,0.1562779497764018
47,SPORTS,0.1,MAHC$^{\triangledown}$,F1$^c$,0.3333333333333333
48,SPORTS,0.2,UpCM,SHD,10.7
49,SPORTS,0.2,UpCM,F1,0.4151948051948051
50,SPORTS,0.2,UpCM,F1$^c$,0.7861904761904761
51,SPORTS,0.2,PCstable$^{\triangledown}$,SHD,12.3
52,SPORTS,0.2,PCstable$^{\triangledown}$,F1,0.2795906432748539
53,SPORTS,0.2,PCstable$^{\triangledown}$,F1$^c$,0.48999999999999994
54,SPORTS,0.2,GES$^{\triangledown}$,SHD,13.88888888888889
55,SPORTS,0.2,GES$^{\triangledown}$,F1,0.18638179177394865
56,SPORTS,0.2,GES$^{\triangledown}$,F1$^c$,0.5481481481481482
57,SPORTS,0.2,MAHC$^{\triangledown}$,SHD,14.8
58,SPORTS,0.2,MAHC$^{\triangledown}$,F1,0.025
59,SPORTS,0.2,MAHC$^{\triangledown}$,F1$^c$,0.1
60,SPORTS,0.5,UpCM,SHD,9.1
61,SPORTS,0.5,UpCM,F1,0.5469649915302089
62,SPORTS,0.5,UpCM,F1$^c$,0.6772560772560773
63,SPORTS,0.5,PCstable$^{\triangledown}$,SHD,11.9
64,SPORTS,0.5,PCstable$^{\triangledown}$,F1,0.3201754385964912
65,SPORTS,0.5,PCstable$^{\triangledown}$,F1$^c$,0.3753535353535354
66,SPORTS,0.5,GES$^{\triangledown}$,SHD,14.4
67,SPORTS,0.5,GES$^{\triangledown}$,F1,0.24888765294771967
68,SPORTS,0.5,GES$^{\triangledown}$,F1$^c$,0.3371102327624067
69,SPORTS,0.5,MAHC$^{\triangledown}$,SHD,13.7
70,SPORTS,0.5,MAHC$^{\triangledown}$,F1,0.14595803233574134
71,SPORTS,0.5,MAHC$^{\triangledown}$,F1$^c$,0.1692929292929293
