,Network,NumOfData,Method,Metric,Value
0,ALARM,30,UpCM,SHD,41.1
1,ALARM,30,UpCM,F1,0.2942479248736126
2,ALARM,30,UpCM,F1$^c$,0.7445836404737334
3,ALARM,30,PCstable$^{\triangledown}$,SHD,45.9
4,ALARM,30,PCstable$^{\triangledown}$,F1,0.09412942734193977
5,ALARM,30,PCstable$^{\triangledown}$,F1$^c$,0.16909090909090907
6,ALARM,30,GES$^{\triangledown}$,SHD,40.8
7,ALARM,30,GES$^{\triangledown}$,F1,0.2938552389874473
8,ALARM,30,GES$^{\triangledown}$,F1$^c$,0.7064542483660131
9,ALARM,30,MAHC$^{\triangledown}$,SHD,41.2
10,ALARM,30,MAHC$^{\triangledown}$,F1,0.33031771506303637
11,ALARM,30,MAHC$^{\triangledown}$,F1$^c$,0.6410010319917442
12,ALARM,50,UpCM,SHD,39.0
13,ALARM,50,UpCM,F1,0.36445521352843635
14,ALARM,50,UpCM,F1$^c$,0.7498815880280411
15,ALARM,50,PCstable$^{\triangledown}$,SHD,42.1
16,ALARM,50,PCstable$^{\triangledown}$,F1,0.2132711681187236
17,ALARM,50,PCstable$^{\triangledown}$,F1$^c$,0.3009090909090909
18,ALARM,50,GES$^{\triangledown}$,SHD,40.55555555555556
19,ALARM,50,GES$^{\triangledown}$,F1,0.28142081536563424
20,ALARM,50,GES$^{\triangledown}$,F1$^c$,0.6924533556112504
21,ALARM,50,MAHC$^{\triangledown}$,SHD,42.111111111111114
22,ALARM,50,MAHC$^{\triangledown}$,F1,0.3127864107146991
23,ALARM,50,MAHC$^{\triangledown}$,F1$^c$,0.6105073938407272
24,ALARM,100,UpCM,SHD,35.1
25,ALARM,100,UpCM,F1,0.4543676176012153
26,ALARM,100,UpCM,F1$^c$,0.786241559101971
27,ALARM,100,PCstable$^{\triangledown}$,SHD,37.4
28,ALARM,100,PCstable$^{\triangledown}$,F1,0.3391061963233364
29,ALARM,100,PCstable$^{\triangledown}$,F1$^c$,0.4783216783216783
