,Network,WroRate,Method,Metric,Value
0,DIARRHOEA,1,UpCM,SHD,63
1,DIARRHOEA,1,UpCM,F1,0.23655913978494625
2,DIARRHOEA,1,UpCM,F1$^c$,0.5517241379310344
3,DIARRHOEA,1,UpCM,SHD,60
4,DIARRHOEA,1,UpCM,F1,0.2608695652173913
5,DIARRHOEA,1,UpCM,F1$^c$,0.6153846153846153
6,DIARRHOEA,1,UpCM,SHD,61
7,DIARRHOEA,1,UpCM,F1,0.2826086956521739
8,DIARRHOEA,1,UpCM,F1$^c$,0.7407407407407408
9,DIARRHOEA,1,UpCM,SHD,64
10,DIARRHOEA,1,UpCM,F1,0.2448979591836735
11,DIARRHOEA,1,UpCM,F1$^c$,0.6000000000000001
12,DIARRHOEA,1,UpCM,SHD,61
13,DIARRHOEA,1,UpCM,F1,0.3125
14,DIARRHOEA,1,UpCM,F1$^c$,0.689655172413793
15,DIARRHOEA,1,UpCM,SHD,61
16,DIARRHOEA,1,UpCM,F1,0.3111111111111111
17,DIARRHOEA,1,UpCM,F1$^c$,0.7333333333333334
18,DIARRHOEA,1,UpCM,SHD,62
19,DIARRHOEA,1,UpCM,F1,0.2417582417582418
20,DIARRHOEA,1,UpCM,F1$^c$,0.5714285714285714
21,DIARRHOEA,1,UpCM,SHD,62
22,DIARRHOEA,1,UpCM,F1,0.3191489361702128
23,DIARRHOEA,1,UpCM,F1$^c$,0.6000000000000001
24,DIARRHOEA,1,UpCM,SHD,61
25,DIARRHOEA,1,UpCM,F1,0.25000000000000006
26,DIARRHOEA,1,UpCM,F1$^c$,0.6666666666666666
27,DIARRHOEA,1,UpCM,SHD,60
28,DIARRHOEA,1,UpCM,F1,0.2765957446808511
29,DIARRHOEA,1,UpCM,F1$^c$,0.7333333333333334
30,DIARRHOEA,1,PCstable$^{\triangledown}$,SHD,65
31,DIARRHOEA,1,PCstable$^{\triangledown}$,F1,0.1
32,DIARRHOEA,1,PCstable$^{\triangledown}$,F1$^c$,0.125
33,DIARRHOEA,1,PCstable$^{\triangledown}$,SHD,60
34,DIARRHOEA,1,PCstable$^{\triangledown}$,F1,0.1951219512195122
35,DIARRHOEA,1,PCstable$^{\triangledown}$,F1$^c$,0.35294117647058826
36,DIARRHOEA,1,PCstable$^{\triangledown}$,SHD,69
37,DIARRHOEA,1,PCstable$^{\triangledown}$,F1,0.05
38,DIARRHOEA,1,PCstable$^{\triangledown}$,F1$^c$,0.0
39,DIARRHOEA,1,PCstable$^{\triangledown}$,SHD,65
40,DIARRHOEA,1,PCstable$^{\triangledown}$,F1,0.11764705882352941
41,DIARRHOEA,1,PCstable$^{\triangledown}$,F1$^c$,0.25
42,DIARRHOEA,1,PCstable$^{\triangledown}$,SHD,64
43,DIARRHOEA,1,PCstable$^{\triangledown}$,F1,0.17073170731707318
44,DIARRHOEA,1,PCstable$^{\triangledown}$,F1$^c$,0.13333333333333333
45,DIARRHOEA,1,PCstable$^{\triangledown}$,SHD,65
46,DIARRHOEA,1,PCstable$^{\triangledown}$,F1,0.125
47,DIARRHOEA,1,PCstable$^{\triangledown}$,F1$^c$,0.35294117647058826
48,DIARRHOEA,1,PCstable$^{\triangledown}$,SHD,64
49,DIARRHOEA,1,PCstable$^{\triangledown}$,F1,0.125
50,DIARRHOEA,1,PCstable$^{\triangledown}$,F1$^c$,0.11764705882352941
51,DIARRHOEA,1,PCstable$^{\triangledown}$,SHD,64
52,DIARRHOEA,1,PCstable$^{\triangledown}$,F1,0.17283950617283952
53,DIARRHOEA,1,PCstable$^{\triangledown}$,F1$^c$,0.25
54,DIARRHOEA,1,PCstable$^{\triangledown}$,SHD,65
55,DIARRHOEA,1,PCstable$^{\triangledown}$,F1,0.07792207792207792
56,DIARRHOEA,1,PCstable$^{\triangledown}$,F1$^c$,0.0
57,DIARRHOEA,1,PCstable$^{\triangledown}$,SHD,65
58,DIARRHOEA,1,PCstable$^{\triangledown}$,F1,0.0759493670886076
59,DIARRHOEA,1,PCstable$^{\triangledown}$,F1$^c$,0.13333333333333333
60,DIARRHOEA,1,GES$^{\triangledown}$,SHD,64
61,DIARRHOEA,1,GES$^{\triangledown}$,F1,0.1095890410958904
62,DIARRHOEA,1,GES$^{\triangledown}$,F1$^c$,0.3333333333333333
63,DIARRHOEA,1,GES$^{\triangledown}$,SHD,64
64,DIARRHOEA,1,GES$^{\triangledown}$,F1,0.10810810810810811
65,DIARRHOEA,1,GES$^{\triangledown}$,F1$^c$,0.3157894736842105
66,DIARRHOEA,1,GES$^{\triangledown}$,SHD,62
67,DIARRHOEA,1,GES$^{\triangledown}$,F1,0.15789473684210525
68,DIARRHOEA,1,GES$^{\triangledown}$,F1$^c$,0.4761904761904762
69,DIARRHOEA,1,GES$^{\triangledown}$,SHD,65
70,DIARRHOEA,1,GES$^{\triangledown}$,F1,0.08333333333333334
71,DIARRHOEA,1,GES$^{\triangledown}$,F1$^c$,0.23529411764705882
72,DIARRHOEA,1,GES$^{\triangledown}$,SHD,65
73,DIARRHOEA,1,GES$^{\triangledown}$,F1,0.10810810810810811
74,DIARRHOEA,1,GES$^{\triangledown}$,F1$^c$,0.4210526315789473
75,DIARRHOEA,1,GES$^{\triangledown}$,SHD,61
76,DIARRHOEA,1,GES$^{\triangledown}$,F1,0.18666666666666665
77,DIARRHOEA,1,GES$^{\triangledown}$,F1$^c$,0.6
78,DIARRHOEA,1,GES$^{\triangledown}$,SHD,64
79,DIARRHOEA,1,GES$^{\triangledown}$,F1,0.1095890410958904
80,DIARRHOEA,1,GES$^{\triangledown}$,F1$^c$,0.3333333333333333
81,DIARRHOEA,1,GES$^{\triangledown}$,SHD,62
82,DIARRHOEA,1,GES$^{\triangledown}$,F1,0.1621621621621622
83,DIARRHOEA,1,GES$^{\triangledown}$,F1$^c$,0.5263157894736842
84,DIARRHOEA,1,GES$^{\triangledown}$,SHD,63
85,DIARRHOEA,1,GES$^{\triangledown}$,F1,0.13698630136986303
86,DIARRHOEA,1,GES$^{\triangledown}$,F1$^c$,0.4444444444444445
87,DIARRHOEA,1,GES$^{\triangledown}$,SHD,65
88,DIARRHOEA,1,GES$^{\triangledown}$,F1,0.08333333333333334
89,DIARRHOEA,1,GES$^{\triangledown}$,F1$^c$,0.35294117647058826
90,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,67
91,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.1411764705882353
92,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.23529411764705882
93,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,59
94,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.2727272727272727
95,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.4210526315789473
96,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,67
97,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.20224719101123595
98,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.4
99,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,61
100,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.25287356321839083
101,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.23529411764705882
102,DIARRHOEA,1,MAHC$^{\triangledown}$,SHD,70
103,DIARRHOEA,1,MAHC$^{\triangledown}$,F1,0.1739130434782609
104,DIARRHOEA,1,MAHC$^{\triangledown}$,F1$^c$,0.3333333333333333
