,Network,WroRate,Method,Metric,Value
0,ALARM,1,UpCM,SHD,31
1,ALARM,1,UpCM,F1,0.5263157894736841
2,ALARM,1,UpCM,F1$^c$,0.761904761904762
3,ALARM,1,UpCM,SHD,39
4,ALARM,1,UpCM,F1,0.38961038961038963
5,ALARM,1,UpCM,F1$^c$,0.782608695652174
6,ALARM,1,UpCM,SHD,35
7,ALARM,1,UpCM,F1,0.45945945945945943
8,ALARM,1,UpCM,F1$^c$,0.7777777777777778
9,ALARM,1,UpCM,SHD,31
10,ALARM,1,UpCM,F1,0.5142857142857143
11,ALARM,1,UpCM,F1$^c$,0.8421052631578948
12,ALARM,1,UpCM,SHD,30
13,ALARM,1,UpCM,F1,0.5454545454545454
14,ALARM,1,UpCM,F1$^c$,0.782608695652174
15,ALARM,1,UpCM,SHD,37
16,ALARM,1,UpCM,F1,0.410958904109589
17,ALARM,1,UpCM,F1$^c$,0.7368421052631577
18,ALARM,1,UpCM,SHD,33
19,ALARM,1,UpCM,F1,0.4722222222222222
20,ALARM,1,UpCM,F1$^c$,0.7999999999999999
21,ALARM,1,UpCM,SHD,40
22,ALARM,1,UpCM,F1,0.3714285714285714
23,ALARM,1,UpCM,F1$^c$,0.7777777777777778
24,ALARM,1,UpCM,SHD,37
25,ALARM,1,UpCM,F1,0.4383561643835616
26,ALARM,1,UpCM,F1$^c$,0.8181818181818181
27,ALARM,1,UpCM,SHD,38
28,ALARM,1,UpCM,F1,0.4155844155844156
29,ALARM,1,UpCM,F1$^c$,0.782608695652174
30,ALARM,1,PCstable$^{\triangledown}$,SHD,36
31,ALARM,1,PCstable$^{\triangledown}$,F1,0.3384615384615385
32,ALARM,1,PCstable$^{\triangledown}$,F1$^c$,0.19999999999999998
33,ALARM,1,PCstable$^{\triangledown}$,SHD,39
34,ALARM,1,PCstable$^{\triangledown}$,F1,0.30303030303030304
35,ALARM,1,PCstable$^{\triangledown}$,F1$^c$,0.5
36,ALARM,1,PCstable$^{\triangledown}$,SHD,38
37,ALARM,1,PCstable$^{\triangledown}$,F1,0.3582089552238805
38,ALARM,1,PCstable$^{\triangledown}$,F1$^c$,0.3636363636363636
39,ALARM,1,PCstable$^{\triangledown}$,SHD,35
40,ALARM,1,PCstable$^{\triangledown}$,F1,0.3870967741935483
41,ALARM,1,PCstable$^{\triangledown}$,F1$^c$,0.46153846153846156
42,ALARM,1,PCstable$^{\triangledown}$,SHD,33
43,ALARM,1,PCstable$^{\triangledown}$,F1,0.41791044776119407
44,ALARM,1,PCstable$^{\triangledown}$,F1$^c$,0.5
45,ALARM,1,PCstable$^{\triangledown}$,SHD,38
46,ALARM,1,PCstable$^{\triangledown}$,F1,0.32835820895522383
47,ALARM,1,PCstable$^{\triangledown}$,F1$^c$,0.6153846153846153
48,ALARM,1,PCstable$^{\triangledown}$,SHD,38
49,ALARM,1,PCstable$^{\triangledown}$,F1,0.28571428571428575
50,ALARM,1,PCstable$^{\triangledown}$,F1$^c$,0.3636363636363636
51,ALARM,1,PCstable$^{\triangledown}$,SHD,42
52,ALARM,1,PCstable$^{\triangledown}$,F1,0.28571428571428575
53,ALARM,1,PCstable$^{\triangledown}$,F1$^c$,0.3636363636363636
54,ALARM,1,PCstable$^{\triangledown}$,SHD,38
55,ALARM,1,PCstable$^{\triangledown}$,F1,0.32835820895522383
56,ALARM,1,PCstable$^{\triangledown}$,F1$^c$,0.8
57,ALARM,1,PCstable$^{\triangledown}$,SHD,37
58,ALARM,1,PCstable$^{\triangledown}$,F1,0.3582089552238805
59,ALARM,1,PCstable$^{\triangledown}$,F1$^c$,0.6153846153846153
60,ALARM,1,GES$^{\triangledown}$,SHD,37
61,ALARM,1,GES$^{\triangledown}$,F1,0.3611111111111111
62,ALARM,1,GES$^{\triangledown}$,F1$^c$,0.6153846153846153
63,ALARM,1,GES$^{\triangledown}$,SHD,37
64,ALARM,1,GES$^{\triangledown}$,F1,0.3611111111111111
65,ALARM,1,GES$^{\triangledown}$,F1$^c$,0.5
66,ALARM,1,GES$^{\triangledown}$,SHD,38
67,ALARM,1,GES$^{\triangledown}$,F1,0.3561643835616438
68,ALARM,1,GES$^{\triangledown}$,F1$^c$,0.3636363636363636
69,ALARM,1,GES$^{\triangledown}$,SHD,38
70,ALARM,1,GES$^{\triangledown}$,F1,0.3611111111111111
71,ALARM,1,GES$^{\triangledown}$,F1$^c$,0.5714285714285714
72,ALARM,1,GES$^{\triangledown}$,SHD,38
73,ALARM,1,GES$^{\triangledown}$,F1,0.35135135135135126
74,ALARM,1,GES$^{\triangledown}$,F1$^c$,0.19999999999999998
75,ALARM,1,GES$^{\triangledown}$,SHD,46
76,ALARM,1,GES$^{\triangledown}$,F1,0.26666666666666666
77,ALARM,1,GES$^{\triangledown}$,F1$^c$,0.3636363636363636
78,ALARM,1,GES$^{\triangledown}$,SHD,38
79,ALARM,1,GES$^{\triangledown}$,F1,0.38961038961038963
80,ALARM,1,GES$^{\triangledown}$,F1$^c$,0.3636363636363636
81,ALARM,1,GES$^{\triangledown}$,SHD,36
82,ALARM,1,GES$^{\triangledown}$,F1,0.40540540540540543
83,ALARM,1,GES$^{\triangledown}$,F1$^c$,0.5
84,ALARM,1,GES$^{\triangledown}$,SHD,38
85,ALARM,1,GES$^{\triangledown}$,F1,0.3684210526315789
86,ALARM,1,GES$^{\triangledown}$,F1$^c$,0.6153846153846153
87,ALARM,1,GES$^{\triangledown}$,SHD,35
88,ALARM,1,GES$^{\triangledown}$,F1,0.3888888888888889
89,ALARM,1,GES$^{\triangledown}$,F1$^c$,0.6153846153846153
90,ALARM,1,MAHC$^{\triangledown}$,SHD,39
91,ALARM,1,MAHC$^{\triangledown}$,F1,0.3684210526315789
92,ALARM,1,MAHC$^{\triangledown}$,F1$^c$,0.6250000000000001
93,ALARM,1,MAHC$^{\triangledown}$,SHD,39
94,ALARM,1,MAHC$^{\triangledown}$,F1,0.3561643835616438
95,ALARM,1,MAHC$^{\triangledown}$,F1$^c$,0.6153846153846153
96,ALARM,1,MAHC$^{\triangledown}$,SHD,38
97,ALARM,1,MAHC$^{\triangledown}$,F1,0.39473684210526316
98,ALARM,1,MAHC$^{\triangledown}$,F1$^c$,0.5714285714285714
99,ALARM,1,MAHC$^{\triangledown}$,SHD,35
100,ALARM,1,MAHC$^{\triangledown}$,F1,0.40540540540540543
101,ALARM,1,MAHC$^{\triangledown}$,F1$^c$,0.7058823529411765
102,ALARM,1,MAHC$^{\triangledown}$,SHD,38
103,ALARM,1,MAHC$^{\triangledown}$,F1,0.32876712328767116
104,ALARM,1,MAHC$^{\triangledown}$,F1$^c$,0.46153846153846156
105,ALARM,1,MAHC$^{\triangledown}$,SHD,48
106,ALARM,1,MAHC$^{\triangledown}$,F1,0.23684210526315788
107,ALARM,1,MAHC$^{\triangledown}$,F1$^c$,0.5
108,ALARM,1,MAHC$^{\triangledown}$,SHD,36
109,ALARM,1,MAHC$^{\triangledown}$,F1,0.38961038961038963
110,ALARM,1,MAHC$^{\triangledown}$,F1$^c$,0.6153846153846153
111,ALARM,1,MAHC$^{\triangledown}$,SHD,36
112,ALARM,1,MAHC$^{\triangledown}$,F1,0.44155844155844154
113,ALARM,1,MAHC$^{\triangledown}$,F1$^c$,0.823529411764706
114,ALARM,1,MAHC$^{\triangledown}$,SHD,38
115,ALARM,1,MAHC$^{\triangledown}$,F1,0.4050632911392405
116,ALARM,1,MAHC$^{\triangledown}$,F1$^c$,0.6666666666666666
117,ALARM,1,MAHC$^{\triangledown}$,SHD,37
118,ALARM,1,MAHC$^{\triangledown}$,F1,0.33802816901408445
119,ALARM,1,MAHC$^{\triangledown}$,F1$^c$,0.42857142857142855
120,ALARM,2,UpCM,SHD,44
121,ALARM,2,UpCM,F1,0.3466666666666666
122,ALARM,2,UpCM,F1$^c$,0.64
123,ALARM,2,UpCM,SHD,39
124,ALARM,2,UpCM,F1,0.475
125,ALARM,2,UpCM,F1$^c$,0.6666666666666666
126,ALARM,2,UpCM,SHD,37
127,ALARM,2,UpCM,F1,0.42666666666666664
128,ALARM,2,UpCM,F1$^c$,0.47058823529411764
129,ALARM,2,UpCM,SHD,45
130,ALARM,2,UpCM,F1,0.32876712328767116
131,ALARM,2,UpCM,F1$^c$,0.5714285714285715
132,ALARM,2,UpCM,SHD,40
133,ALARM,2,UpCM,F1,0.4050632911392405
134,ALARM,2,UpCM,F1$^c$,0.56
135,ALARM,2,UpCM,SHD,37
136,ALARM,2,UpCM,F1,0.40540540540540543
137,ALARM,2,UpCM,F1$^c$,0.6666666666666666
138,ALARM,2,UpCM,SHD,40
139,ALARM,2,UpCM,F1,0.41025641025641024
