Positive_tests,Excess_mortality,Tests_across_all_4_Pillars,Season,Leisure_activity,Work_and_school_activity,Deaths_with_COVID_on_certificate,Reinfections,Patients_in_MVBs,Majority_COVID_19_variant,Lockdown,Hospital_admissions,Face_masks,Second_dose_uptake,Transportation_activity,Patients_in_hospital,New_infections
35888.383,2.13758,769028.8265,1,2.688,4,122.4357653,2947.563532,499.8493988,4.79,1,1031.51875,1,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,1,2.688,4,122.4357653,2947.563532,499.8493988,4.79,1,1031.51875,1,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,1,2.688,4,122.4357653,2947.563532,499.8493988,4.79,1,1031.51875,1,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,1,2.688,4,122.4357653,2947.563532,499.8493988,4.79,1,1031.51875,1,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,1,2.688,4,122.4357653,2947.563532,499.8493988,4.79,1,1031.51875,1,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,1,2.688,4,122.4357653,2947.563532,499.8493988,5,1,1031.51875,1,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,1,2.688,4,122.4357653,2947.563532,499.8493988,5,1,1031.51875,1,82.18455571,4,9783.27,39681.39675
33455.94658,-0.6765,733485.857,1,2.798,4,79.87451531,1917.433973,470.9469285,5,1,861.5416667,1,81.70570095,4,5237,35789.06604
17636.14009,-17.4,482932.4643,1,2.965714286,4,16.926,1744.738729,310.5039863,5,1,515.4893636,1,87,4,5050,16815.03893
18497.62377,-17.4,485049.3343,1,2.880714286,4,16.996,1742.560158,312.9839863,5,1,530.9193636,1,87,4,4900,17083.59893
17909.44044,-17.4,483217.2543,1,3.115714286,4,7,1741.268729,310.8297005,5,1,471,1,87,4,4946,17234.4156
18070.16044,-17.4,511786.5956,1,4,3.2,11,1904.264173,319.0700765,5,1,502,1,87,3.5,4930,17993.79426
18227.83044,-17.4,475876.9322,1,3,3.6,13,1789.508729,317.0910233,5,1,566,1,87,4,4904,17484.65226
15565.2661,-17.4,432850.3857,4,1,3.4,23,1925.303963,298.9424998,5,1,580,1,87,4,5154,14950.74893
15564.46277,-17.4,430896.8726,4,2,3.2,36,1929.673963,296.9163331,5,1,547,1,86.9,4,5192,14937.44893
11861.3021,7.93,401976.7108,4,3,3.8,11,1651.389963,231.6227418,5,1,510,1,86.9,4,5113,9734.304484
12255.0921,7.93,388197.0183,4,2,3.8,28,1650.692963,231.1094918,5,1,448,1,86.9,4,5164,10279.20591
11428.23877,7.93,392453.572,4,3,3.8,31,1646.371074,228.3640752,5,1,518,1,86.9,4,5357,10033.60782
11863.5421,7.93,388345.012,4,3,4,35,1617.256629,227.2087418,5,1,490,1,86.9,4,5610,9828.274484
11524.29877,7.93,371880.5141,4,2,4,30,1601.884074,229.6707418,5,1,570,1,86.8,4,5741,9918.053373
11971.1621,7.93,320054.0242,4,2,3.6,45,1580.167629,226.0749697,5,1,568,1,86.8,4,5888,9256.493373
10969.2921,7.93,319180.3528,4,3,3.6,54,1539.534352,217.0178268,5,1,588,1,86.8,4,6260,8829.006706
9941.07877,11.93,317088.4376,4,4,3.8,54,1487.296935,175,5,1,535,1,86.8,4,6275,8422.228373
9727.217342,11.93,315602.8132,4,3,4,45,1457.146935,184,5,1,448,1,86.8,4,6323,7707.408389
10099.00877,11.93,326561.1685,4,1,3.4,66,1522.922352,194,5,1,526,1,86.8,4,6545,7698.841706
6798,11.93,223448,4,3,4,43,1197,191,5,1,647,1,86.8,4,6757,5601
7618,11.93,222723,4,3,4,44,1265,188,5,1,708,1,86.8,4,6911,6353
8262,11.93,227805,4,4,4,70,1383,201,5,1,666,1,86.8,4,7290,6879
9389,11.93,292259,4,3,3.8,62,1672,189,5,1,687,1,86.7,4,7636,7717
7943,23.83,170690,4,1,3.6,66,1283,199,5,1,631,1,86.7,4,7823,6660
6100,23.83,166005,4,3,4,62,959,197,5,1,612,1,86.7,4,7838,5141
6888,23.83,249783,4,3,3.8,66,1041,189,5,1,624,1,86.7,4,8179,5847
7614,23.83,250072,4,3,4,64,1203,191,5,1,781,1,86.7,4,8485,6411
8695,23.83,241462,4,1,3.6,76,1417,202,5,1,774,1,86.7,4,8946,7278
9711,23.83,251245,4,2,3.8,91,1605,203,5,1,861,1,86.7,4,9343,8106
10678,23.83,311994,4,3,3.8,76,1793,213,5,1,844,1,86.6,4,9664,8885
9044,-0.92,187982,4,4,3.8,80,1458,227,5,1,755,1,86.6,4,9748,7586
7515,-0.92,188173,4,2,3.8,95,1079,226,5,1,702,1,86.6,4,9804,6436
8920,-0.92,261960,4,3,3.8,90,1351,237,5,1,819,1,86.6,4,10307,7569
10190,-0.92,282724,4,3,4,80,1612,253,5,1,868,1,86.6,4,10827,8578
11657,-0.92,282173,4,2,3.6,87,1817,277,5,1,1005,1,86.6,4,11324,9840
13284,-0.92,314178,4,2,3.6,100,2149,278,5,1,1019,1,86.5,4,11666,11135
11887,-0.92,256771,4,4,2.6,105,1830,286,5,1,940,1,86.5,3,11774,10057
9023,17.75,196515,4,2,3.8,107,1255,293,5,1,906,1,86.5,4,11776,7768
8356,17.75,204510,4,2,4,103,1116,304,5,1,826,1,86.5,4,11992,7240
9995,17.75,279737,4,1,3.6,103,1381,305,5,1,1001,1,86.5,4,12529,8614
11587,17.75,315804,4,2,4,124,1695,302,5,1,1074,1,86.5,4,13102,9892
13038,17.75,312751,4,1,3.4,128,1906,310,5,1,1227,1,86.5,4,13735,11132
14555,17.75,331187,4,2,3.8,119,2096,326,5,1,1248,1,86.4,4,14166,12459
17107,17.75,386115,4,2,3.6,126,2669,320,5,1,1279,1,86.4,4,14984,14438
14714,1.99,245010,4,3,3.8,127,2014,324,5,1,1189,1,86.4,4,15048,12700
13204,1.99,250549,4,1,3.6,140,1596,325,5,1,1204,1,86.4,4,15157,11608
15689,1.99,329908,4,1,3.4,145,2104,325,5,1,1366,1,86.4,4,15971,13585
18445,1.99,361689,4,3,3.6,157,2441,338,5,1,1435,1,86.4,4,16505,16004
21429,1.99,361720,4,3,3.4,154,2779,349,5,1,1509,1,86.3,4,17448,18650
25753,1.99,393357,4,2,3.2,154,3532,336,5,1,1622,1,86.3,3.75,17991,22221
25178,1.99,335903,4,4,2.6,166,3251,326,5,1,1666,1,86.3,2.5,17538,21927
20140,-6,260955,4,3,3,159,2299,328,5,1,1489,1,86.3,4,17637,17841
19915,-6,258166,4,3,3.6,163,2127,332,5,1,1449,1,86.3,4,17806,17788
21609,-6,301587,4,4,2.6,166,2394,320,5,1,1644,1,86.3,3.25,17885,19215
26630,-6,393622,4,3,3.6,187,3035,349,5,1,1898,1,86.3,3.75,18589,23595
31657,-6,417887,4,3,3.2,214,3558,355,5,1,2112,1,86.2,3.75,19112,28099
33735,-6,416194,4,3,3.2,192,3948,385,5,1,2243,1,86.2,3.75,19870,29787
37349,-6,473685,4,3,3.4,177,4498,379,5,1,2112,1,86.2,3.75,20171,32851
30929,4.15,326339,4,3,3.8,191,3364,372,5,1,1995,1,86.2,4,19737,27565
27870,4.15,346756,4,1,3.6,167,3043,367,5,1,1906,1,86.2,4,19593,24827
32960,4.15,447329,4,1,3,228,3727,355,5,1,2000,1,86.1,3.75,20165,29233
38666,4.15,485790,4,2,3.2,223,4543,357,5,1,2266,1,86.1,3.5,20451,34123
44716,4.15,530032,4,1,3,191,5214,361,5,1,2438,1,86.1,3.5,20544,39502
49066,4.15,540210,4,2,3,197,5621,364,5,1,2589,1,86.1,3.5,20522,43445
53758,4.15,577242,4,1,3,172,6354,351,5,1,2456,1,86.1,3.25,20540,47404
42183,-1.78,455688,4,2,3.6,179,4587,342,5,1,2303,1,86,4,20085,37596
37592,-1.78,438301,4,1,3.6,183,3996,350,5,1,2083,1,86,4,19729,33596
47482,-1.78,602173,4,1,3.2,202,5204,352,5,1,2144,1,86,3.75,20070,42278
54794,-1.78,646488,4,1,3.2,182,6198,356,5,1,2428,1,86,4,19735,48596
