Positive_tests,Excess_mortality,Tests_across_all_4_Pillars,Season,Leisure_activity,Work_and_school_activity,Deaths_with_COVID_on_certificate,Reinfections,Patients_in_MVBs,Majority_COVID_19_variant,Lockdown,Hospital_admissions,Face_masks,Second_dose_uptake,Transportation_activity,Patients_in_hospital,New_infections
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,Very High,High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Summer,High,Very High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Spring,Very Low,High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,Very Low,Low,Spring,Low,High,Very Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,High,Low,Spring,High,Very High,Very Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,High,Low,Spring,Low,Very High,Very Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,High,Low,Spring,High,Very High,Very Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,High,Low,Spring,High,Very High,Very Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,High,Low,Spring,Low,Very High,Very Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,High,Low,Spring,Low,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,High,Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,High,Low,Spring,Very High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,High,Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
High,High,Low,Spring,Very Low,High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,High
Low,High,Very Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Low
Low,High,Very Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Low
Low,High,Very Low,Spring,Very High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Low
Low,High,Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,Low,Low
Low,Very High,Very Low,Spring,Very Low,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Very High,Very Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Very High,Very Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Very High,Very Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Very High,Very Low,Spring,Very Low,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Very High,Very Low,Spring,Low,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Very High,Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Low,Very Low,Spring,Very High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Low,Very Low,Spring,Low,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Low,Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Low,Low,Spring,High,Very High,Low,Very High,Very Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Low,Low,Spring,Low,Very High,Low,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Low,Low,Spring,Low,Very High,Low,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Low,Low,Spring,Very High,High,Low,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,High,High,Low
Low,Very High,Very Low,Spring,Low,Very High,Low,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very High,Very Low,Spring,Low,Very High,Low,Very High,Low,Omicron BA.2,No_or_limited_measures,Low,No,Very High,Very High,High,Low
Low,Very High,Low,Spring,Very Low,Very High,Low,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very High,Low,Spring,Low,Very High,Low,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very High,Low,Spring,Very Low,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Very High,Low,Spring,Low,Very High,Low,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
High,Very High,Low,Spring,Low,Very High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Low,Very Low,Spring,High,Very High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
Low,Low,Very Low,Spring,Very Low,Very High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,High,Low
High,Low,Low,Spring,Very Low,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,Very High,Low
High,Low,Low,Spring,High,Very High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,Very High,High
High,Low,Low,Spring,High,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,Very High,High
High,Low,Low,Spring,Low,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,High
High,Low,Low,Spring,Very High,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,High,Very High,High
High,Very Low,Low,Spring,High,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,Very High,High
High,Very Low,Low,Spring,High,Very High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,High,No,Very High,Very High,Very High,High
High,Very Low,Low,Spring,Very High,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,High,Very High,High
High,Very Low,Low,Spring,High,Very High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,High
High,Very Low,Low,Spring,High,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,High
High,Very Low,Low,Spring,High,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,High
High,Very Low,Low,Spring,High,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,High
High,Low,Low,Spring,High,Very High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,High
High,Low,Low,Spring,Very Low,Very High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,High
High,Low,Low,Spring,Very Low,High,Very High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,High
Very High,Low,Low,Spring,Low,High,Very High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,High
Very High,Low,Low,Spring,Very Low,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,Low,Spring,Low,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,Low,Spring,Very Low,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,High,Very High,Very High
Very High,Low,Low,Spring,Low,Very High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,Low,Spring,Very Low,Very High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,High
Very High,Low,Low,Spring,Very Low,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,High,Spring,Very Low,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,High,Spring,Very Low,High,High,Very High,Low,Omicron BA.2,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,High,Spring,Very Low,High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,High,Spring,High,High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,Low,Spring,Low,Very High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,Low,Spring,High,Very High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,High,Spring,High,Very High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,High,Spring,High,Very High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,High,Spring,High,High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,High,Spring,High,High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,High,Spring,High,High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,Low,Spring,High,Very High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,Low,Spring,Low,Very High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,Very High,Very High
Very High,Low,High,Spring,Low,High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,High,Very High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,Very Low,High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,Low,High,Low,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,Low,High,High,Very High,Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,Low,Spring,Very Low,Very High,Low,Very High,Very Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,Low,Spring,Very Low,Very High,Low,Very High,Very Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,Very Low,High,Low,Very High,Very Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,Low,High,Low,Very High,Very Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,Low,High,Low,Very High,Very Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,Low,High,Low,Very High,Very Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,Low,High,Low,Very High,Very Low,Omicron,No_or_limited_measures,Very High,No,Very High,Very High,High,Very High
Very High,Low,Low,Spring,Low,Very High,Low,Very High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,Very High
Very High,Low,Low,Spring,Very Low,Very High,Low,Very High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
Very High,Low,High,Spring,Very Low,High,Low,Very High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,Low,High,Low,Very High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,High,High,Very High
Very High,Low,High,Spring,Very Low,High,High,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,Very High
Very High,Low,High,Spring,Very Low,High,Low,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,High,High,Very High
Very High,Low,High,Winter,High,Very High,Low,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,Very High
High,Very Low,Low,Winter,Very High,Very High,Low,Very High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Winter,Low,Very High,Low,Very High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,High,Winter,Low,Very High,Low,Very High,Very Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,High,Winter,Very Low,High,Low,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,High,Winter,Low,High,Low,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
Very High,Very Low,High,Winter,Low,High,Low,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
Very High,Very Low,High,Winter,Low,High,Low,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,High,High,Very High
Very High,Very Low,High,Winter,Very Low,High,Low,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,Low,Winter,High,High,Low,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,High
High,Very Low,High,Winter,Low,Low,High,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,High,High,High
Very High,Very Low,High,Winter,Very High,High,Low,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,Very High,High,Very High
Very High,Very Low,Very High,Winter,High,High,High,Very High,Low,Omicron,No_or_limited_measures,High,No,Very High,High,High,Very High
