Positive_tests,Excess_mortality,Tests_across_all_4_Pillars,Season,Leisure_activity,Work_and_school_activity,Deaths_with_COVID_on_certificate,Reinfections,Patients_in_MVBs,Majority_COVID_19_variant,Lockdown,Hospital_admissions,Face_masks,Second_dose_uptake,Transportation_activity,Patients_in_hospital,New_infections
35888.383,2.13758,769028.8265,Summer,2.688,4,122.4357653,2947.563532,499.8493988,Omicron BA.2,No_or_limited_measures,1031.51875,No,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,Summer,2.688,4,122.4357653,2947.563532,499.8493988,Omicron BA.2,No_or_limited_measures,1031.51875,No,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,Summer,2.688,4,122.4357653,2947.563532,499.8493988,Omicron BA.2,No_or_limited_measures,1031.51875,No,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,Summer,2.688,4,122.4357653,2947.563532,499.8493988,Omicron BA.2,No_or_limited_measures,1031.51875,No,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,Summer,2.688,4,122.4357653,2947.563532,499.8493988,Omicron BA.2,No_or_limited_measures,1031.51875,No,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,Summer,2.688,4,122.4357653,2947.563532,499.8493988,Omicron BA.2,No_or_limited_measures,1031.51875,No,82.18455571,4,9783.27,39681.39675
35888.383,2.13758,769028.8265,Summer,2.688,4,122.4357653,2947.563532,499.8493988,Omicron BA.2,No_or_limited_measures,1031.51875,No,82.18455571,4,9783.27,39681.39675
33455.94658,-0.6765,733485.857,Summer,2.798,4,79.87451531,1917.433973,470.9469285,Omicron BA.2,No_or_limited_measures,861.5416667,No,81.70570095,4,5237,35789.06604
17636.14009,-17.4,482932.4643,Summer,2.965714286,4,16.926,1744.738729,310.5039863,Omicron BA.2,No_or_limited_measures,515.4893636,No,87,4,5050,16815.03893
18497.62377,-17.4,485049.3343,Summer,2.880714286,4,16.996,1742.560158,312.9839863,Omicron BA.2,No_or_limited_measures,530.9193636,No,87,4,4900,17083.59893
17909.44044,-17.4,483217.2543,Summer,3.115714286,4,7,1741.268729,310.8297005,Omicron BA.2,No_or_limited_measures,471,No,87,4,4946,17234.4156
18070.16044,-17.4,511786.5956,Summer,4,3.2,11,1904.264173,319.0700765,Omicron BA.2,No_or_limited_measures,502,No,87,3.5,4930,17993.79426
18227.83044,-17.4,475876.9322,Summer,3,3.6,13,1789.508729,317.0910233,Omicron BA.2,No_or_limited_measures,566,No,87,4,4904,17484.65226
15565.2661,-17.4,432850.3857,Spring,1,3.4,23,1925.303963,298.9424998,Omicron BA.2,No_or_limited_measures,580,No,87,4,5154,14950.74893
15564.46277,-17.4,430896.8726,Spring,2,3.2,36,1929.673963,296.9163331,Omicron BA.2,No_or_limited_measures,547,No,86.9,4,5192,14937.44893
11861.3021,7.93,401976.7108,Spring,3,3.8,11,1651.389963,231.6227418,Omicron BA.2,No_or_limited_measures,510,No,86.9,4,5113,9734.304484
12255.0921,7.93,388197.0183,Spring,2,3.8,28,1650.692963,231.1094918,Omicron BA.2,No_or_limited_measures,448,No,86.9,4,5164,10279.20591
11428.23877,7.93,392453.572,Spring,3,3.8,31,1646.371074,228.3640752,Omicron BA.2,No_or_limited_measures,518,No,86.9,4,5357,10033.60782
11863.5421,7.93,388345.012,Spring,3,4,35,1617.256629,227.2087418,Omicron BA.2,No_or_limited_measures,490,No,86.9,4,5610,9828.274484
11524.29877,7.93,371880.5141,Spring,2,4,30,1601.884074,229.6707418,Omicron BA.2,No_or_limited_measures,570,No,86.8,4,5741,9918.053373
11971.1621,7.93,320054.0242,Spring,2,3.6,45,1580.167629,226.0749697,Omicron BA.2,No_or_limited_measures,568,No,86.8,4,5888,9256.493373
10969.2921,7.93,319180.3528,Spring,3,3.6,54,1539.534352,217.0178268,Omicron BA.2,No_or_limited_measures,588,No,86.8,4,6260,8829.006706
9941.07877,11.93,317088.4376,Spring,4,3.8,54,1487.296935,175,Omicron BA.2,No_or_limited_measures,535,No,86.8,4,6275,8422.228373
9727.217342,11.93,315602.8132,Spring,3,4,45,1457.146935,184,Omicron BA.2,No_or_limited_measures,448,No,86.8,4,6323,7707.408389
10099.00877,11.93,326561.1685,Spring,1,3.4,66,1522.922352,194,Omicron BA.2,No_or_limited_measures,526,No,86.8,4,6545,7698.841706
6798,11.93,223448,Spring,3,4,43,1197,191,Omicron BA.2,No_or_limited_measures,647,No,86.8,4,6757,5601
7618,11.93,222723,Spring,3,4,44,1265,188,Omicron BA.2,No_or_limited_measures,708,No,86.8,4,6911,6353
8262,11.93,227805,Spring,4,4,70,1383,201,Omicron BA.2,No_or_limited_measures,666,No,86.8,4,7290,6879
9389,11.93,292259,Spring,3,3.8,62,1672,189,Omicron BA.2,No_or_limited_measures,687,No,86.7,4,7636,7717
7943,23.83,170690,Spring,1,3.6,66,1283,199,Omicron BA.2,No_or_limited_measures,631,No,86.7,4,7823,6660
6100,23.83,166005,Spring,3,4,62,959,197,Omicron BA.2,No_or_limited_measures,612,No,86.7,4,7838,5141
6888,23.83,249783,Spring,3,3.8,66,1041,189,Omicron BA.2,No_or_limited_measures,624,No,86.7,4,8179,5847
7614,23.83,250072,Spring,3,4,64,1203,191,Omicron BA.2,No_or_limited_measures,781,No,86.7,4,8485,6411
8695,23.83,241462,Spring,1,3.6,76,1417,202,Omicron BA.2,No_or_limited_measures,774,No,86.7,4,8946,7278
9711,23.83,251245,Spring,2,3.8,91,1605,203,Omicron BA.2,No_or_limited_measures,861,No,86.7,4,9343,8106
10678,23.83,311994,Spring,3,3.8,76,1793,213,Omicron BA.2,No_or_limited_measures,844,No,86.6,4,9664,8885
9044,-0.92,187982,Spring,4,3.8,80,1458,227,Omicron BA.2,No_or_limited_measures,755,No,86.6,4,9748,7586
