Source.Name,Column1,Network,Method,NumOfData,CorRate,WroRate,Repeat,SHD,Adj_Tp,Adj_Fp,Adj_Tn,Adj_Fn,Prec,Rec,F1,Con_Tp,Con_Fp,Con_Tn,Con_Fn,Con_Prec,Con_Rec,Con_F1
Results_ALARM_N100_C0.2_W1_0.csv,0,ALARM,pcMy,100,0.2,1,0,33,15,9,1277,31,0.625,0.326086957,0.428571429,5,1,8,4,0.833333333,0.555555556,0.666666667
Results_ALARM_N100_C0.2_W1_0.csv,1,ALARM,pc_con,100,0.2,1,0,36,11,8,1278,35,0.578947368,0.239130435,0.338461538,1,0,9,8,1,0.111111111,0.2
Results_ALARM_N100_C0.2_W1_0.csv,2,ALARM,ges_con,100,0.2,1,0,37,13,13,1273,33,0.5,0.282608696,0.361111111,4,0,9,5,1,0.444444444,0.615384615
Results_ALARM_N100_C0.2_W1_0.csv,3,ALARM,mahc_con,100,0.2,1,0,39,14,16,1270,32,0.466666667,0.304347826,0.368421053,5,2,7,4,0.714285714,0.555555556,0.625
Results_ALARM_N100_C0.2_W1_0.csv,4,ALARM,SaiyanH_con,100,0.2,1,0,58,17,41,1245,29,0.293103448,0.369565217,0.326923077,7,7,2,2,0.5,0.777777778,0.608695652
Results_ALARM_N100_C0.2_W1_1.csv,0,ALARM,pcMy,100,0.2,1,1,37,12,11,1275,34,0.52173913,0.260869565,0.347826087,5,0,9,4,1,0.555555556,0.714285714
Results_ALARM_N100_C0.2_W1_1.csv,1,ALARM,pc_con,100,0.2,1,1,39,10,10,1276,36,0.5,0.217391304,0.303030303,3,0,9,6,1,0.333333333,0.5
Results_ALARM_N100_C0.2_W1_1.csv,2,ALARM,ges_con,100,0.2,1,1,37,13,13,1273,33,0.5,0.282608696,0.361111111,3,0,9,6,1,0.333333333,0.5
Results_ALARM_N100_C0.2_W1_1.csv,3,ALARM,mahc_con,100,0.2,1,1,39,13,14,1272,33,0.481481481,0.282608696,0.356164384,4,0,9,5,1,0.444444444,0.615384615
Results_ALARM_N100_C0.2_W1_1.csv,4,ALARM,SaiyanH_con,100,0.2,1,1,41,25,27,1259,21,0.480769231,0.543478261,0.510204082,9,6,3,0,0.6,1,0.75
Results_ALARM_N100_C0.2_W1_2.csv,0,ALARM,pcMy,100,0.2,1,2,37,13,10,1276,33,0.565217391,0.282608696,0.376811594,3,0,9,6,1,0.333333333,0.5
Results_ALARM_N100_C0.2_W1_2.csv,1,ALARM,pc_con,100,0.2,1,2,38,12,9,1277,34,0.571428571,0.260869565,0.358208955,2,0,9,7,1,0.222222222,0.363636364
Results_ALARM_N100_C0.2_W1_2.csv,2,ALARM,ges_con,100,0.2,1,2,38,13,14,1272,33,0.481481481,0.282608696,0.356164384,2,0,9,7,1,0.222222222,0.363636364
Results_ALARM_N100_C0.2_W1_2.csv,3,ALARM,mahc_con,100,0.2,1,2,38,15,15,1271,31,0.5,0.326086957,0.394736842,4,1,8,5,0.8,0.444444444,0.571428571
Results_ALARM_N100_C0.2_W1_2.csv,4,ALARM,SaiyanH_con,100,0.2,1,2,53,18,37,1249,28,0.327272727,0.391304348,0.356435644,8,8,1,1,0.5,0.888888889,0.64
Results_ALARM_N100_C0.2_W1_3.csv,0,ALARM,pcMy,100,0.2,1,3,30,17,4,1282,29,0.80952381,0.369565217,0.507462687,7,1,8,2,0.875,0.777777778,0.823529412
Results_ALARM_N100_C0.2_W1_3.csv,1,ALARM,pc_con,100,0.2,1,3,35,12,4,1282,34,0.75,0.260869565,0.387096774,3,1,8,6,0.75,0.333333333,0.461538462
Results_ALARM_N100_C0.2_W1_3.csv,2,ALARM,ges_con,100,0.2,1,3,38,13,13,1273,33,0.5,0.282608696,0.361111111,4,1,8,5,0.8,0.444444444,0.571428571
Results_ALARM_N100_C0.2_W1_3.csv,3,ALARM,mahc_con,100,0.2,1,3,35,15,13,1273,31,0.535714286,0.326086957,0.405405405,6,2,7,3,0.75,0.666666667,0.705882353
Results_ALARM_N100_C0.2_W1_3.csv,4,ALARM,SaiyanH_con,100,0.2,1,3,59,15,39,1247,31,0.277777778,0.326086957,0.3,6,8,1,3,0.428571429,0.666666667,0.52173913
Results_ALARM_N100_C0.2_W1_4.csv,0,ALARM,pcMy,100,0.2,1,4,34,13,10,1276,33,0.565217391,0.282608696,0.376811594,5,1,8,4,0.833333333,0.555555556,0.666666667
Results_ALARM_N100_C0.2_W1_4.csv,1,ALARM,pc_con,100,0.2,1,4,33,14,7,1279,32,0.666666667,0.304347826,0.417910448,3,0,9,6,1,0.333333333,0.5
Results_ALARM_N100_C0.2_W1_4.csv,2,ALARM,ges_con,100,0.2,1,4,38,13,15,1271,33,0.464285714,0.282608696,0.351351351,1,0,9,8,1,0.111111111,0.2
Results_ALARM_N100_C0.2_W1_4.csv,3,ALARM,mahc_con,100,0.2,1,4,38,12,15,1271,34,0.444444444,0.260869565,0.328767123,3,1,8,6,0.75,0.333333333,0.461538462
Results_ALARM_N100_C0.2_W1_4.csv,4,ALARM,SaiyanH_con,100,0.2,1,4,52,20,37,1249,26,0.350877193,0.434782609,0.388349515,7,9,0,2,0.4375,0.777777778,0.56
Results_ALARM_N100_C0.2_W1_5.csv,0,ALARM,pcMy,100,0.2,1,5,38,12,11,1275,34,0.52173913,0.260869565,0.347826087,6,1,8,3,0.857142857,0.666666667,0.75
Results_ALARM_N100_C0.2_W1_5.csv,1,ALARM,pc_con,100,0.2,1,5,38,11,10,1276,35,0.523809524,0.239130435,0.328358209,4,0,9,5,1,0.444444444,0.615384615
Results_ALARM_N100_C0.2_W1_5.csv,2,ALARM,ges_con,100,0.2,1,5,46,10,19,1267,36,0.344827586,0.217391304,0.266666667,2,0,9,7,1,0.222222222,0.363636364
Results_ALARM_N100_C0.2_W1_5.csv,3,ALARM,mahc_con,100,0.2,1,5,48,9,21,1265,37,0.3,0.195652174,0.236842105,4,3,6,5,0.571428571,0.444444444,0.5
Results_ALARM_N100_C0.2_W1_5.csv,4,ALARM,SaiyanH_con,100,0.2,1,5,59,14,40,1246,32,0.259259259,0.304347826,0.28,8,4,5,1,0.666666667,0.888888889,0.761904762
Results_ALARM_N100_C0.2_W1_6.csv,0,ALARM,pcMy,100,0.2,1,6,34,14,8,1278,32,0.636363636,0.304347826,0.411764706,6,1,8,3,0.857142857,0.666666667,0.75
Results_ALARM_N100_C0.2_W1_6.csv,1,ALARM,pc_con,100,0.2,1,6,38,9,8,1278,37,0.529411765,0.195652174,0.285714286,2,0,9,7,1,0.222222222,0.363636364
Results_ALARM_N100_C0.2_W1_6.csv,2,ALARM,ges_con,100,0.2,1,6,38,15,16,1270,31,0.483870968,0.326086957,0.38961039,2,0,9,7,1,0.222222222,0.363636364
Results_ALARM_N100_C0.2_W1_6.csv,3,ALARM,mahc_con,100,0.2,1,6,36,15,16,1270,31,0.483870968,0.326086957,0.38961039,4,0,9,5,1,0.444444444,0.615384615
Results_ALARM_N100_C0.2_W1_6.csv,4,ALARM,SaiyanH_con,100,0.2,1,6,29,27,18,1268,19,0.6,0.586956522,0.593406593,6,3,6,3,0.666666667,0.666666667,0.666666667
